onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.816	0.58	IniFF	5	7	1.116	func/f096.bmp
3.14	0.924	0.562	ImmFF	6	7	0.782	func/f096.bmp
6.447	0.918	0.508	IniSF	17	7	1.049	func/s083.bmp
9.554	0.932	0.422	IniSF	17	4	0.773	func/s088.bmp
12.811	0.813	0.563	IniFF	5	4	0.977	func/f094.bmp
15.835	0.809	0.44	ImmFF	6	4	0.659	func/f094.bmp
18.858	0.937	0.441	IniSF	17	7	0.869	func/s093.bmp
21.982	0.866	0.412	IniFF	5	7	0.922	func/f084.bmp
25.038	0.842	0.422	ImmFF	6	4	0.91	func/f084.bmp
48.09	0.807	0.43	IniUF	13	7	1.221	func/u085.bmp
51.18	0.915	0.505	ImmUF	14	7	0.782	func/u085.bmp
54.32	0.952	0.459	DelSF	19	4	1.013	func/s083.bmp
57.46	0.976	0.427	IniSF	17	4	0.941	func/s087.bmp
60.634	0.962	0.423	DelSF	19	4	0.846	func/s088.bmp
63.858	0.822	0.496	IniUF	13	7	1.194	func/u088.bmp
66.998	0.869	0.538	IniSF	17	4	0.705	func/s092.bmp
70.055	0.992	0.427	DelSF	19	7	0.841	func/s093.bmp
73.396	0.825	0.578	IniSF	17	4	1.0	func/s095.bmp
76.486	0.899	0.497	IniSF	17	4	1.004	func/s096.bmp
79.643	0.952	0.487	ImmSF	18	4	0.775	func/s096.bmp
82.9	0.811	0.542	IniFF	5	4	1.199	func/f085.bmp
86.04	0.849	0.565	ImmFF	6	4	0.791	func/f085.bmp
89.214	0.971	0.564	DelSF	19	4	1.17	func/s087.bmp
92.388	0.843	0.426	IniFF	5	7	0.799	func/f083.bmp
95.428	0.839	0.433	DelUF	15	7	0.885	func/u088.bmp
98.468	0.959	0.423	IniSF	17	4	0.859	func/s086.bmp
101.658	0.807	0.461	ImmSF	18	4	0.798	func/s086.bmp
104.665	0.867	0.423	DelSF	19	4	0.902	func/s092.bmp
127.799	0.832	0.494	IniFF	5	7	1.173	func/f092.bmp
130.974	0.829	0.585	ImmFF	6	7	0.76	func/f092.bmp
134.113	0.952	0.547	DelSF	19	4	0.95	func/s095.bmp
137.371	0.932	0.547	IniUF	13	4	1.008	func/u097.bmp
140.477	0.82	0.416	IniFF	5	4	1.067	func/f089.bmp
143.552	0.847	0.484	ImmFF	6	4	0.635	func/f089.bmp
146.574	0.857	0.412	IniFF	5	7	0.86	func/f091.bmp
149.698	0.926	0.497	ImmFF	6	4	0.625	func/f091.bmp
152.805	0.803	0.417	DelFF	7	4	1.151	func/f083.bmp
155.895	0.929	0.523	IniUF	13	4	1.117	func/u082.bmp
159.002	0.894	0.405	ImmUF	14	4	0.76	func/u082.bmp
162.075	0.987	0.404	IniFF	5	7	0.974	func/f087.bmp
165.383	0.962	0.541	IniFF	5	4	0.945	func/f090.bmp
168.657	0.995	0.539	ImmFF	6	4	0.582	func/f090.bmp
171.947	0.929	0.526	DelUF	15	7	0.676	func/u097.bmp
175.121	0.969	0.469	IniSF	17	4	0.637	func/s085.bmp
178.295	0.822	0.445	ImmSF	18	4	0.58	func/s085.bmp
181.301	0.835	0.403	IniUF	13	7	0.732	func/u096.bmp
184.375	0.868	0.475	IniFF	5	4	0.963	func/f095.bmp
207.576	1.0	0.553	IniSF	17	7	1.121	func/s094.bmp
210.883	0.985	0.541	ImmSF	18	7	0.989	func/s094.bmp
214.174	0.924	0.536	DelFF	7	7	0.736	func/f087.bmp
217.381	0.845	0.502	IniUF	13	4	1.117	func/u092.bmp
220.521	0.878	0.524	IniUF	13	4	0.693	func/u091.bmp
223.712	0.81	0.543	IniUF	13	4	0.897	func/u084.bmp
226.752	0.91	0.454	ImmUF	14	4	0.758	func/u084.bmp
229.959	0.851	0.454	DelUF	15	7	0.835	func/u096.bmp
233.049	0.801	0.473	IniFF	5	7	0.805	func/f093.bmp
236.123	0.805	0.507	DelFF	7	4	0.667	func/f095.bmp
239.179	0.886	0.475	IniFF	5	7	1.251	func/f088.bmp
242.337	0.856	0.517	ImmFF	6	7	0.925	func/f088.bmp
245.443	0.872	0.474	IniUF	13	4	0.806	func/u086.bmp
248.667	0.937	0.58	DelUF	15	4	1.014	func/u092.bmp
251.874	0.868	0.498	IniFF	5	4	0.916	func/f086.bmp
254.981	0.804	0.478	DelUF	15	7	0.976	func/u091.bmp
258.121	0.871	0.553	IniSF	17	7	1.0	func/s082.bmp
261.245	0.875	0.477	IniUF	13	4	1.046	func/u094.bmp
264.369	0.873	0.472	ImmUF	14	4	0.927	func/u094.bmp
267.542	0.868	0.52	DelFF	7	7	0.79	func/f093.bmp
290.727	0.953	0.545	IniUF	13	7	0.845	func/u093.bmp
294.001	0.967	0.543	ImmUF	14	4	0.918	func/u093.bmp
297.275	0.984	0.548	IniUF	13	4	0.982	func/u090.bmp
300.565	0.835	0.541	DelUF	15	7	0.983	func/u086.bmp
303.622	0.884	0.459	IniFF	5	4	1.091	func/f082.bmp
306.796	0.897	0.533	ImmFF	6	4	0.838	func/f082.bmp
309.953	0.839	0.491	DelFF	7	4	0.935	func/f086.bmp
313.01	0.855	0.443	IniUF	13	7	0.676	func/u089.bmp
316.167	0.847	0.52	DelSF	19	7	0.889	func/s082.bmp
319.307	0.877	0.528	IniSF	17	4	0.59	func/s089.bmp
322.514	0.888	0.565	IniFF	5	7	1.267	func/f097.bmp
325.671	0.948	0.487	ImmFF	6	4	0.889	func/f097.bmp
328.828	0.829	0.44	IniSF	17	7	0.782	func/s084.bmp
331.851	0.914	0.428	ImmSF	18	7	1.03	func/s084.bmp
335.025	0.882	0.495	DelUF	15	4	0.88	func/u090.bmp
338.149	0.843	0.475	IniUF	13	7	0.998	func/u083.bmp
341.34	0.937	0.585	IniSF	17	4	0.654	func/s090.bmp
344.63	0.851	0.584	ImmSF	18	4	0.711	func/s090.bmp
347.686	0.874	0.449	DelUF	15	4	1.098	func/u089.bmp
370.871	0.838	0.53	IniUF	13	4	1.074	func/u095.bmp
374.011	0.806	0.523	ImmUF	14	4	0.766	func/u095.bmp
377.135	0.89	0.538	DelSF	19	4	0.919	func/s089.bmp
380.208	0.847	0.404	IniSF	17	7	0.642	func/s097.bmp
383.265	0.992	0.448	ImmSF	18	7	0.703	func/s097.bmp
386.573	0.933	0.539	IniUF	13	7	0.942	func/u087.bmp
389.813	0.857	0.542	IniSF	17	7	1.077	func/s091.bmp
392.937	0.996	0.492	DelUF	15	4	0.841	func/u083.bmp
