onset	duration	trial_type	value	sample	stim_file
24.1655	0.0	IniFF	5	26582	meg/f126.bmp
24.6991	0.0	btnR	4096	27169	n/a
27.2391	0.0	ImmFF	6	29963	meg/f126.bmp
28.3736	0.0	btnR	4096	31211	n/a
30.4636	0.0	IniUF	13	33510	meg/u093.bmp
31.2818	0.0	btnL	256	34410	n/a
33.6209	0.0	IniFF	5	36983	meg/f039.bmp
34.0718	0.0	btnR	4096	37479	n/a
36.6445	0.0	ImmFF	6	40309	meg/f039.bmp
37.2227	0.0	btnR	4096	40945	n/a
39.8182	0.0	IniSF	17	43800	meg/s020.bmp
40.5473	0.0	btnR	4096	44602	n/a
42.8082	0.0	ImmSF	18	47089	meg/s020.bmp
43.5345	0.0	btnR	4096	47888	n/a
46.0664	0.0	IniFF	5	50673	meg/f094.bmp
46.9355	0.0	btnR	4096	51629	n/a
49.29	0.0	ImmFF	6	54219	meg/f094.bmp
50.2155	0.0	btnR	4096	55237	n/a
52.28	0.0	IniSF	17	57508	meg/s025.bmp
53.1955	0.0	btnL	256	58515	n/a
55.5209	0.0	IniUF	13	61073	meg/u074.bmp
56.1464	0.0	btnL	256	61761	n/a
58.8291	0.0	ImmUF	14	64712	meg/u074.bmp
59.3036	0.0	btnL	256	65234	n/a
61.9527	0.0	DelUF	15	68148	meg/u093.bmp
62.7309	0.0	btnR	4096	69004	n/a
65.1264	0.0	IniSF	17	71639	meg/s135.bmp
65.8036	0.0	btnL	256	72384	n/a
68.3509	0.0	IniUF	13	75186	meg/u105.bmp
68.9745	0.0	btnR	4096	75872	n/a
71.4745	0.0	ImmUF	14	78622	meg/u105.bmp
72.11	0.0	btnR	4096	79321	n/a
74.6818	0.0	IniUF	13	82150	meg/u125.bmp
75.2391	0.0	btnL	256	82763	n/a
77.9564	0.0	IniUF	13	85752	meg/u026.bmp
78.7591	0.0	btnL	256	86635	n/a
81.1136	0.0	ImmUF	14	89225	meg/u026.bmp
81.7755	0.0	btnL	256	89953	n/a
84.2536	0.0	DelSF	19	92679	meg/s025.bmp
84.9418	0.0	btnR	4096	93436	n/a
87.4109	0.0	IniSF	17	96152	meg/s044.bmp
88.0527	0.0	btnL	256	96858	n/a
90.5018	0.0	IniSF	17	99552	meg/s123.bmp
91.1764	0.0	btnR	4096	100294	n/a
93.5918	0.0	DelSF	19	102951	meg/s135.bmp
94.1536	0.0	btnL	256	103569	n/a
96.8	0.0	IniSF	17	106480	meg/s038.bmp
97.37	0.0	btnL	256	107107	n/a
100.1573	0.0	ImmSF	18	110173	meg/s038.bmp
100.7082	0.0	btnL	256	110779	n/a
103.2809	0.0	IniUF	13	113609	meg/u012.bmp
103.9573	0.0	btnL	256	114353	n/a
106.3882	0.0	ImmUF	14	117027	meg/u012.bmp
107.07	0.0	btnL	256	117777	n/a
109.5955	0.0	DelUF	15	120555	meg/u125.bmp
110.3136	0.0	btnL	256	121345	n/a
112.87	0.0	IniFF	5	124157	meg/f026.bmp
113.4382	0.0	btnR	4096	124782	n/a
115.9436	0.0	IniUF	13	127538	meg/u032.bmp
116.7191	0.0	btnR	4096	128391	n/a
119.0845	0.0	DelSF	19	130993	meg/s044.bmp
119.6718	0.0	btnL	256	131639	n/a
122.2745	0.0	IniFF	5	134502	meg/f071.bmp
122.9318	0.0	btnR	4096	135225	n/a
125.4827	0.0	ImmFF	6	138031	meg/f071.bmp
125.9882	0.0	btnR	4096	138587	n/a
128.5391	0.0	DelSF	19	141393	meg/s123.bmp
129.2345	0.0	btnR	4096	142158	n/a
131.7473	0.0	IniSF	17	144922	meg/s101.bmp
132.5127	0.0	btnR	4096	145764	n/a
134.9373	0.0	ImmSF	18	148431	meg/s101.bmp
135.5636	0.0	btnR	4096	149120	n/a
138.1445	0.0	IniFF	5	151959	meg/f117.bmp
139.0764	0.0	btnL	256	152984	n/a
141.3018	0.0	IniFF	5	155432	meg/f078.bmp
142.0027	0.0	btnL	256	156203	n/a
144.3927	0.0	DelFF	7	158832	meg/f026.bmp
144.9945	0.0	btnR	4096	159494	n/a
