onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0	0.921	0.431	IniFF	5.0	n/a	func/f126.bmp
0.922	0.0	n/a	btnR	n/a	0.922	n/a
3.24	0.965	0.545	ImmFF	6.0	n/a	func/f126.bmp
3.732	0.0	n/a	btnR	n/a	0.492	n/a
6.581	1.0	0.505	IniSF	17.0	n/a	func/s119.bmp
7.6	0.0	n/a	btnR	n/a	1.019	n/a
9.738	0.917	0.4	IniSF	17.0	n/a	func/s125.bmp
10.636	0.0	n/a	btnL	n/a	0.898	n/a
12.895	0.839	0.47	IniFF	5.0	n/a	func/f119.bmp
13.808	0.0	n/a	btnR	n/a	0.913	n/a
15.985	0.807	0.479	IniFF	5.0	n/a	func/f115.bmp
16.797	0.0	n/a	btnR	n/a	0.812	n/a
19.025	0.833	0.457	ImmFF	6.0	n/a	func/f115.bmp
19.527	0.0	n/a	btnR	n/a	0.502	n/a
22.166	0.961	0.547	IniSF	17.0	n/a	func/s118.bmp
22.781	0.0	n/a	btnR	n/a	0.615	n/a
25.323	0.88	0.424	ImmSF	18.0	n/a	func/s118.bmp
25.826	0.0	n/a	btnR	n/a	0.503	n/a
48.407	0.92	0.417	IniUF	13.0	n/a	func/u124.bmp
49.315	0.0	n/a	btnR	n/a	0.908	n/a
51.598	0.993	0.492	ImmUF	14.0	n/a	func/u124.bmp
52.137	0.0	n/a	btnR	n/a	0.539	n/a
54.821	0.837	0.466	DelSF	19.0	n/a	func/s119.bmp
55.595	0.0	n/a	btnR	n/a	0.774	n/a
57.962	0.868	0.533	IniFF	5.0	n/a	func/f122.bmp
58.842	0.0	n/a	btnR	n/a	0.88	n/a
61.052	0.924	0.463	ImmFF	6.0	n/a	func/f122.bmp
61.801	0.0	n/a	btnR	n/a	0.749	n/a
64.209	0.946	0.456	DelSF	19.0	n/a	func/s125.bmp
65.206	0.0	n/a	btnL	n/a	0.997	n/a
67.349	0.967	0.406	IniFF	5.0	n/a	func/f125.bmp
68.245	0.0	n/a	btnR	n/a	0.896	n/a
70.573	0.949	0.493	ImmFF	6.0	n/a	func/f125.bmp
71.322	0.0	n/a	btnR	n/a	0.749	n/a
73.73	0.973	0.445	DelFF	7.0	n/a	func/f119.bmp
74.295	0.0	n/a	btnR	n/a	0.565	n/a
76.954	0.819	0.473	IniFF	5.0	n/a	func/f118.bmp
77.636	0.0	n/a	btnR	n/a	0.682	n/a
80.027	0.977	0.461	IniSF	17.0	n/a	func/s129.bmp
81.046	0.0	n/a	btnR	n/a	1.019	n/a
83.318	0.807	0.55	IniSF	17.0	n/a	func/s115.bmp
84.14	0.0	n/a	btnL	n/a	0.822	n/a
86.358	0.833	0.466	ImmSF	18.0	n/a	func/s115.bmp
87.285	0.0	n/a	btnL	n/a	0.927	n/a
89.532	0.859	0.582	IniUF	13.0	n/a	func/u130.bmp
90.137	0.0	n/a	btnR	n/a	0.605	n/a
92.689	0.83	0.518	IniUF	13.0	n/a	func/u118.bmp
93.541	0.0	n/a	btnR	n/a	0.852	n/a
95.829	0.807	0.538	ImmUF	14.0	n/a	func/u118.bmp
96.429	0.0	n/a	btnR	n/a	0.6	n/a
98.886	0.998	0.469	IniFF	5.0	n/a	func/f123.bmp
99.921	0.0	n/a	btnR	n/a	1.035	n/a
102.243	0.997	0.597	DelFF	7.0	n/a	func/f118.bmp
103.101	0.0	n/a	btnR	n/a	0.858	n/a
105.601	0.918	0.592	IniSF	17.0	n/a	func/s114.bmp
106.577	0.0	n/a	btnR	n/a	0.976	n/a
108.707	0.995	0.422	DelSF	19.0	n/a	func/s129.bmp
109.596	0.0	n/a	btnR	n/a	0.889	n/a
132.076	0.931	0.593	IniUF	13.0	n/a	func/u119.bmp
133.165	0.0	n/a	btnR	n/a	1.089	n/a
135.266	0.838	0.498	ImmUF	14.0	n/a	func/u119.bmp
135.962	0.0	n/a	btnR	n/a	0.696	n/a
138.373	0.976	0.489	IniSF	17.0	n/a	func/s126.bmp
139.282	0.0	n/a	btnR	n/a	0.909	n/a
141.597	0.938	0.477	ImmSF	18.0	n/a	func/s126.bmp
142.337	0.0	n/a	btnR	n/a	0.74	n/a
144.804	0.962	0.492	DelUF	15.0	n/a	func/u130.bmp
145.653	0.0	n/a	btnR	n/a	0.849	n/a
147.944	0.886	0.414	IniFF	5.0	n/a	func/f114.bmp
148.78	0.0	n/a	btnR	n/a	0.836	n/a
151.101	0.86	0.513	IniFF	5.0	n/a	func/f129.bmp
152.514	0.0	n/a	btnL	n/a	1.413	n/a
154.242	0.971	0.512	DelFF	7.0	n/a	func/f123.bmp
155.609	0.0	n/a	btnR	n/a	1.367	n/a
157.499	0.843	0.51	IniFF	5.0	n/a	func/f121.bmp
158.219	0.0	n/a	btnR	n/a	0.72	n/a
160.522	0.822	0.41	ImmFF	6.0	n/a	func/f121.bmp
161.866	0.0	n/a	btnR	n/a	1.344	n/a
163.562	0.924	0.442	DelSF	19.0	n/a	func/s114.bmp
164.486	0.0	n/a	btnL	n/a	0.924	n/a
166.819	0.809	0.565	IniUF	13.0	n/a	func/u126.bmp
167.826	0.0	n/a	btnR	n/a	1.007	n/a
169.793	0.907	0.4	ImmUF	14.0	n/a	func/u126.bmp
170.307	0.0	n/a	btnR	n/a	0.514	n/a
173.0	0.937	0.518	IniUF	13.0	n/a	func/u116.bmp
173.942	0.0	n/a	btnR	n/a	0.942	n/a
176.257	0.997	0.552	ImmUF	14.0	n/a	func/u116.bmp
176.691	0.0	n/a	btnR	n/a	0.434	n/a
179.549	0.906	0.525	IniUF	13.0	n/a	func/u121.bmp
180.213	0.0	n/a	btnR	n/a	0.664	n/a
182.788	0.864	0.558	ImmUF	14.0	n/a	func/u121.bmp
183.566	0.0	n/a	btnR	n/a	0.778	n/a
186.012	0.821	0.597	DelFF	7.0	n/a	func/f114.bmp
187.176	0.0	n/a	btnL	n/a	1.164	n/a
209.147	0.962	0.526	IniUF	13.0	n/a	func/u127.bmp
209.864	0.0	n/a	btnR	n/a	0.717	n/a
212.32	0.888	0.444	DelFF	7.0	n/a	func/f129.bmp
213.344	0.0	n/a	btnL	n/a	1.024	n/a
215.494	0.809	0.513	IniSF	17.0	n/a	func/s120.bmp
216.602	0.0	n/a	btnR	n/a	1.108	n/a
218.484	0.835	0.404	IniFF	5.0	n/a	func/f120.bmp
219.58	0.0	n/a	btnR	n/a	1.096	n/a
221.541	0.811	0.453	IniUF	13.0	n/a	func/u129.bmp
222.376	0.0	n/a	btnR	n/a	0.835	n/a
224.597	0.903	0.48	IniUF	13.0	n/a	func/u120.bmp
225.498	0.0	n/a	btnR	n/a	0.901	n/a
