onset	duration	trial_type	value	sample	stim_file
23.5227	0.0	IniSF	17	25875	meg/s032.bmp
24.2245	0.0	btnR	4096	26647	n/a
26.7973	0.0	ImmSF	18	29477	meg/s032.bmp
27.31	0.0	btnR	4096	30041	n/a
30.1045	0.0	IniSF	17	33115	meg/s104.bmp
30.7973	0.0	btnR	4096	33877	n/a
33.2955	0.0	IniFF	5	36625	meg/f139.bmp
34.4809	0.0	btnL	256	37929	n/a
36.62	0.0	IniFF	5	40282	meg/f050.bmp
37.3045	0.0	btnL	256	41035	n/a
39.71	0.0	IniFF	5	43681	meg/f138.bmp
40.3736	0.0	btnL	256	44411	n/a
42.8009	0.0	IniSF	17	47081	meg/s003.bmp
43.4109	0.0	btnR	4096	47752	n/a
45.9409	0.0	ImmSF	18	50535	meg/s003.bmp
46.4373	0.0	btnR	4096	51081	n/a
49.2318	0.0	IniUF	13	54155	meg/u017.bmp
49.8709	0.0	btnR	4096	54858	n/a
52.2555	0.0	DelSF	19	57481	meg/s104.bmp
52.9655	0.0	btnR	4096	58262	n/a
55.4964	0.0	IniFF	5	61046	meg/f014.bmp
56.1773	0.0	btnR	4096	61795	n/a
58.8036	0.0	ImmFF	6	64684	meg/f014.bmp
59.4555	0.0	btnR	4096	65401	n/a
61.9282	0.0	DelFF	7	68121	meg/f139.bmp
63.1591	0.0	btnR	4096	69475	n/a
65.1018	0.0	IniUF	13	71612	meg/u039.bmp
65.77	0.0	btnR	4096	72347	n/a
68.3091	0.0	ImmUF	14	75140	meg/u039.bmp
69.0827	0.0	btnR	4096	75991	n/a
71.2827	0.0	DelFF	7	78411	meg/f050.bmp
72.0836	0.0	btnL	256	79292	n/a
74.3736	0.0	IniFF	5	81811	meg/f039.bmp
75.0636	0.0	btnL	256	82570	n/a
77.4809	0.0	DelFF	7	85229	meg/f138.bmp
78.2	0.0	btnL	256	86020	n/a
80.6882	0.0	IniSF	17	88757	meg/s022.bmp
81.3509	0.0	btnR	4096	89486	n/a
83.8955	0.0	ImmSF	18	92285	meg/s022.bmp
84.3982	0.0	btnR	4096	92838	n/a
87.1864	0.0	IniSF	17	95905	meg/s049.bmp
87.9173	0.0	btnR	4096	96709	n/a
90.3773	0.0	ImmSF	18	99415	meg/s049.bmp
90.8773	0.0	btnR	4096	99965	n/a
93.4673	0.0	DelUF	15	102814	meg/u017.bmp
94.2973	0.0	btnR	4096	103727	n/a
96.6409	0.0	IniUF	13	106305	meg/u063.bmp
97.3627	0.0	btnR	4096	107099	n/a
99.7818	0.0	ImmUF	14	109760	meg/u063.bmp
100.4373	0.0	btnR	4096	110481	n/a
102.9555	0.0	IniFF	5	113251	meg/f149.bmp
103.8736	0.0	btnL	256	114261	n/a
106.03	0.0	IniUF	13	116633	meg/u121.bmp
106.6918	0.0	btnR	4096	117361	n/a
109.12	0.0	DelFF	7	120032	meg/f039.bmp
109.8618	0.0	btnL	256	120848	n/a
112.16	0.0	IniUF	13	123376	meg/u145.bmp
112.9364	0.0	btnR	4096	124230	n/a
115.3509	0.0	IniFF	5	126886	meg/f066.bmp
116.3073	0.0	btnR	4096	127938	n/a
118.4245	0.0	IniUF	13	130267	meg/u132.bmp
119.1345	0.0	btnR	4096	131048	n/a
121.6655	0.0	IniSF	17	133832	meg/s149.bmp
122.3809	0.0	btnR	4096	134619	n/a
124.8064	0.0	ImmSF	18	137287	meg/s149.bmp
125.4173	0.0	btnR	4096	137959	n/a
127.8636	0.0	DelFF	7	140650	meg/f149.bmp
128.92	0.0	btnL	256	141812	n/a
130.9373	0.0	IniSF	17	144031	meg/s063.bmp
132.0855	0.0	btnL	256	145294	n/a
133.9436	0.0	ImmSF	18	147338	meg/s063.bmp
