onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.932	0.524	IniUF	13	4.0	0.936	func/u066.bmp
3.207	0.989	0.503	IniFF	5	7.0	0.914	func/f081.bmp
6.665	0.901	0.586	ImmFF	6	7.0	0.865	func/f081.bmp
9.788	0.892	0.466	IniUF	13	4.0	0.755	func/u074.bmp
13.029	0.829	0.58	IniFF	5	4.0	1.244	func/f065.bmp
16.069	0.835	0.44	ImmFF	6	4.0	0.758	func/f065.bmp
19.243	0.875	0.578	IniUF	13	7.0	1.235	func/u075.bmp
22.383	0.968	0.497	IniSF	17	7.0	0.679	func/s074.bmp
25.657	0.997	0.544	DelUF	15	4.0	0.802	func/u066.bmp
48.909	0.963	0.473	IniUF	13	4.0	0.958	func/u081.bmp
52.149	0.937	0.513	ImmUF	14	4.0	0.735	func/u081.bmp
55.423	0.945	0.558	IniFF	5	4.0	0.897	func/f066.bmp
58.68	0.888	0.548	ImmFF	6	7.0	0.881	func/f066.bmp
61.937	0.897	0.596	DelUF	15	4.0	0.858	func/u074.bmp
65.178	0.834	0.572	IniFF	5	7.0	0.69	func/f078.bmp
68.285	0.887	0.512	IniFF	5	7.0	0.783	func/f077.bmp
71.475	0.891	0.519	DelUF	15	4.0	0.896	func/u075.bmp
74.716	0.903	0.581	IniUF	13	4.0	0.894	func/u071.bmp
77.99	0.937	0.597	ImmUF	14	4.0	1.302	func/u071.bmp
81.163	0.989	0.471	DelSF	19	4.0	1.08	func/s074.bmp
84.354	0.925	0.418	IniSF	17	7.0	0.805	func/s066.bmp
87.628	0.808	0.569	ImmSF	18	4.0	0.875	func/s066.bmp
90.618	0.971	0.415	IniUF	13	4.0	1.225	func/u078.bmp
93.925	0.921	0.559	IniFF	5		0.0	func/f075.bmp
97.166	0.956	0.539	DelFF	7	7.0	0.931	func/f078.bmp
100.423	0.847	0.52	IniFF	5	7.0	1.772	func/f071.bmp
103.613	0.913	0.573	ImmFF	6	7.0	0.518	func/f071.bmp
106.837	0.99	0.539	DelFF	7	7.0	1.084	func/f077.bmp
130.055	0.873	0.437	IniUF	13	4.0	0.805	func/u073.bmp
133.229	0.884	0.532	ImmUF	14	4.0	0.729	func/u073.bmp
136.469	0.808	0.598	IniUF	13	7.0	0.884	func/u065.bmp
139.626	0.981	0.569	ImmUF	14	7.0	0.738	func/u065.bmp
142.817	0.848	0.442	IniUF	13	7.0	0.823	func/u079.bmp
145.991	0.854	0.56	DelUF	15	4.0	0.791	func/u078.bmp
149.148	0.905	0.532	IniFF	5	7.0	0.805	func/f069.bmp
152.355	0.994	0.533	ImmFF	6	7.0	0.691	func/f069.bmp
155.528	0.85	0.407	DelFF	7	7.0	1.092	func/f075.bmp
158.736	0.859	0.588	IniUF	13		0.0	func/u070.bmp
161.792	0.871	0.432	IniFF	5	7.0	1.012	func/f074.bmp
164.849	0.963	0.404	IniFF	5	7.0	0.843	func/f080.bmp
168.073	0.899	0.488	ImmFF	6	7.0	1.23	func/f080.bmp
171.213	0.971	0.482	IniSF	17	7.0	1.453	func/s068.bmp
174.47	0.889	0.505	ImmSF	18	7.0	0.83	func/s068.bmp
177.644	0.989	0.51	DelUF	15	7.0	1.27	func/u079.bmp
180.851	0.91	0.45	IniUF	13	4.0	1.479	func/u067.bmp
183.992	0.873	0.465	IniFF	5	4.0	0.885	func/f073.bmp
187.215	0.85	0.577	DelUF	15	4.0	1.041	func/u070.bmp
210.434	0.91	0.599	IniUF	13	4.0	0.832	func/u069.bmp
213.708	0.943	0.598	DelFF	7	7.0	0.533	func/f074.bmp
216.865	0.859	0.437	IniFF	5	4.0	0.843	func/f070.bmp
219.955	0.906	0.463	ImmFF	6	4.0	0.793	func/f070.bmp
223.162	0.97	0.532	IniFF	5	4.0	0.877	func/f067.bmp
226.453	0.811	0.551	IniFF	5	4.0	0.799	func/f079.bmp
229.493	0.862	0.461	ImmFF	6	4.0	0.691	func/f079.bmp
232.766	0.85	0.57	DelUF	15	4.0	0.675	func/u067.bmp
235.974	0.852	0.599	IniSF	17	7.0	0.802	func/s077.bmp
239.097	0.879	0.51	ImmSF	18	7.0	0.758	func/s077.bmp
242.204	0.913	0.452	DelFF	7	7.0	1.681	func/f073.bmp
245.394	0.881	0.502	IniSF	17	4.0	1.034	func/s075.bmp
248.518	0.957	0.471	DelUF	15	4.0	0.849	func/u069.bmp
251.825	0.803	0.578	IniSF	17	7.0	0.99	func/s080.bmp
254.982	0.991	0.594	ImmSF	18	7.0	0.796	func/s080.bmp
258.29	0.972	0.547	IniSF	17	7.0	1.054	func/s072.bmp
261.597	0.986	0.555	ImmSF	18	7.0	0.989	func/s072.bmp
264.771	0.87	0.433	DelFF	7	4.0	0.96	func/f067.bmp
267.811	0.937	0.404	IniSF	17	7.0	0.997	func/s070.bmp
271.001	0.848	0.48	IniUF	13	4.0	0.937	func/u068.bmp
294.052	0.952	0.427	IniFF	5	7.0	0.636	func/f068.bmp
297.26	0.809	0.494	ImmFF	6	7.0	0.471	func/f068.bmp
300.266	0.904	0.419	DelSF	19	7.0	0.903	func/s075.bmp
303.423	0.91	0.476	IniUF	13	4.0	1.119	func/u077.bmp
306.547	0.867	0.439	ImmUF	14	4.0	1.034	func/u077.bmp
309.604	0.891	0.423	IniSF	17	7.0	0.878	func/s071.bmp
312.694	0.816	0.421	ImmSF	18	7.0	0.827	func/s071.bmp
315.734	0.939	0.456	IniSF	17	7.0	0.785	func/s069.bmp
319.041	0.823	0.592	ImmSF	18	7.0	0.877	func/s069.bmp
322.131	0.8	0.493	DelSF	19	7.0	0.894	func/s070.bmp
325.189	0.87	0.501	IniFF	5	7.0	1.061	func/f072.bmp
328.412	0.981	0.569	DelUF	15	4.0	1.432	func/u068.bmp
331.569	0.828	0.414	IniSF	17	4.0	1.016	func/s067.bmp
334.592	0.942	0.431	ImmSF	18	4.0	1.056	func/s067.bmp
337.766	0.968	0.459	IniUF	13		0.0	func/u072.bmp
340.99	0.874	0.488	IniSF	17	7.0	1.478	func/s079.bmp
