onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.918	0.415	IniSF	17	7.0	1.173	func/s111.bmp
3.174	0.836	0.5	IniUF	13	7.0	1.137	func/u103.bmp
6.381	0.893	0.517	ImmUF	14	7.0	1.08	func/u103.bmp
9.588	0.859	0.544	IniUF	13	7.0	0.958	func/u112.bmp
12.779	0.947	0.555	IniSF	17	7.0	1.421	func/s103.bmp
16.052	0.812	0.563	ImmSF	18	7.0	0.699	func/s103.bmp
19.126	0.869	0.489	IniSF	17	7.0	1.268	func/s102.bmp
22.3	0.854	0.542	IniSF	17	7.0	0.736	func/s098.bmp
25.49	0.949	0.567	ImmSF	18	7.0	0.906	func/s098.bmp
28.731	0.908	0.53	DelSF	19	4.0	1.072	func/s111.bmp
51.965	0.895	0.541	IniUF	13	4.0	1.493	func/u098.bmp
55.206	0.986	0.576	IniSF	17	4.0	0.93	func/s109.bmp
58.48	0.886	0.519	ImmSF	18	4.0	0.805	func/s109.bmp
61.537	0.805	0.406	DelUF	15	7.0	0.92	func/u112.bmp
64.577	0.863	0.456	IniFF	5	4.0	1.109	func/f107.bmp
67.634	0.874	0.423	IniSF	17	4.0	0.918	func/s099.bmp
70.807	0.979	0.523	ImmSF	18	4.0	0.801	func/s099.bmp
73.998	0.969	0.437	DelSF	19	7.0	1.556	func/s102.bmp
77.238	0.82	0.511	IniUF	13	4.0	1.08	func/u109.bmp
80.378	0.978	0.549	IniFF	5	7.0	1.258	func/f101.bmp
83.686	0.809	0.56	DelUF	15	4.0	1.065	func/u098.bmp
86.759	0.966	0.491	IniUF	13	7.0	1.069	func/u100.bmp
89.9	0.827	0.414	ImmUF	14	7.0	0.929	func/u100.bmp
93.04	0.958	0.546	IniUF	13	7.0	1.153	func/u106.bmp
96.197	0.83	0.433	ImmUF	14	7.0	0.79	func/u106.bmp
99.204	0.919	0.408	DelFF	7	4.0	1.079	func/f107.bmp
102.344	0.878	0.456	IniSF	17	7.0	1.286	func/s101.bmp
105.518	0.829	0.525	ImmSF	18	7.0	1.104	func/s101.bmp
128.569	0.913	0.447	IniFF	5	7.0	1.137	func/f105.bmp
131.809	0.832	0.552	DelUF	15	7.0	1.369	func/u109.bmp
134.933	0.931	0.534	IniUF	13	4.0	0.896	func/u105.bmp
138.223	0.956	0.592	DelFF	7	7.0	0.986	func/f101.bmp
141.431	0.885	0.479	IniUF	13	7.0	1.195	func/u108.bmp
144.604	0.967	0.532	IniUF	13	7.0	1.141	func/u099.bmp
147.895	0.954	0.557	IniFF	5	4.0	1.486	func/f108.bmp
151.169	0.985	0.535	IniUF	13	7.0	1.057	func/u111.bmp
154.343	0.879	0.427	ImmUF	14		0.0	func/u111.bmp
157.566	0.888	0.575	DelFF	7	7.0	0.73	func/f105.bmp
160.64	0.929	0.414	IniSF	17	4.0	0.969	func/s108.bmp
163.897	0.911	0.555	ImmSF	18	4.0	0.707	func/s108.bmp
167.071	0.967	0.494	DelUF	15	7.0	0.958	func/u105.bmp
170.361	0.977	0.557	IniUF	13	7.0	1.003	func/u110.bmp
173.518	0.887	0.41	DelUF	15	7.0	0.743	func/u108.bmp
176.675	0.915	0.494	IniFF	5	4.0	0.966	func/f110.bmp
179.766	0.991	0.406	ImmFF	6	4.0	0.677	func/f110.bmp
183.056	0.931	0.519	DelUF	15	7.0	0.891	func/u099.bmp
186.347	0.854	0.599	IniUF	13	7.0	0.902	func/u113.bmp
189.487	0.82	0.512	ImmUF	14	7.0	1.546	func/u113.bmp
192.611	0.985	0.519	DelFF	7	4.0	0.881	func/f108.bmp
215.862	0.906	0.486	IniSF	17	4.0	0.953	func/s104.bmp
219.003	0.944	0.465	IniFF	5	4.0	0.762	func/f102.bmp
222.243	0.845	0.519	ImmFF	6	4.0	0.622	func/f102.bmp
225.267	0.958	0.408	IniUF	13	4.0	0.908	func/u107.bmp
228.574	0.957	0.583	DelUF	15	7.0	0.561	func/u110.bmp
231.815	0.987	0.467	IniSF	17	4.0	1.018	func/s113.bmp
