onset	duration	trial_type	value	sample	stim_file
24.6736	0.0	IniUF	13	27141	meg/u071.bmp
25.2418	0.0	btnL	256	27766	n/a
27.8982	0.0	IniSF	17	30688	meg/s127.bmp
28.5264	0.0	btnL	256	31379	n/a
31.1055	0.0	IniUF	13	34216	meg/u016.bmp
31.9455	0.0	btnR	4096	35140	n/a
34.2127	0.0	ImmUF	14	37634	meg/u016.bmp
34.7145	0.0	btnR	4096	38186	n/a
37.3027	0.0	IniUF	13	41033	meg/u010.bmp
37.8909	0.0	btnL	256	41680	n/a
40.5273	0.0	ImmUF	14	44580	meg/u010.bmp
41.0673	0.0	btnR	4096	45174	n/a
43.7845	0.0	IniFF	5	48163	meg/f093.bmp
44.3236	0.0	btnR	4096	48756	n/a
46.9582	0.0	ImmFF	6	51654	meg/f093.bmp
47.3873	0.0	btnR	4096	52126	n/a
50.0991	0.0	IniFF	5	55109	meg/f029.bmp
50.6727	0.0	btnL	256	55740	n/a
53.1391	0.0	DelUF	15	58453	meg/u071.bmp
53.7773	0.0	btnL	256	59155	n/a
56.3636	0.0	IniSF	17	62000	meg/s058.bmp
57.0082	0.0	btnL	256	62709	n/a
59.3873	0.0	ImmSF	18	65326	meg/s058.bmp
60.2045	0.0	btnL	256	66225	n/a
62.5945	0.0	DelSF	19	68854	meg/s127.bmp
63.1391	0.0	btnR	4096	69453	n/a
65.7682	0.0	IniFF	5	72345	meg/f071.bmp
66.5745	0.0	btnL	256	73232	n/a
69.0091	0.0	ImmFF	6	75910	meg/f071.bmp
69.7882	0.0	btnL	256	76767	n/a
72.3336	0.0	IniFF	5	79567	meg/f016.bmp
72.9382	0.0	btnL	256	80232	n/a
75.5409	0.0	IniFF	5	83095	meg/f023.bmp
76.1655	0.0	btnR	4096	83782	n/a
78.8318	0.0	ImmFF	6	86715	meg/f023.bmp
79.38	0.0	btnR	4096	87318	n/a
81.9564	0.0	IniSF	17	90152	meg/s090.bmp
82.5745	0.0	btnL	256	90832	n/a
85.18	0.0	ImmSF	18	93698	meg/s090.bmp
85.7864	0.0	btnR	4096	94365	n/a
88.3536	0.0	DelFF	7	97189	meg/f029.bmp
88.8755	0.0	btnL	256	97763	n/a
91.5445	0.0	IniUF	13	100699	meg/u033.bmp
92.18	0.0	btnR	4096	101398	n/a
94.6182	0.0	ImmUF	14	104080	meg/u033.bmp
95.2082	0.0	btnL	256	104729	n/a
97.8591	0.0	IniSF	17	107645	meg/s036.bmp
98.6573	0.0	btnL	256	108523	n/a
100.95	0.0	ImmSF	18	111045	meg/s036.bmp
101.8318	0.0	btnR	4096	112015	n/a
104.0736	0.0	IniUF	13	114481	meg/u009.bmp
104.6564	0.0	btnR	4096	115122	n/a
107.1309	0.0	DelFF	7	117844	meg/f016.bmp
110.1873	0.0	IniFF	5	121206	meg/f028.bmp
110.7564	0.0	btnR	4096	121832	n/a
113.4955	0.0	IniSF	17	124845	meg/s120.bmp
114.3964	0.0	btnR	4096	125836	n/a
116.6864	0.0	IniSF	17	128355	meg/s023.bmp
117.3364	0.0	btnL	256	129070	n/a
117.4909	0.0	btnR	4096	129240	n/a
119.8436	0.0	IniSF	17	131828	meg/s049.bmp
120.8909	0.0	btnR	4096	132980	n/a
123.0509	0.0	ImmSF	18	135356	meg/s049.bmp
123.5655	0.0	btnR	4096	135922	n/a
126.2745	0.0	IniFF	5	138902	meg/f115.bmp
126.9382	0.0	btnR	4096	139632	n/a
129.5655	0.0	DelUF	15	142522	meg/u009.bmp
130.0291	0.0	btnR	4096	143032	n/a
132.6564	0.0	IniSF	17	145922	meg/s034.bmp
133.2918	0.0	btnR	4096	146621	n/a
135.68	0.0	DelFF	7	149248	meg/f028.bmp
136.0809	0.0	btnR	4096	149689	n/a
138.9709	0.0	IniFF	5	152868	meg/f112.bmp
139.6291	0.0	btnL	256	153592	n/a
142.2782	0.0	ImmFF	6	156506	meg/f112.bmp
142.8655	0.0	btnL	256	157152	n/a
145.5864	0.0	DelSF	19	160145	meg/s120.bmp
146.2618	0.0	btnR	4096	160888	n/a
148.7436	0.0	IniSF	17	163618	meg/s046.bmp
149.24	0.0	btnR	4096	164164	n/a
152.0682	0.0	DelSF	19	167275	meg/s023.bmp
152.5836	0.0	btnR	4096	167842	n/a
155.2582	0.0	IniSF	17	170784	meg/s144.bmp
155.7073	0.0	btnR	4096	171278	n/a
158.2482	0.0	IniFF	5	174073	meg/f148.bmp
158.8118	0.0	btnR	4096	174693	n/a
161.3891	0.0	ImmFF	6	177528	meg/f148.bmp
161.8845	0.0	btnR	4096	178073	n/a
164.3145	0.0	btnR	4096	180746	n/a
164.4964	0.0	DelFF	7	180946	meg/f115.bmp
167.6536	0.0	IniSF	17	184419	meg/s131.bmp
168.3218	0.0	btnR	4096	185154	n/a
170.8273	0.0	DelSF	19	187910	meg/s034.bmp
171.34	0.0	btnL	256	188474	n/a
174.1355	0.0	IniSF	17	191549	meg/s007.bmp
174.6855	0.0	btnR	4096	192154	n/a
177.2255	0.0	ImmSF	18	194948	meg/s007.bmp
177.6809	0.0	btnR	4096	195449	n/a
180.3327	0.0	IniSF	17	198366	meg/s003.bmp
180.8827	0.0	btnR	4096	198971	n/a
183.5564	0.0	DelSF	19	201912	meg/s046.bmp
183.9918	0.0	btnR	4096	202391	n/a
186.7136	0.0	IniSF	17	205385	meg/s030.bmp
187.2973	0.0	btnR	4096	206027	n/a
189.8882	0.0	ImmSF	18	208877	meg/s030.bmp
190.5527	0.0	btnR	4096	209608	n/a
192.9782	0.0	DelSF	19	212276	meg/s144.bmp
193.4936	0.0	btnR	4096	212843	n/a
196.2527	0.0	IniFF	5	215878	meg/f078.bmp
196.8464	0.0	btnR	4096	216531	n/a
199.5773	0.0	IniUF	13	219535	meg/u133.bmp
200.13	0.0	btnR	4096	220143	n/a
202.7173	0.0	DelSF	19	222989	meg/s131.bmp
203.2345	0.0	btnR	4096	223558	n/a
206.0082	0.0	IniFF	5	226609	meg/f140.bmp
206.4918	0.0	btnR	4096	227141	n/a
209.2327	0.0	ImmFF	6	230156	meg/f140.bmp
209.6364	0.0	btnR	4096	230600	n/a
212.4564	0.0	IniFF	5	233702	meg/f017.bmp
212.9409	0.0	btnR	4096	234235	n/a
215.7145	0.0	DelSF	19	237286	meg/s003.bmp
216.24	0.0	btnR	4096	237864	n/a
218.8882	0.0	IniUF	13	240777	meg/u112.bmp
219.87	0.0	btnR	4096	241857	n/a
222.1291	0.0	ImmUF	14	244342	meg/u112.bmp
222.7809	0.0	btnR	4096	245059	n/a
225.2191	0.0	IniUF	13	247741	meg/u134.bmp
225.7427	0.0	btnR	4096	248317	n/a
228.3327	0.0	btnR	4096	251166	n/a
228.4273	0.0	ImmUF	14	251270	meg/u134.bmp
231.5845	0.0	DelFF	7	254743	meg/f078.bmp
232.1582	0.0	btnR	4096	255374	n/a
234.6745	0.0	IniFF	5	258142	meg/f010.bmp
235.2355	0.0	btnR	4096	258759	n/a
237.7318	0.0	ImmFF	6	261505	meg/f010.bmp
238.2291	0.0	btnR	4096	262052	n/a
241.0391	0.0	DelUF	15	265143	meg/u133.bmp
241.6673	0.0	btnR	4096	265834	n/a
244.3136	0.0	IniSF	17	268745	meg/s100.bmp
244.8191	0.0	btnR	4096	269301	n/a
247.4709	0.0	IniUF	13	272218	meg/u088.bmp
