onset	duration	trial_type	value	sample	stim_file
23.3182	0.0	IniUF	13	25650	meg/u094.bmp
23.9455	0.0	btnR	4096	26340	n/a
26.5582	0.0	IniUF	13	29214	meg/u018.bmp
27.0418	0.0	btnR	4096	29746	n/a
29.7318	0.0	IniFF	5	32705	meg/f095.bmp
30.1609	0.0	btnR	4096	33177	n/a
32.9055	0.0	IniSF	17	36196	meg/s014.bmp
33.5255	0.0	btnL	256	36878	n/a
36.0627	0.0	ImmSF	18	39669	meg/s014.bmp
36.7545	0.0	btnL	256	40430	n/a
39.1045	0.0	IniSF	17	43015	meg/s059.bmp
39.5882	0.0	btnL	256	43547	n/a
42.16	0.0	IniUF	13	46376	meg/u008.bmp
42.7	0.0	btnR	4096	46970	n/a
45.2009	0.0	ImmUF	14	49721	meg/u008.bmp
45.6727	0.0	btnR	4096	50240	n/a
48.3582	0.0	DelUF	15	53194	meg/u094.bmp
49.0155	0.0	btnR	4096	53917	n/a
51.4982	0.0	IniUF	13	56648	meg/u040.bmp
54.6555	0.0	ImmUF	14	60121	meg/u040.bmp
55.1118	0.0	btnR	4096	60623	n/a
57.8127	0.0	DelUF	15	63594	meg/u018.bmp
58.3036	0.0	btnR	4096	64134	n/a
61.0536	0.0	IniUF	13	67159	meg/u062.bmp
61.4545	0.0	btnR	4096	67600	n/a
64.1782	0.0	DelFF	7	70596	meg/f095.bmp
64.6891	0.0	btnR	4096	71158	n/a
67.3682	0.0	IniUF	13	74105	meg/u053.bmp
67.8136	0.0	btnR	4096	74595	n/a
70.4927	0.0	IniFF	5	77542	meg/f134.bmp
70.9755	0.0	btnR	4096	78073	n/a
73.5327	0.0	ImmFF	6	80886	meg/f134.bmp
74.0055	0.0	btnR	4096	81406	n/a
76.7564	0.0	DelSF	19	84432	meg/s059.bmp
77.3327	0.0	btnR	4096	85066	n/a
79.9809	0.0	IniSF	17	87979	meg/s105.bmp
80.6345	0.0	btnL	256	88698	n/a
83.1882	0.0	IniSF	17	91507	meg/s055.bmp
83.8573	0.0	btnL	256	92243	n/a
86.3455	0.0	IniFF	5	94980	meg/f005.bmp
87.0336	0.0	btnR	4096	95737	n/a
89.4364	0.0	ImmFF	6	98380	meg/f005.bmp
89.9291	0.0	btnR	4096	98922	n/a
92.5609	0.0	DelUF	15	101817	meg/u062.bmp
93.05	0.0	btnR	4096	102355	n/a
95.8173	0.0	IniFF	5	105399	meg/f081.bmp
96.4491	0.0	btnR	4096	106094	n/a
98.9745	0.0	ImmFF	6	108872	meg/f081.bmp
99.37	0.0	btnR	4096	109307	n/a
101.9818	0.0	DelUF	15	112180	meg/u053.bmp
102.4609	0.0	btnR	4096	112707	n/a
105.1718	0.0	IniSF	17	115689	meg/s057.bmp
105.9536	0.0	btnR	4096	116549	n/a
108.3964	0.0	IniFF	5	119236	meg/f068.bmp
108.9309	0.0	btnR	4096	119824	n/a
111.4873	0.0	ImmFF	6	122636	meg/f068.bmp
111.9809	0.0	btnR	4096	123179	n/a
114.7109	0.0	DelSF	19	126182	meg/s105.bmp
115.3309	0.0	btnL	256	126864	n/a
118.0018	0.0	IniFF	5	129802	meg/f149.bmp
118.7736	0.0	btnR	4096	130651	n/a
121.2264	0.0	DelSF	19	133349	meg/s055.bmp
121.7882	0.0	btnR	4096	133967	n/a
124.3327	0.0	IniFF	5	136766	meg/f038.bmp
124.8591	0.0	btnR	4096	137345	n/a
127.5736	0.0	ImmFF	6	140331	meg/f038.bmp
128.0282	0.0	btnR	4096	140831	n/a
130.6645	0.0	IniFF	5	143731	meg/f139.bmp
131.18	0.0	btnR	4096	144298	n/a
133.8382	0.0	ImmFF	6	147222	meg/f139.bmp
134.2645	0.0	btnR	4096	147691	n/a
137.0291	0.0	IniSF	17	150732	meg/s114.bmp
137.7536	0.0	btnL	256	151529	n/a
140.0864	0.0	ImmSF	18	154095	meg/s114.bmp
140.8445	0.0	btnL	256	154929	n/a
143.1273	0.0	DelSF	19	157440	meg/s057.bmp
143.7836	0.0	btnR	4096	158162	n/a
146.2173	0.0	IniUF	13	160839	meg/u076.bmp
146.7209	0.0	btnR	4096	161393	n/a
149.3573	0.0	IniUF	13	164293	meg/u063.bmp
149.8136	0.0	btnR	4096	164795	n/a
152.5482	0.0	DelFF	7	167803	meg/f149.bmp
152.9345	0.0	btnR	4096	168228	n/a
155.7055	0.0	IniSF	17	171276	meg/s119.bmp
156.0918	0.0	btnR	4096	171701	n/a
159.0627	0.0	ImmSF	18	174969	meg/s119.bmp
159.3273	0.0	btnR	4096	175260	n/a
162.12	0.0	IniUF	13	178332	meg/u109.bmp
162.7073	0.0	btnR	4096	178978	n/a
165.3445	0.0	ImmUF	14	181879	meg/u109.bmp
165.9127	0.0	btnR	4096	182504	n/a
168.5682	0.0	IniFF	5	185425	meg/f088.bmp
169.06	0.0	btnR	4096	185966	n/a
171.6755	0.0	IniUF	13	188843	meg/u150.bmp
172.07	0.0	btnR	4096	189277	n/a
174.6655	0.0	DelUF	15	192132	meg/u076.bmp
175.0582	0.0	btnR	4096	192564	n/a
177.9236	0.0	IniUF	13	195716	meg/u015.bmp
178.5373	0.0	btnR	4096	196391	n/a
180.93	0.0	ImmUF	14	199023	meg/u015.bmp
181.4291	0.0	btnR	4096	199572	n/a
184.2382	0.0	DelUF	15	202662	meg/u063.bmp
184.6945	0.0	btnR	4096	203164	n/a
187.4282	0.0	IniUF	13	206171	meg/u106.bmp
187.8573	0.0	btnR	4096	206643	n/a
190.6364	0.0	IniUF	13	209700	meg/u066.bmp
191.1045	0.0	btnR	4096	210215	n/a
193.9436	0.0	ImmUF	14	213338	meg/u066.bmp
194.3173	0.0	btnR	4096	213749	n/a
197.1673	0.0	IniFF	5	216884	meg/f060.bmp
197.5909	0.0	btnR	4096	217350	n/a
200.2245	0.0	DelFF	7	220247	meg/f088.bmp
200.7745	0.0	btnR	4096	220852	n/a
203.4155	0.0	IniFF	5	223757	meg/f044.bmp
203.8209	0.0	btnR	4096	224203	n/a
206.5727	0.0	DelUF	15	227230	meg/u150.bmp
207.0545	0.0	btnR	4096	227760	n/a
209.58	0.0	IniFF	5	230538	meg/f121.bmp
210.15	0.0	btnR	4096	231165	n/a
212.77	0.0	ImmFF	6	234047	meg/f121.bmp
213.2627	0.0	btnR	4096	234589	n/a
215.9109	0.0	IniSF	17	237502	meg/s065.bmp
216.4864	0.0	btnL	256	238135	n/a
219.1191	0.0	ImmSF	18	241031	meg/s065.bmp
219.7509	0.0	btnL	256	241726	n/a
222.4427	0.0	DelUF	15	244687	meg/u106.bmp
222.9891	0.0	btnR	4096	245288	n/a
225.5	0.0	IniSF	17	248050	meg/s071.bmp
226.2345	0.0	btnL	256	248858	n/a
228.54	0.0	ImmSF	18	251394	meg/s071.bmp
229.01	0.0	btnL	256	251911	n/a
231.6809	0.0	IniSF	17	254849	meg/s142.bmp
232.0982	0.0	btnL	256	255308	n/a
234.8545	0.0	DelFF	7	258340	meg/f060.bmp
235.3318	0.0	btnR	4096	258865	n/a
238.0118	0.0	IniSF	17	261813	meg/s002.bmp
238.6773	0.0	btnR	4096	262545	n/a
241.2027	0.0	DelFF	7	265323	meg/f044.bmp
241.9118	0.0	btnR	4096	266103	n/a
244.2591	0.0	IniSF	17	268685	meg/s112.bmp
244.8673	0.0	btnL	256	269354	n/a
247.45	0.0	ImmSF	18	272195	meg/s112.bmp
248.1818	0.0	btnL	256	273000	n/a
250.5573	0.0	IniUF	13	275613	meg/u026.bmp
251.1264	0.0	btnR	4096	276239	n/a
253.6645	0.0	ImmUF	14	279031	meg/u026.bmp
254.1673	0.0	btnR	4096	279584	n/a
256.8882	0.0	IniUF	13	282577	meg/u125.bmp
257.4209	0.0	btnR	4096	283163	n/a
