onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.938	0.511	IniFF	5	n/a	func/f140.bmp
0.6390	0.0	n/a	btnR	n/a	0.639	n/a
3.1570	0.939	0.41	IniFF	5	n/a	func/f139.bmp
3.9760	0.0	n/a	btnL	n/a	0.819	n/a
6.4310	0.937	0.461	ImmFF	6	n/a	func/f139.bmp
6.9780	0.0	n/a	btnL	n/a	0.547	n/a
9.7210	0.879	0.578	IniSF	17	n/a	func/s133.bmp
10.4490	0.0	n/a	btnR	n/a	0.728	n/a
12.7950	0.855	0.425	ImmSF	18	n/a	func/s133.bmp
13.3960	0.0	n/a	btnR	n/a	0.601	n/a
15.9850	0.845	0.546	IniUF	13	n/a	func/u144.bmp
16.6680	0.0	n/a	btnR	n/a	0.683	n/a
19.1260	0.873	0.49	IniFF	5	n/a	func/f137.bmp
20.0280	0.0	n/a	btnL	n/a	0.902	n/a
22.1990	0.869	0.402	IniUF	13	n/a	func/u135.bmp
22.9430	0.0	n/a	btnR	n/a	0.744	n/a
25.2560	0.935	0.421	DelFF	7	n/a	func/f140.bmp
25.8800	0.0	n/a	btnR	n/a	0.624	n/a
48.4910	0.83	0.519	IniFF	5	n/a	func/f142.bmp
49.2230	0.0	n/a	btnR	n/a	0.732	n/a
51.6150	0.873	0.534	ImmFF	6	n/a	func/f142.bmp
52.1900	0.0	n/a	btnR	n/a	0.575	n/a
54.8050	0.897	0.51	IniSF	17	n/a	func/s132.bmp
55.5860	0.0	n/a	btnR	n/a	0.781	n/a
57.9120	0.986	0.42	IniFF	5	n/a	func/f132.bmp
58.8460	0.0	n/a	btnR	n/a	0.934	n/a
61.1690	0.901	0.504	DelUF	15	n/a	func/u144.bmp
62.1290	0.0	n/a	btnR	n/a	0.96	n/a
64.2760	0.954	0.438	IniUF	13	n/a	func/u142.bmp
65.0180	0.0	n/a	btnR	n/a	0.742	n/a
67.5170	0.951	0.514	ImmUF	14	n/a	func/u142.bmp
68.5510	0.0	n/a	btnR	n/a	1.034	n/a
70.6570	0.828	0.43	DelFF	7	n/a	func/f137.bmp
71.8230	0.0	n/a	btnR	n/a	1.166	n/a
73.6970	0.81	0.442	IniUF	13	n/a	func/u140.bmp
74.4750	0.0	n/a	btnL	n/a	0.778	n/a
76.7370	0.833	0.461	ImmUF	14	n/a	func/u140.bmp
77.5030	0.0	n/a	btnL	n/a	0.766	n/a
79.8280	0.866	0.496	DelUF	15	n/a	func/u135.bmp
80.6960	0.0	n/a	btnR	n/a	0.868	n/a
82.8840	0.841	0.43	IniFF	5	n/a	func/f146.bmp
84.0830	0.0	n/a	btnL	n/a	1.199	n/a
86.0920	0.851	0.587	ImmFF	6	n/a	func/f146.bmp
86.8980	0.0	n/a	btnL	n/a	0.806	n/a
89.2150	0.993	0.511	IniFF	5	n/a	func/f145.bmp
89.9800	0.0	n/a	btnR	n/a	0.765	n/a
92.5060	0.842	0.521	DelSF	19	n/a	func/s132.bmp
93.4730	0.0	n/a	btnR	n/a	0.967	n/a
95.5460	0.815	0.423	IniSF	17	n/a	func/s137.bmp
96.5150	0.0	n/a	btnL	n/a	0.969	n/a
98.6700	0.969	0.536	ImmSF	18	n/a	func/s137.bmp
99.3550	0.0	n/a	btnL	n/a	0.685	n/a
101.8100	0.907	0.414	DelFF	7	n/a	func/f132.bmp
102.5160	0.0	n/a	btnR	n/a	0.706	n/a
105.0000	0.873	0.491	IniUF	13	n/a	func/u132.bmp
105.7010	0.0	n/a	btnR	n/a	0.701	n/a
108.2080	0.829	0.553	ImmUF	14	n/a	func/u132.bmp
108.8160	0.0	n/a	btnR	n/a	0.608	n/a
131.3260	0.961	0.501	IniFF	5	n/a	func/f134.bmp
132.0060	0.0	n/a	btnR	n/a	0.68	n/a
134.4830	0.852	0.405	IniSF	17	n/a	func/s143.bmp
135.2580	0.0	n/a	btnR	n/a	0.775	n/a
137.5230	0.868	0.421	ImmSF	18	n/a	func/s143.bmp
138.0890	0.0	n/a	btnR	n/a	0.566	n/a
140.5630	0.889	0.406	IniUF	13	n/a	func/u136.bmp
141.5260	0.0	n/a	btnL	n/a	0.963	n/a
143.7030	0.822	0.472	ImmUF	14	n/a	func/u136.bmp
144.4170	0.0	n/a	btnL	n/a	0.714	n/a
146.8270	0.975	0.525	DelFF	7	n/a	func/f145.bmp
147.5760	0.0	n/a	btnR	n/a	0.749	n/a
150.0170	0.979	0.448	IniSF	17	n/a	func/s139.bmp
150.7090	0.0	n/a	btnR	n/a	0.692	n/a
153.3080	0.903	0.543	ImmSF	18	n/a	func/s139.bmp
154.1030	0.0	n/a	btnL	n/a	0.795	n/a
156.5150	0.821	0.548	IniUF	13	n/a	func/u146.bmp
157.2960	0.0	n/a	btnR	n/a	0.781	n/a
159.5390	0.858	0.432	ImmUF	14	n/a	func/u146.bmp
160.2930	0.0	n/a	btnR	n/a	0.754	n/a
162.6460	0.935	0.464	IniFF	5	n/a	func/f135.bmp
163.4760	0.0	n/a	btnL	n/a	0.83	n/a
165.8860	0.853	0.546	DelFF	7	n/a	func/f134.bmp
166.5850	0.0	n/a	btnR	n/a	0.699	n/a
168.9260	0.829	0.412	IniSF	17	n/a	func/s145.bmp
169.6780	0.0	n/a	btnL	n/a	0.752	n/a
172.1170	0.802	0.591	IniUF	13	n/a	func/u143.bmp
172.8930	0.0	n/a	btnR	n/a	0.776	n/a
175.1570	0.88	0.478	IniUF	13	n/a	func/u133.bmp
175.9070	0.0	n/a	btnR	n/a	0.75	n/a
178.2140	0.91	0.402	ImmUF	14	n/a	func/u133.bmp
179.2660	0.0	n/a	btnR	n/a	1.052	n/a
181.4040	0.906	0.505	IniFF	5	n/a	func/f133.bmp
182.4000	0.0	n/a	btnL	n/a	0.996	n/a
184.6610	0.988	0.583	ImmFF	6	n/a	func/f133.bmp
185.3080	0.0	n/a	btnL	n/a	0.647	n/a
207.8960	0.89	0.432	IniFF	5	n/a	func/f136.bmp
208.9050	0.0	n/a	btnL	n/a	1.009	n/a
211.1040	0.96	0.539	ImmFF	6	n/a	func/f136.bmp
211.8100	0.0	n/a	btnL	n/a	0.706	n/a
214.3440	0.833	0.513	DelFF	7	n/a	func/f135.bmp
215.0910	0.0	n/a	btnL	n/a	0.747	n/a
217.3510	0.855	0.416	IniUF	13	n/a	func/u145.bmp
218.0850	0.0	n/a	btnR	n/a	0.734	n/a
220.4240	0.85	0.449	DelSF	19	n/a	func/s145.bmp
221.3780	0.0	n/a	btnL	n/a	0.954	n/a
223.4480	0.917	0.41	IniFF	5	n/a	func/f141.bmp
224.1210	0.0	n/a	btnR	n/a	0.673	n/a
226.6050	0.8	0.481	DelUF	15	n/a	func/u143.bmp
227.2460	0.0	n/a	btnR	n/a	0.641	n/a
229.6780	0.935	0.44	IniSF	17	n/a	func/s138.bmp
230.6000	0.0	n/a	btnR	n/a	0.922	n/a
232.9190	0.959	0.536	ImmSF	18	n/a	func/s138.bmp
233.6430	0.0	n/a	btnR	n/a	0.724	n/a
236.0930	0.938	0.448	IniSF	17	n/a	func/s135.bmp
236.7860	0.0	n/a	btnL	n/a	0.693	n/a
239.3830	0.949	0.571	IniFF	5	n/a	func/f138.bmp
240.1380	0.0	n/a	btnR	n/a	0.755	n/a
242.6070	0.877	0.51	IniSF	17	n/a	func/s136.bmp
243.8830	0.0	n/a	btnR	n/a	1.276	n/a
245.6970	0.992	0.445	DelUF	15	n/a	func/u145.bmp
246.5600	0.0	n/a	btnR	n/a	0.863	n/a
248.9550	0.903	0.501	IniSF	17	n/a	func/s134.bmp
250.8050	0.0	n/a	btnR	n/a	1.85	n/a
252.1780	0.9	0.563	DelFF	7	n/a	func/f141.bmp
253.2660	0.0	n/a	btnR	n/a	1.088	n/a
255.2690	0.901	0.432	IniSF	17	n/a	func/s146.bmp
256.0050	0.0	n/a	btnL	n/a	0.736	n/a
258.3920	0.819	0.452	IniFF	5	n/a	func/f143.bmp
259.0400	0.0	n/a	btnR	n/a	0.648	n/a
261.4490	0.829	0.468	DelSF	19	n/a	func/s135.bmp
262.3990	0.0	n/a	btnL	n/a	0.95	n/a
264.5890	0.891	0.543	IniUF	13	n/a	func/u138.bmp
265.2830	0.0	n/a	btnR	n/a	0.694	n/a
267.7800	0.834	0.52	DelFF	7	n/a	func/f138.bmp
268.4680	0.0	n/a	btnR	n/a	0.688	n/a
290.8980	0.919	0.511	IniFF	5	n/a	func/f144.bmp
291.7700	0.0	n/a	btnR	n/a	0.872	n/a
294.1390	0.833	0.566	ImmFF	6	n/a	func/f144.bmp
294.7220	0.0	n/a	btnR	n/a	0.583	n/a
297.2790	0.849	0.539	DelSF	19	n/a	func/s136.bmp
298.1190	0.0	n/a	btnR	n/a	0.84	n/a
300.3690	0.988	0.474	IniUF	13	n/a	func/u141.bmp
301.0620	0.0	n/a	btnR	n/a	0.693	n/a
303.6260	0.976	0.496	ImmUF	14	n/a	func/u141.bmp
304.1700	0.0	n/a	btnR	n/a	0.544	n/a
306.8840	0.877	0.505	DelSF	19	n/a	func/s134.bmp
307.6170	0.0	n/a	btnR	n/a	0.733	n/a
309.9910	0.886	0.465	IniUF	13	n/a	func/u139.bmp
310.5860	0.0	n/a	btnR	n/a	0.595	n/a
313.2140	0.861	0.581	DelSF	19	n/a	func/s146.bmp
313.9740	0.0	n/a	btnL	n/a	0.76	n/a
316.4050	0.879	0.556	IniUF	13	n/a	func/u137.bmp
317.0050	0.0	n/a	btnR	n/a	0.6	n/a
319.4620	0.895	0.417	ImmUF	14	n/a	func/u137.bmp
320.0070	0.0	n/a	btnR	n/a	0.545	n/a
322.6690	0.964	0.537	DelFF	7	n/a	func/f143.bmp
323.4520	0.0	n/a	btnR	n/a	0.783	n/a
325.8590	0.806	0.461	IniFF	5	n/a	func/f131.bmp
326.6330	0.0	n/a	btnL	n/a	0.774	n/a
