onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.912	0.455	IniSF	17	4	0.86	func/s037.bmp
3.274	0.864	0.554	IniUF	13	7	0.774	func/u038.bmp
6.515	0.805	0.507	ImmUF	14	7	0.619	func/u038.bmp
9.605	0.998	0.517	IniFF	5	7	1.058	func/f033.bmp
12.895	0.877	0.522	IniSF	17	4	0.837	func/s035.bmp
16.036	0.939	0.497	ImmSF	18	4	0.681	func/s035.bmp
19.326	0.935	0.574	IniSF	17	7	0.75	func/s033.bmp
22.6	0.805	0.553	IniFF	5	7	0.683	func/f040.bmp
25.774	0.904	0.594	ImmFF	6	7	0.538	func/f040.bmp
29.048	0.988	0.596	DelSF	19	4	0.9	func/s037.bmp
52.383	0.946	0.554	IniUF	13	7	1.014	func/u042.bmp
55.591	0.876	0.492	ImmUF	14	4	0.713	func/u042.bmp
58.781	0.857	0.515	IniUF	13	7	0.82	func/u047.bmp
62.005	0.889	0.59	ImmUF	14	7	0.967	func/u047.bmp
65.078	0.911	0.406	DelFF	7	7	0.838	func/f033.bmp
68.302	0.968	0.548	IniUF	13	4	0.746	func/u039.bmp
71.56	0.851	0.518	IniSF	17	7	0.988	func/s047.bmp
74.75	0.845	0.578	DelSF	19	4	0.823	func/s033.bmp
77.84	0.842	0.454	IniUF	13	4	0.832	func/u043.bmp
80.897	0.918	0.415	IniFF	5	4	0.873	func/f035.bmp
83.987	0.854	0.403	ImmFF	6	4	0.786	func/f035.bmp
87.244	0.932	0.599	IniSF	17	4	1.194	func/s041.bmp
90.402	0.858	0.459	ImmSF	18	4	0.873	func/s041.bmp
93.625	0.946	0.59	IniFF	5	7	0.733	func/f043.bmp
96.916	0.997	0.576	ImmFF	6	7	0.543	func/f043.bmp
100.207	0.888	0.527	DelUF	15	4	0.721	func/u039.bmp
103.38	0.839	0.509	IniSF	17	7	1.015	func/s040.bmp
106.571	0.959	0.574	DelSF	19	7	0.808	func/s047.bmp
129.789	0.91	0.47	IniUF	13	4	0.855	func/u045.bmp
132.93	0.975	0.452	DelUF	15	4	0.88	func/u043.bmp
136.254	0.894	0.566	IniFF	5	7	0.939	func/f047.bmp
139.444	0.855	0.533	IniSF	17	7	0.859	func/s039.bmp
142.551	0.911	0.457	IniFF	5	7	0.817	func/f036.bmp
145.808	0.896	0.573	IniUF	13	7	1.474	func/u046.bmp
149.032	0.875	0.555	ImmUF	14	7	0.65	func/u046.bmp
152.156	0.971	0.476	DelSF	19	4	0.698	func/s040.bmp
155.396	0.972	0.491	IniSF	17	7	0.768	func/s034.bmp
158.62	0.939	0.47	DelUF	15	4	0.714	func/u045.bmp
161.811	0.965	0.484	IniFF	5	7	0.814	func/f045.bmp
165.085	0.909	0.542	DelFF	7	7	0.882	func/f047.bmp
168.175	0.997	0.412	IniSF	17	7	0.866	func/s043.bmp
171.382	0.86	0.435	ImmSF	18	7	0.65	func/s043.bmp
174.506	0.925	0.5	DelSF	19	7	0.898	func/s039.bmp
177.729	0.83	0.529	IniSF	17	4	0.955	func/s045.bmp
180.836	0.836	0.503	ImmSF	18	4	0.707	func/s045.bmp
184.027	0.86	0.594	DelFF	7	7	0.98	func/f036.bmp
187.217	0.803	0.538	IniUF	13	4	0.88	func/u040.bmp
190.241	0.816	0.442	ImmUF	14	4	0.752	func/u040.bmp
213.259	0.816	0.422	IniSF	17	4	1.004	func/s042.bmp
216.366	0.901	0.525	ImmSF	18	7	0.885	func/s042.bmp
219.539	0.961	0.516	DelSF	19	7	1.102	func/s034.bmp
