onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0	0.898	0.418	IniSF	17.0	n/a	func/s082.bmp
0.696	0.0	n/a	btnR	n/a	0.696	n/a
3.124	0.808	0.465	ImmSF	18.0	n/a	func/s082.bmp
3.674	0.0	n/a	btnR	n/a	0.55	n/a
6.231	0.869	0.409	IniSF	17.0	n/a	func/s095.bmp
7.235	0.0	n/a	btnL	n/a	1.004	n/a
9.455	0.905	0.571	IniUF	13.0	n/a	func/u094.bmp
10.244	0.0	n/a	btnR	n/a	0.789	n/a
12.595	0.845	0.464	ImmUF	14.0	n/a	func/u094.bmp
13.148	0.0	n/a	btnR	n/a	0.553	n/a
15.752	0.96	0.539	IniUF	13.0	n/a	func/u097.bmp
16.475	0.0	n/a	btnR	n/a	0.723	n/a
19.026	0.815	0.543	ImmUF	14.0	n/a	func/u097.bmp
19.563	0.0	n/a	btnR	n/a	0.537	n/a
22.133	0.859	0.519	IniFF	5.0	n/a	func/f088.bmp
23.001	0.0	n/a	btnR	n/a	0.868	n/a
25.206	0.831	0.413	IniSF	17.0	n/a	func/s086.bmp
25.996	0.0	n/a	btnL	n/a	0.79	n/a
48.358	0.965	0.527	IniFF	5.0	n/a	func/f090.bmp
49.073	0.0	n/a	btnL	n/a	0.715	n/a
51.682	0.937	0.6	DelSF	19.0	n/a	func/s095.bmp
52.612	0.0	n/a	btnL	n/a	0.93	n/a
54.839	0.856	0.445	IniFF	5.0	n/a	func/f092.bmp
55.652	0.0	n/a	btnR	n/a	0.813	n/a
58.03	0.828	0.561	ImmFF	6.0	n/a	func/f092.bmp
58.709	0.0	n/a	btnR	n/a	0.679	n/a
61.203	0.959	0.579	IniSF	17.0	n/a	func/s089.bmp
62.053	0.0	n/a	btnL	n/a	0.85	n/a
64.377	0.826	0.422	IniUF	13.0	n/a	func/u093.bmp
65.953	0.0	n/a	btnR	n/a	1.576	n/a
67.517	0.825	0.54	ImmUF	14.0	n/a	func/u093.bmp
68.085	0.0	n/a	btnR	n/a	0.568	n/a
70.591	0.894	0.471	DelFF	7.0	n/a	func/f088.bmp
71.354	0.0	n/a	btnL	n/a	0.763	n/a
73.831	0.964	0.578	IniSF	17.0	n/a	func/s083.bmp
74.672	0.0	n/a	btnL	n/a	0.841	n/a
77.156	0.831	0.598	DelSF	19.0	n/a	func/s086.bmp
77.821	0.0	n/a	btnL	n/a	0.665	n/a
80.229	0.807	0.443	IniUF	13.0	n/a	func/u084.bmp
81.521	0.0	n/a	btnR	n/a	1.292	n/a
83.369	0.999	0.558	DelFF	7.0	n/a	func/f090.bmp
84.135	0.0	n/a	btnL	n/a	0.766	n/a
86.71	0.863	0.567	IniUF	13.0	n/a	func/u088.bmp
87.587	0.0	n/a	btnR	n/a	0.877	n/a
89.934	0.961	0.594	ImmUF	14.0	n/a	func/u088.bmp
90.473	0.0	n/a	btnR	n/a	0.539	n/a
93.241	0.888	0.579	IniFF	5.0	n/a	func/f095.bmp
94.039	0.0	n/a	btnR	n/a	0.798	n/a
96.499	0.841	0.599	ImmFF	6.0	n/a	func/f095.bmp
97.15	0.0	n/a	btnR	n/a	0.651	n/a
99.539	0.82	0.426	DelSF	19.0	n/a	func/s089.bmp
100.341	0.0	n/a	btnL	n/a	0.802	n/a
102.646	0.872	0.534	IniUF	13.0	n/a	func/u090.bmp
103.665	0.0	n/a	btnL	n/a	1.019	n/a
105.753	0.929	0.455	ImmUF	14.0	n/a	func/u090.bmp
106.388	0.0	n/a	btnL	n/a	0.635	n/a
129.004	0.986	0.526	IniFF	5.0	n/a	func/f083.bmp
129.87	0.0	n/a	btnR	n/a	0.866	n/a
132.161	0.972	0.409	DelSF	19.0	n/a	func/s083.bmp
132.876	0.0	n/a	btnL	n/a	0.715	n/a
135.402	0.953	0.466	IniUF	13.0	n/a	func/u086.bmp
136.511	0.0	n/a	btnR	n/a	1.109	n/a
138.609	0.809	0.498	DelUF	15.0	n/a	func/u084.bmp
139.936	0.0	n/a	btnR	n/a	1.327	n/a
141.666	0.899	0.478	IniSF	17.0	n/a	func/s097.bmp
143.034	0.0	n/a	btnR	n/a	1.368	n/a
144.773	0.86	0.44	IniUF	13.0	n/a	func/u082.bmp
145.467	0.0	n/a	btnL	n/a	0.694	n/a
147.88	0.973	0.478	IniFF	5.0	n/a	func/f096.bmp
148.799	0.0	n/a	btnR	n/a	0.919	n/a
151.154	0.981	0.52	ImmFF	6.0	n/a	func/f096.bmp
152.087	0.0	n/a	btnR	n/a	0.933	n/a
154.512	0.892	0.596	IniSF	17.0	n/a	func/s094.bmp
155.414	0.0	n/a	btnR	n/a	0.902	n/a
157.568	0.809	0.4	ImmSF	18.0	n/a	func/s094.bmp
158.42	0.0	n/a	btnR	n/a	0.852	n/a
160.708	0.857	0.555	DelFF	7.0	n/a	func/f083.bmp
162.179	0.0	n/a	btnR	n/a	1.471	n/a
163.815	0.905	0.471	IniUF	13.0	n/a	func/u087.bmp
164.795	0.0	n/a	btnR	n/a	0.98	n/a
167.089	0.818	0.59	DelUF	15.0	n/a	func/u086.bmp
168.04	0.0	n/a	btnL	n/a	0.951	n/a
170.146	0.907	0.476	IniUF	13.0	n/a	func/u085.bmp
171.098	0.0	n/a	btnR	n/a	0.952	n/a
173.286	0.81	0.454	ImmUF	14.0	n/a	func/u085.bmp
173.972	0.0	n/a	btnR	n/a	0.686	n/a
176.41	0.859	0.536	DelSF	19.0	n/a	func/s097.bmp
177.316	0.0	n/a	btnR	n/a	0.906	n/a
179.484	0.906	0.446	IniUF	13.0	n/a	func/u092.bmp
180.442	0.0	n/a	btnL	n/a	0.958	n/a
182.657	0.853	0.498	DelUF	15.0	n/a	func/u082.bmp
183.525	0.0	n/a	btnL	n/a	0.868	n/a
185.764	0.868	0.488	IniFF	5.0	n/a	func/f091.bmp
186.854	0.0	n/a	btnR	n/a	1.09	n/a
188.938	0.864	0.54	ImmFF	6.0	n/a	func/f091.bmp
212.073	0.808	0.492	IniSF	17.0	n/a	func/s096.bmp
212.929	0.0	n/a	btnL	n/a	0.856	n/a
215.247	0.978	0.599	IniFF	5.0	n/a	func/f087.bmp
216.101	0.0	n/a	btnR	n/a	0.854	n/a
218.554	0.897	0.557	ImmFF	6.0	n/a	func/f087.bmp
219.15	0.0	n/a	btnR	n/a	0.596	n/a
221.778	0.968	0.562	DelUF	15.0	n/a	func/u087.bmp
222.737	0.0	n/a	btnL	n/a	0.959	n/a
224.985	0.81	0.472	IniUF	13.0	n/a	func/u096.bmp
225.69	0.0	n/a	btnL	n/a	0.705	n/a
228.042	0.823	0.478	ImmUF	14.0	n/a	func/u096.bmp
228.647	0.0	n/a	btnL	n/a	0.605	n/a
231.115	0.991	0.419	IniFF	5.0	n/a	func/f086.bmp
231.935	0.0	n/a	btnL	n/a	0.82	n/a
234.456	0.887	0.577	ImmFF	6.0	n/a	func/f086.bmp
235.103	0.0	n/a	btnL	n/a	0.647	n/a
237.563	0.851	0.45	DelUF	15.0	n/a	func/u092.bmp
238.399	0.0	n/a	btnL	n/a	0.836	n/a
240.72	0.905	0.541	IniFF	5.0	n/a	func/f097.bmp
241.403	0.0	n/a	btnR	n/a	0.683	n/a
243.86	0.921	0.462	ImmFF	6.0	n/a	func/f097.bmp
244.447	0.0	n/a	btnR	n/a	0.587	n/a
247.017	0.858	0.46	IniFF	5.0	n/a	func/f089.bmp
247.814	0.0	n/a	btnR	n/a	0.797	n/a
250.225	0.848	0.571	DelSF	19.0	n/a	func/s096.bmp
251.331	0.0	n/a	btnL	n/a	1.106	n/a
253.432	0.86	0.585	IniSF	17.0	n/a	func/s088.bmp
254.444	0.0	n/a	btnL	n/a	1.012	n/a
256.472	0.867	0.417	IniSF	17.0	n/a	func/s087.bmp
257.474	0.0	n/a	btnR	n/a	1.002	n/a
259.595	0.837	0.495	IniUF	13.0	n/a	func/u089.bmp
260.676	0.0	n/a	btnR	n/a	1.081	n/a
262.736	0.843	0.53	ImmUF	14.0	n/a	func/u089.bmp
263.722	0.0	n/a	btnR	n/a	0.986	n/a
265.943	0.877	0.595	IniFF	5.0	n/a	func/f093.bmp
266.981	0.0	n/a	btnR	n/a	1.038	n/a
269.133	0.888	0.537	ImmFF	6.0	n/a	func/f093.bmp
269.796	0.0	n/a	btnR	n/a	0.663	n/a
292.252	0.983	0.439	IniSF	17.0	n/a	func/s090.bmp
292.961	0.0	n/a	btnL	n/a	0.709	n/a
295.542	0.92	0.542	ImmSF	18.0	n/a	func/s090.bmp
296.134	0.0	n/a	btnL	n/a	0.592	n/a
298.766	0.867	0.52	DelFF	7.0	n/a	func/f089.bmp
299.487	0.0	n/a	btnR	n/a	0.721	n/a
301.957	0.97	0.559	IniFF	5.0	n/a	func/f082.bmp
302.711	0.0	n/a	btnR	n/a	0.754	n/a
305.164	0.922	0.483	ImmFF	6.0	n/a	func/f082.bmp
305.702	0.0	n/a	btnR	n/a	0.538	n/a
308.404	0.99	0.541	DelSF	19.0	n/a	func/s088.bmp
309.153	0.0	n/a	btnR	n/a	0.749	n/a
311.645	0.9	0.472	IniUF	13.0	n/a	func/u095.bmp
312.462	0.0	n/a	btnL	n/a	0.817	n/a
314.719	0.96	0.417	ImmUF	14.0	n/a	func/u095.bmp
315.572	0.0	n/a	btnL	n/a	0.853	n/a
317.942	0.814	0.491	DelSF	19.0	n/a	func/s087.bmp
318.947	0.0	n/a	btnL	n/a	1.005	n/a
320.982	0.905	0.435	IniSF	17.0	n/a	func/s093.bmp
321.722	0.0	n/a	btnL	n/a	0.74	n/a
324.156	0.803	0.492	IniSF	17.0	n/a	func/s084.bmp
324.911	0.0	n/a	btnR	n/a	0.755	n/a
327.28	0.941	0.548	IniFF	5.0	n/a	func/f085.bmp
328.374	0.0	n/a	btnR	n/a	1.094	n/a
330.554	0.928	0.556	IniFF	5.0	n/a	func/f084.bmp
331.427	0.0	n/a	btnR	n/a	0.873	n/a
333.711	0.808	0.46	ImmFF	6.0	n/a	func/f084.bmp
335.005	0.0	n/a	btnR	n/a	1.294	n/a
336.701	0.966	0.402	IniSF	17.0	n/a	func/s085.bmp
337.674	0.0	n/a	btnR	n/a	0.973	n/a
339.874	0.898	0.436	ImmSF	18.0	n/a	func/s085.bmp
340.649	0.0	n/a	btnR	n/a	0.775	n/a
342.965	0.993	0.419	IniSF	17.0	n/a	func/s092.bmp
343.775	0.0	n/a	btnL	n/a	0.81	n/a
346.155	0.931	0.432	DelSF	19.0	n/a	func/s093.bmp
346.794	0.0	n/a	btnL	n/a	0.639	n/a
369.307	1.0	0.449	IniFF	5.0	n/a	func/f094.bmp
369.982	0.0	n/a	btnL	n/a	0.675	n/a
372.597	0.801	0.531	DelSF	19.0	n/a	func/s084.bmp
373.382	0.0	n/a	btnR	n/a	0.785	n/a
375.704	0.848	0.544	IniUF	13.0	n/a	func/u083.bmp
376.349	0.0	n/a	btnR	n/a	0.645	n/a
378.762	0.801	0.451	ImmUF	14.0	n/a	func/u083.bmp
379.685	0.0	n/a	btnR	n/a	0.923	n/a
381.818	0.909	0.496	DelFF	7.0	n/a	func/f085.bmp
382.551	0.0	n/a	btnL	n/a	0.733	n/a
384.958	0.897	0.455	IniUF	13.0	n/a	func/u091.bmp
385.833	0.0	n/a	btnL	n/a	0.875	n/a
388.182	0.849	0.562	IniSF	17.0	n/a	func/s091.bmp
389.046	0.0	n/a	btnR	n/a	0.864	n/a
