onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.861	0.547	IniSF	17	4.0	1.046	func/s075.bmp
3.174	0.979	0.539	ImmSF	18	4.0	0.903	func/s075.bmp
6.565	0.963	0.535	IniSF	17	4.0	1.091	func/s077.bmp
9.789	0.841	0.489	IniSF	17	7.0	0.752	func/s067.bmp
12.862	0.991	0.463	IniSF	17	4.0	0.962	func/s074.bmp
16.203	0.816	0.569	IniFF	5	4.0	1.05	func/f066.bmp
19.344	0.857	0.568	ImmFF	6	4.0	0.803	func/f066.bmp
22.383	0.837	0.409	IniUF	13	7.0	0.672	func/u078.bmp
25.473	0.902	0.475	ImmUF	14	7.0	0.62	func/u078.bmp
48.658	0.893	0.505	IniSF	17	7.0	1.28	func/s066.bmp
51.848	0.871	0.52	ImmSF	18	7.0	0.97	func/s066.bmp
54.922	0.903	0.429	DelSF	19	7.0	1.014	func/s077.bmp
58.129	0.921	0.524	IniUF	13	7.0	1.206	func/u077.bmp
61.336	0.845	0.511	ImmUF	14	7.0	0.738	func/u077.bmp
64.51	0.819	0.553	DelSF	19	7.0	1.072	func/s067.bmp
67.533	0.984	0.443	IniSF	17	7.0	0.852	func/s078.bmp
70.74	0.895	0.46	DelSF	19	4.0	1.06	func/s074.bmp
73.931	0.913	0.53	IniSF	17	7.0	0.545	func/s069.bmp
77.021	0.915	0.403	IniFF	5	4.0	0.798	func/f069.bmp
80.211	0.843	0.509	ImmFF	6	4.0	0.885	func/f069.bmp
83.385	0.989	0.557	IniSF	17	7.0	0.834	func/s081.bmp
86.642	0.89	0.494	IniFF	5	4.0	0.891	func/f071.bmp
89.849	0.801	0.537	ImmFF	6	4.0	0.445	func/f071.bmp
93.006	0.915	0.585	IniUF	13		0.0	func/u070.bmp
96.247	0.898	0.554	DelSF	19	7.0	0.806	func/s078.bmp
99.32	0.995	0.41	IniUF	13	7.0	0.94	func/u067.bmp
102.544	0.917	0.456	DelSF	19	4.0	1.047	func/s069.bmp
105.651	0.956	0.422	IniUF	13	7.0	1.002	func/u075.bmp
108.841	0.968	0.464	ImmUF	14	7.0	0.824	func/u075.bmp
132.026	0.932	0.435	IniFF	5	7.0	1.054	func/f065.bmp
135.166	0.805	0.444	ImmFF	6	7.0	0.802	func/f065.bmp
138.29	0.967	0.538	DelSF	19	4.0	1.631	func/s081.bmp
141.463	0.91	0.447	IniUF	13	7.0	1.103	func/u069.bmp
144.654	0.95	0.517	IniUF	13	7.0	0.922	func/u081.bmp
147.928	0.872	0.565	ImmUF	14	7.0	1.204	func/u081.bmp
150.984	0.943	0.408	DelUF	15	7.0	0.868	func/u070.bmp
154.275	0.844	0.572	IniUF	13	7.0	1.007	func/u066.bmp
157.465	0.866	0.574	DelUF	15	7.0	1.133	func/u067.bmp
160.606	0.915	0.511	IniUF	13	4.0	1.576	func/u072.bmp
163.846	0.843	0.56	IniSF	17	4.0	1.073	func/s080.bmp
167.053	0.934	0.597	IniFF	5	7.0	0.885	func/f067.bmp
170.193	0.815	0.441	ImmFF	6	7.0	0.767	func/f067.bmp
173.2	0.975	0.425	DelUF	15	7.0	0.834	func/u069.bmp
176.541	0.882	0.587	IniUF	13	4.0	0.878	func/u065.bmp
179.614	0.901	0.421	IniFF	5	4.0	1.33	func/f074.bmp
182.721	0.899	0.442	ImmFF	6	4.0	0.946	func/f074.bmp
185.928	0.884	0.547	DelUF	15	7.0	0.549	func/u066.bmp
209.064	0.976	0.485	IniFF	5	4.0	1.201	func/f077.bmp
212.27	0.99	0.466	ImmFF	6	4.0	0.632	func/f077.bmp
215.477	0.855	0.446	DelUF	15	4.0	1.16	func/u072.bmp
218.651	0.903	0.542	IniFF	5	4.0	1.381	func/f075.bmp
221.874	0.934	0.554	DelSF	19	4.0	1.043	func/s080.bmp
224.998	0.858	0.429	IniSF	17	4.0	0.794	func/s065.bmp
228.222	0.848	0.522	ImmSF	18	7.0	1.006	func/s065.bmp
231.362	0.92	0.529	IniFF	5	7.0	0.875	func/f070.bmp
234.469	0.888	0.404	DelUF	15	4.0	1.268	func/u065.bmp
237.726	0.946	0.598	IniFF	5	7.0	1.247	func/f072.bmp
240.95	0.894	0.505	ImmFF	6	7.0	1.598	func/f072.bmp
244.207	0.8	0.586	IniSF	17	7.0	0.975	func/s071.bmp
247.247	0.958	0.483	ImmSF	18	7.0	0.964	func/s071.bmp
250.571	0.905	0.599	IniFF	5	4.0	1.032	func/f078.bmp
253.828	0.976	0.58	DelFF	7	4.0	0.903	func/f075.bmp
257.136	0.919	0.566	IniSF	17	7.0	0.695	func/s070.bmp
260.243	0.833	0.427	IniFF	5	7.0	1.079	func/f081.bmp
263.366	0.815	0.518	ImmFF	6	7.0	0.858	func/f081.bmp
266.456	0.986	0.512	DelFF	7	7.0	0.809	func/f070.bmp
289.791	0.862	0.583	IniFF	5	7.0	0.807	func/f079.bmp
292.915	0.864	0.487	ImmFF	6	7.0	0.665	func/f079.bmp
296.139	0.904	0.595	IniUF	13		0.0	func/u080.bmp
299.396	0.95	0.58	IniUF	13	7.0	0.579	func/u079.bmp
302.553	0.872	0.447	ImmUF	14	7.0	0.825	func/u079.bmp
305.626	0.83	0.422	DelFF	7	7.0	0.803	func/f078.bmp
308.7	0.814	0.475	IniSF	17	7.0	1.254	func/s073.bmp
311.757	0.853	0.474	DelSF	19	7.0	0.693	func/s070.bmp
314.914	0.924	0.547	IniFF	5	4.0	0.968	func/f080.bmp
318.137	0.814	0.532	IniFF	5	7.0	0.757	func/f073.bmp
321.161	0.963	0.435	ImmFF	6	7.0	0.792	func/f073.bmp
324.418	0.997	0.534	IniSF	17	7.0	1.004	func/s068.bmp
327.775	0.908	0.593	ImmSF	18	7.0	0.799	func/s068.bmp
331.049	0.916	0.596	DelUF	15	7.0	1.149	func/u080.bmp
334.323	0.969	0.586	IniUF	13	7.0	0.936	func/u071.bmp
337.63	0.811	0.581	IniSF	17	7.0	0.766	func/s079.bmp
340.787	0.91	0.58	DelSF	19	7.0	0.887	func/s073.bmp
343.961	0.931	0.485	IniUF	13	7.0	0.587	func/u073.bmp
347.118	0.844	0.466	ImmUF	14	7.0	0.495	func/u073.bmp
350.275	0.896	0.536	DelFF	7	4.0	0.905	func/f080.bmp
373.41	0.827	0.46	IniUF	13	7.0	1.144	func/u068.bmp
376.551	0.972	0.551	IniSF	17	4.0	1.14	func/s072.bmp
379.774	0.821	0.481	ImmSF	18	7.0	1.018	func/s072.bmp
382.864	0.868	0.494	IniUF	13	7.0	1.066	func/u074.bmp
386.021	0.852	0.525	ImmUF	14	7.0	0.885	func/u074.bmp
389.211	0.896	0.573	DelUF	15	7.0	1.349	func/u071.bmp
392.385	0.802	0.506	IniFF	5	7.0	1.283	func/f068.bmp
395.392	0.976	0.449	DelSF	19	7.0	0.882	func/s079.bmp
