onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.969	0.587	IniUF	13	n/a	func/u023.bmp
1.1540	0.0	n/a	btnR	n/a	1.154	n/a
3.3070	0.956	0.572	ImmUF	14	n/a	func/u023.bmp
4.1420	0.0	n/a	btnR	n/a	0.835	n/a
6.5810	0.868	0.443	IniSF	17	n/a	func/s032.bmp
7.7290	0.0	n/a	btnR	n/a	1.148	n/a
9.6210	0.91	0.413	IniUF	13	n/a	func/u017.bmp
10.6280	0.0	n/a	btnR	n/a	1.007	n/a
12.7110	0.878	0.402	ImmUF	14	n/a	func/u017.bmp
13.6060	0.0	n/a	btnR	n/a	0.895	n/a
15.8020	0.939	0.435	IniSF	17	n/a	func/s022.bmp
17.0900	0.0	n/a	btnL	n/a	1.288	n/a
18.9580	0.971	0.443	IniUF	13	n/a	func/u031.bmp
20.1990	0.0	n/a	btnR	n/a	1.241	n/a
22.2830	0.969	0.576	IniUF	13	n/a	func/u029.bmp
23.0320	0.0	n/a	btnR	n/a	0.749	n/a
25.4900	0.844	0.478	IniSF	17	n/a	func/s019.bmp
26.1790	0.0	n/a	btnL	n/a	0.689	n/a
28.5630	0.848	0.461	DelSF	19	n/a	func/s032.bmp
30.1710	0.0	n/a	btnL	n/a	1.608	n/a
51.6310	0.919	0.435	IniUF	13	n/a	func/u025.bmp
52.3510	0.0	n/a	btnR	n/a	0.72	n/a
54.7050	0.969	0.401	IniUF	13	n/a	func/u026.bmp
55.5460	0.0	n/a	btnR	n/a	0.841	n/a
58.0280	0.814	0.585	DelSF	19	n/a	func/s022.bmp
58.8230	0.0	n/a	btnR	n/a	0.795	n/a
61.0180	0.801	0.408	IniFF	5	n/a	func/f027.bmp
62.3180	0.0	n/a	btnL	n/a	1.3	n/a
64.1420	0.882	0.555	ImmFF	6	n/a	func/f027.bmp
65.1040	0.0	n/a	btnL	n/a	0.962	n/a
67.2650	0.801	0.473	DelUF	15	n/a	func/u031.bmp
68.0350	0.0	n/a	btnR	n/a	0.77	n/a
70.2390	0.812	0.412	IniSF	17	n/a	func/s017.bmp
71.0410	0.0	n/a	btnL	n/a	0.802	n/a
