onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.994	0.555	IniUF	13	7.0	0.856	func/u134.bmp
3.341	0.918	0.581	IniFF	5	7.0	0.805	func/f132.bmp
6.548	0.805	0.432	ImmFF	6	7.0	0.68	func/f132.bmp
9.588	0.869	0.46	IniUF	13	7.0	0.776	func/u139.bmp
12.795	0.987	0.577	IniUF	13	7.0	0.715	func/u142.bmp
16.119	0.947	0.566	ImmUF	14	7.0	0.682	func/u142.bmp
19.376	0.857	0.542	IniUF	13	7.0	0.488	func/u135.bmp
22.416	0.8	0.413	ImmUF	14	4.0	1.098	func/u135.bmp
25.39	0.947	0.408	IniUF	13	7.0	0.708	func/u146.bmp
28.664	0.908	0.565	ImmUF	14	7.0	0.68	func/u146.bmp
31.854	0.999	0.512	DelUF	15	7.0	0.651	func/u134.bmp
55.122	0.889	0.491	IniFF	5	7.0	0.901	func/f143.bmp
58.346	0.989	0.556	ImmFF	6	7.0	0.644	func/f143.bmp
61.52	0.808	0.407	IniUF	13	7.0	0.686	func/u136.bmp
64.56	0.906	0.455	ImmUF	14	7.0	0.41	func/u136.bmp
67.65	0.979	0.413	DelUF	15	7.0	0.519	func/u139.bmp
70.84	0.954	0.441	IniSF	17	4.0	1.383	func/s139.bmp
74.098	0.891	0.525	IniSF	17	7.0	0.935	func/s134.bmp
77.255	0.973	0.491	ImmSF	18	7.0	0.821	func/s134.bmp
80.529	0.901	0.524	IniUF	13	7.0	0.804	func/u137.bmp
83.652	0.909	0.459	ImmUF	14	7.0	0.592	func/u137.bmp
86.759	1.0	0.422	IniFF	5		0.0	func/f142.bmp
90.0	0.808	0.482	IniSF	17	7.0	1.134	func/s144.bmp
93.056	0.978	0.482	IniFF	5	7.0	0.504	func/f134.bmp
96.264	0.935	0.454	DelSF	19	4.0	0.88	func/s139.bmp
99.37	0.973	0.407	IniFF	5	7.0	0.719	func/f144.bmp
102.711	0.824	0.593	IniFF	5	7.0	0.707	func/f140.bmp
105.902	0.905	0.595	IniFF	5	7.0	0.86	func/f146.bmp
109.025	0.85	0.437	DelFF	7	7.0	0.796	func/f142.bmp
132.243	0.968	0.592	IniUF	13	7.0	0.623	func/u132.bmp
135.551	0.852	0.577	ImmUF	14	7.0	0.481	func/u132.bmp
138.591	0.818	0.43	DelSF	19	7.0	0.987	func/s144.bmp
141.748	0.965	0.582	IniFF	5	7.0	0.517	func/f141.bmp
144.888	0.917	0.404	ImmFF	6	7.0	0.421	func/f141.bmp
148.045	0.887	0.471	DelFF	7	7.0	0.79	func/f134.bmp
151.235	0.989	0.53	IniSF	17	7.0	0.388	func/s142.bmp
154.476	0.989	0.473	DelFF	7	7.0	0.717	func/f144.bmp
157.833	0.96	0.598	IniFF	5	7.0	0.474	func/f138.bmp
161.124	0.966	0.56	DelFF	7	7.0	0.581	func/f140.bmp
