onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.883	0.512	IniUF	13	4.0	1.096	func/u049.bmp
3.106	0.986	0.458	ImmUF	14	4.0	0.955	func/u049.bmp
6.481	0.939	0.524	IniSF	17	4.0	1.619	func/s050.bmp
9.621	0.859	0.426	IniUF	13	4.0	0.955	func/u059.bmp
12.811	0.915	0.561	IniSF	17	7.0	1.017	func/s057.bmp
16.035	0.895	0.537	IniFF	5	7.0	1.217	func/f059.bmp
19.259	0.894	0.566	IniSF	17	7.0	0.88	func/s064.bmp
22.516	0.899	0.592	ImmSF	18	7.0	0.936	func/s064.bmp
25.64	0.869	0.461	IniSF	17	7.0	1.091	func/s051.bmp
28.696	0.914	0.421	ImmSF	18	7.0	1.003	func/s051.bmp
31.92	0.922	0.539	DelSF	19	4.0	1.259	func/s050.bmp
55.088	0.987	0.466	IniFF	5	7.0	0.917	func/f052.bmp
58.446	0.899	0.591	ImmFF	6	7.0	0.532	func/f052.bmp
61.553	0.927	0.435	DelUF	15	4.0	0.838	func/u059.bmp
64.66	0.915	0.416	IniUF	13	4.0	0.874	func/u063.bmp
67.766	0.982	0.431	ImmUF	14	4.0	0.945	func/u063.bmp
71.024	0.874	0.505	DelSF	19	7.0	0.558	func/s057.bmp
74.181	0.857	0.505	IniFF	5	7.0	1.523	func/f053.bmp
77.288	0.877	0.48	DelFF	7	7.0	0.999	func/f059.bmp
80.511	0.948	0.573	IniFF	5	4.0	0.998	func/f060.bmp
83.735	0.943	0.511	IniUF	13	7.0	0.776	func/u064.bmp
87.043	0.929	0.59	IniSF	17	7.0	0.83	func/s060.bmp
90.166	0.955	0.43	ImmSF	18	7.0	1.146	func/s060.bmp
93.34	0.966	0.441	IniFF	5	4.0	1.43	func/f056.bmp
96.564	0.917	0.486	IniSF	17	4.0	0.835	func/s052.bmp
99.654	0.91	0.404	ImmSF	18	4.0	0.952	func/s052.bmp
102.811	0.893	0.476	DelFF	7	7.0	0.848	func/f053.bmp
105.951	0.81	0.48	IniSF	17	7.0	0.74	func/s061.bmp
108.958	0.871	0.422	ImmSF	18	7.0	0.83	func/s061.bmp
111.998	0.81	0.4	DelFF	7	4.0	1.036	func/f060.bmp
134.999	0.865	0.408	IniFF	5	7.0	1.328	func/f062.bmp
138.206	0.883	0.569	ImmFF	6	7.0	0.84	func/f062.bmp
141.397	0.823	0.549	DelUF	15	7.0	1.084	func/u064.bmp
144.554	0.848	0.565	IniUF	13	4.0	0.838	func/u051.bmp
147.761	0.986	0.598	IniFF	5	7.0	1.15	func/f064.bmp
151.035	0.975	0.529	DelFF	7	4.0	0.798	func/f056.bmp
154.208	0.987	0.43	IniUF	13	4.0	1.047	func/u052.bmp
157.499	0.934	0.52	ImmUF	14	4.0	1.347	func/u052.bmp
160.706	0.891	0.506	IniUF	13	4.0	0.937	func/u061.bmp
163.846	0.852	0.481	IniUF	13	7.0	0.611	func/u053.bmp
166.886	0.828	0.428	ImmUF	14	7.0	0.767	func/u053.bmp
169.943	0.843	0.465	IniFF	5	7.0	0.835	func/f057.bmp
173.134	0.967	0.57	DelUF	15	7.0	0.771	func/u051.bmp
176.424	0.824	0.558	IniFF	5	4.0	0.682	func/f054.bmp
179.448	0.912	0.433	ImmFF	6	4.0	1.191	func/f054.bmp
182.655	0.819	0.534	DelFF	7	4.0	1.264	func/f064.bmp
185.695	0.881	0.455	IniUF	13	4.0	1.757	func/u050.bmp
