onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.998	0.55	IniSF	17	4	0.679	func/s136.bmp
3.225	0.939	0.468	ImmSF	18	4	0.51	func/s136.bmp
6.548	0.93	0.514	IniSF	17	4	0.56	func/s138.bmp
9.805	0.929	0.56	ImmSF	18	4	0.528	func/s138.bmp
13.095	0.923	0.6	IniFF	5	4	0.649	func/f142.bmp
16.269	0.925	0.476	IniFF	5	4	0.694	func/f146.bmp
19.526	0.889	0.562	IniSF	17	4	0.582	func/s142.bmp
22.617	0.976	0.424	IniUF	13	4	0.689	func/u137.bmp
25.941	0.833	0.577	ImmUF	14	4	0.522	func/u137.bmp
29.081	0.962	0.548	IniUF	13	4	0.516	func/u142.bmp
52.299	0.837	0.479	IniUF	13	4	0.627	func/u134.bmp
55.34	0.993	0.434	DelFF	7	4	0.486	func/f142.bmp
58.63	0.911	0.532	IniSF	17	4	0.957	func/s139.bmp
61.887	0.836	0.577	ImmSF	18	7	1.026	func/s139.bmp
64.944	0.879	0.463	DelFF	7	4	0.531	func/f146.bmp
68.051	0.956	0.465	IniUF	13	4	0.697	func/u135.bmp
71.208	0.919	0.43	ImmUF	14	4	0.538	func/u135.bmp
74.348	0.988	0.454	DelSF	19	4	0.507	func/s142.bmp
77.605	0.812	0.493	IniUF	13	4	0.756	func/u131.bmp
80.712	0.959	0.52	IniFF	5	4	0.558	func/f143.bmp
83.902	0.967	0.456	ImmFF	6	4	0.462	func/f143.bmp
87.16	0.963	0.52	DelUF	15	4	0.645	func/u142.bmp
90.433	0.834	0.541	IniSF	17	7	0.85	func/s144.bmp
93.474	0.995	0.436	ImmSF	18	7	0.629	func/s144.bmp
96.814	0.895	0.571	DelUF	15	4	0.561	func/u134.bmp
99.921	0.853	0.444	IniSF	17	4	0.935	func/s141.bmp
103.028	0.911	0.477	IniSF	17	7	0.735	func/s145.bmp
106.168	0.921	0.454	IniSF	17	4	0.862	func/s135.bmp
109.375	0.948	0.515	ImmSF	18	4	0.765	func/s135.bmp
112.583	0.903	0.5	DelUF	15	4	0.64	func/u131.bmp
135.818	0.937	0.568	IniFF	5	4	0.616	func/f134.bmp
138.942	0.988	0.418	IniUF	13	4	0.606	func/u146.bmp
142.248	0.876	0.54	ImmUF	14	4	0.442	func/u146.bmp
145.405	0.841	0.512	IniUF	13	4	0.627	func/u132.bmp
148.512	0.801	0.486	DelSF	19	4	0.808	func/s141.bmp
151.502	0.856	0.424	IniUF	13	4	0.55	func/u145.bmp
154.642	0.869	0.508	DelSF	19	7	0.74	func/s145.bmp
157.667	0.968	0.401	IniSF	17	4	0.644	func/s143.bmp
160.973	0.934	0.571	IniFF	5	4	0.625	func/f132.bmp
