onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0	0.944	0.407	IniUF	13.0	n/a	func/u022.bmp
0.986	0.0	n/a	btnR	n/a	0.986	n/a
3.14	0.911	0.428	IniUF	13.0	n/a	func/u017.bmp
4.056	0.0	n/a	btnR	n/a	0.916	n/a
6.398	0.93	0.481	IniUF	13.0	n/a	func/u021.bmp
7.233	0.0	n/a	btnL	n/a	0.835	n/a
9.655	0.961	0.555	IniFF	5.0	n/a	func/f019.bmp
10.559	0.0	n/a	btnR	n/a	0.904	n/a
12.962	0.958	0.575	ImmFF	6.0	n/a	func/f019.bmp
13.756	0.0	n/a	btnR	n/a	0.794	n/a
16.269	0.839	0.522	IniSF	17.0	n/a	func/s028.bmp
17.055	0.0	n/a	btnL	n/a	0.786	n/a
19.393	0.838	0.516	ImmSF	18.0	n/a	func/s028.bmp
20.158	0.0	n/a	btnL	n/a	0.765	n/a
22.5	0.931	0.487	IniUF	13.0	n/a	func/u030.bmp
23.539	0.0	n/a	btnL	n/a	1.039	n/a
25.657	0.835	0.462	ImmUF	14.0	n/a	func/u030.bmp
26.328	0.0	n/a	btnL	n/a	0.671	n/a
28.747	0.91	0.49	DelUF	15.0	n/a	func/u022.bmp
29.841	0.0	n/a	btnR	n/a	1.094	n/a
51.932	0.925	0.497	IniUF	13.0	n/a	func/u029.bmp
52.852	0.0	n/a	btnL	n/a	0.92	n/a
55.222	0.982	0.59	ImmUF	14.0	n/a	func/u029.bmp
55.946	0.0	n/a	btnL	n/a	0.724	n/a
58.429	0.876	0.466	DelUF	15.0	n/a	func/u017.bmp
59.146	0.0	n/a	btnR	n/a	0.717	n/a
61.653	0.844	0.55	IniFF	5.0	n/a	func/f028.bmp
62.522	0.0	n/a	btnR	n/a	0.869	n/a
64.827	0.964	0.561	DelUF	15.0	n/a	func/u021.bmp
65.659	0.0	n/a	btnL	n/a	0.832	n/a
68.068	0.859	0.506	IniUF	13.0	n/a	func/u032.bmp
69.007	0.0	n/a	btnR	n/a	0.939	n/a
