onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.864	0.496	IniUF	13	7.0	0.838	func/u140.bmp
3.14	0.88	0.493	IniSF	17	7.0	0.707	func/s142.bmp
6.314	0.951	0.419	ImmSF	18	7.0	0.774	func/s142.bmp
9.571	0.806	0.543	IniFF	5	7.0	0.811	func/f133.bmp
12.745	0.815	0.588	ImmFF	6	7.0	0.973	func/f133.bmp
15.801	0.856	0.448	IniFF	5	7.0	0.823	func/f142.bmp
19.008	0.817	0.578	IniFF	5	7.0	1.37	func/f131.bmp
22.132	0.973	0.524	IniSF	17	7.0	1.34	func/s135.bmp
25.372	0.837	0.496	DelUF	15	7.0	0.886	func/u140.bmp
48.491	0.923	0.501	IniSF	17	4.0	1.067	func/s139.bmp
51.764	0.969	0.568	ImmSF	18	4.0	0.747	func/s139.bmp
55.089	0.856	0.589	IniFF	5	4.0	1.066	func/f135.bmp
58.195	0.832	0.482	IniSF	17	4.0	1.303	func/s134.bmp
61.235	0.908	0.437	DelFF	7	7.0	0.687	func/f142.bmp
64.409	0.937	0.492	IniSF	17	4.0	1.005	func/s141.bmp
67.599	0.935	0.472	ImmSF	18	4.0	1.069	func/s141.bmp
70.74	0.919	0.449	DelFF	7	7.0	1.019	func/f131.bmp
73.913	0.958	0.483	IniUF	13	7.0	1.421	func/u131.bmp
77.055	0.913	0.418	DelSF	19	7.0	1.469	func/s135.bmp
80.177	0.972	0.438	IniUF	13	7.0	0.624	func/u132.bmp
83.368	0.977	0.44	ImmUF	14	7.0	0.565	func/u132.bmp
86.591	0.837	0.482	IniSF	17	7.0	1.51	func/s144.bmp
89.732	0.823	0.53	ImmSF	18	7.0	1.06	func/s144.bmp
92.822	0.97	0.489	DelFF	7	4.0	1.104	func/f135.bmp
96.096	0.925	0.53	IniSF	17	7.0	0.655	func/s143.bmp
99.303	0.804	0.517	ImmSF	18	7.0	0.934	func/s143.bmp
102.427	0.965	0.538	DelSF	19	4.0	1.185	func/s134.bmp
105.667	0.822	0.511	IniUF	13	7.0	1.294	func/u144.bmp
108.69	0.909	0.426	ImmUF	14	7.0	0.963	func/u144.bmp
131.875	0.866	0.473	IniUF	13		0.0	func/u135.bmp
135.049	0.818	0.542	DelUF	15		0.0	func/u131.bmp
138.106	0.9	0.471	IniUF	13	7.0	1.044	func/u134.bmp
141.179	0.936	0.404	ImmUF	14	7.0	0.715	func/u134.bmp
144.369	0.873	0.499	IniUF	13	7.0	0.651	func/u141.bmp
147.493	0.832	0.473	ImmUF	14	7.0	0.729	func/u141.bmp
150.617	0.968	0.521	IniSF	17	4.0	1.422	func/s145.bmp
153.774	0.897	0.432	ImmSF	18	4.0	0.78	func/s145.bmp
157.047	0.829	0.585	IniUF	13	7.0	0.903	func/u138.bmp
160.238	0.947	0.587	IniFF	5	7.0	1.205	func/f140.bmp
163.478	0.813	0.528	DelUF	15	7.0	1.082	func/u135.bmp
166.602	0.932	0.537	IniUF	13	7.0	1.092	func/u146.bmp
169.759	0.836	0.462	ImmUF	14	7.0	0.93	func/u146.bmp
172.866	0.833	0.515	IniUF	13	7.0	0.672	func/u133.bmp
175.973	0.987	0.507	IniFF	5		0.0	func/f136.bmp
179.313	0.895	0.591	IniSF	17	4.0	0.936	func/s137.bmp
182.521	0.844	0.537	DelUF	15	7.0	0.885	func/u138.bmp
185.694	0.921	0.555	IniFF	5	7.0	1.205	func/f132.bmp
188.868	0.872	0.478	DelFF	7	7.0	0.932	func/f140.bmp
211.936	0.896	0.404	IniFF	5		0.0	func/f141.bmp
215.026	0.844	0.424	ImmFF	6	7.0	0.932	func/f141.bmp
218.15	0.875	0.474	IniFF	5	7.0	1.51	func/f139.bmp
221.206	0.831	0.412	ImmFF	6	7.0	1.411	func/f139.bmp
224.247	0.971	0.451	DelUF	15	7.0	0.907	func/u133.bmp
227.471	0.833	0.484	IniSF	17	7.0	1.3	func/s132.bmp
230.644	0.938	0.509	ImmSF	18	7.0	0.923	func/s132.bmp
233.901	0.804	0.547	DelFF	7	7.0	1.082	func/f136.bmp
236.941	0.836	0.465	IniSF	17	7.0	1.15	func/s138.bmp
240.098	0.965	0.567	DelSF	19	7.0	0.892	func/s137.bmp
243.289	0.83	0.464	IniSF	17	7.0	1.348	func/s140.bmp
246.346	0.963	0.467	ImmSF	18	7.0	1.11	func/s140.bmp
249.619	0.969	0.55	DelFF	7	7.0	1.049	func/f132.bmp
252.826	0.938	0.452	IniFF	5	7.0	1.455	func/f138.bmp
256.05	0.867	0.516	IniUF	13	7.0	0.835	func/u139.bmp
259.157	0.986	0.477	IniFF	5	4.0	1.186	func/f137.bmp
262.498	0.954	0.589	ImmFF	6	4.0	0.738	func/f137.bmp
265.722	0.905	0.49	IniFF	5	7.0	1.122	func/f144.bmp
268.945	0.947	0.539	ImmFF	6	7.0	0.96	func/f144.bmp
272.119	0.98	0.462	DelSF	19		0.0	func/s138.bmp
295.354	0.866	0.459	IniUF	13	7.0	0.673	func/u137.bmp
298.461	0.962	0.472	ImmUF	14	7.0	0.736	func/u137.bmp
301.685	0.832	0.489	IniFF	5	7.0	0.804	func/f145.bmp
304.842	0.906	0.559	DelFF	7	7.0	0.666	func/f138.bmp
308.032	0.822	0.51	IniFF	5	7.0	0.722	func/f146.bmp
311.189	0.874	0.564	DelUF	15	7.0	1.437	func/u139.bmp
314.329	0.885	0.494	IniSF	17	4.0	0.947	func/s146.bmp
317.536	0.966	0.564	ImmSF	18	4.0	0.645	func/s146.bmp
320.777	0.98	0.506	IniUF	13	7.0	1.075	func/u145.bmp
324.067	0.869	0.536	IniUF	13	7.0	0.453	func/u143.bmp
327.208	0.849	0.513	ImmUF	14	7.0	0.761	func/u143.bmp
330.248	0.861	0.433	IniFF	5	7.0	0.597	func/f143.bmp
333.421	0.926	0.536	DelFF	7	7.0	0.862	func/f145.bmp
336.662	0.818	0.539	IniSF	17	7.0	0.974	func/s133.bmp
339.752	0.828	0.506	ImmSF	18	7.0	0.758	func/s133.bmp
342.926	0.858	0.573	DelFF	7	7.0	0.75	func/f146.bmp
346.033	0.811	0.476	IniSF	17	7.0	0.91	func/s136.bmp
349.024	0.946	0.418	ImmSF	18	7.0	0.413	func/s136.bmp
372.258	0.945	0.504	IniUF	13	7.0	0.991	func/u142.bmp
375.498	0.926	0.519	DelUF	15	7.0	0.664	func/u145.bmp
378.789	0.972	0.6	IniUF	13	7.0	0.858	func/u136.bmp
382.029	0.937	0.493	IniFF	5	7.0	1.226	func/f134.bmp
385.32	0.801	0.575	ImmFF	6	7.0	1.126	func/f134.bmp
388.46	0.997	0.571	DelFF	7	7.0	1.331	func/f143.bmp
391.718	0.815	0.501	IniSF	17	4.0	1.411	func/s131.bmp
