onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.921	0.431	IniFF	5	7.0	0.922	func/f126.bmp
3.24	0.965	0.545	ImmFF	6	7.0	0.492	func/f126.bmp
6.581	1.0	0.505	IniSF	17	7.0	1.019	func/s119.bmp
9.738	0.917	0.4	IniSF	17	4.0	0.898	func/s125.bmp
12.895	0.839	0.47	IniFF	5	7.0	0.913	func/f119.bmp
15.985	0.807	0.479	IniFF	5	7.0	0.812	func/f115.bmp
19.025	0.833	0.457	ImmFF	6	7.0	0.502	func/f115.bmp
22.166	0.961	0.547	IniSF	17	7.0	0.615	func/s118.bmp
25.323	0.88	0.424	ImmSF	18	7.0	0.503	func/s118.bmp
48.407	0.92	0.417	IniUF	13	7.0	0.908	func/u124.bmp
51.598	0.993	0.492	ImmUF	14	7.0	0.539	func/u124.bmp
54.821	0.837	0.466	DelSF	19	7.0	0.774	func/s119.bmp
57.962	0.868	0.533	IniFF	5	7.0	0.88	func/f122.bmp
61.052	0.924	0.463	ImmFF	6	7.0	0.749	func/f122.bmp
64.209	0.946	0.456	DelSF	19	4.0	0.997	func/s125.bmp
67.349	0.967	0.406	IniFF	5	7.0	0.896	func/f125.bmp
70.573	0.949	0.493	ImmFF	6	7.0	0.749	func/f125.bmp
73.73	0.973	0.445	DelFF	7	7.0	0.565	func/f119.bmp
76.954	0.819	0.473	IniFF	5	7.0	0.682	func/f118.bmp
80.027	0.977	0.461	IniSF	17	7.0	1.019	func/s129.bmp
83.318	0.807	0.55	IniSF	17	4.0	0.822	func/s115.bmp
86.358	0.833	0.466	ImmSF	18	4.0	0.927	func/s115.bmp
89.532	0.859	0.582	IniUF	13	7.0	0.605	func/u130.bmp
92.689	0.83	0.518	IniUF	13	7.0	0.852	func/u118.bmp
95.829	0.807	0.538	ImmUF	14	7.0	0.6	func/u118.bmp
98.886	0.998	0.469	IniFF	5	7.0	1.035	func/f123.bmp
102.243	0.997	0.597	DelFF	7	7.0	0.858	func/f118.bmp
105.601	0.918	0.592	IniSF	17	7.0	0.976	func/s114.bmp
108.707	0.995	0.422	DelSF	19	7.0	0.889	func/s129.bmp
132.076	0.931	0.593	IniUF	13	7.0	1.089	func/u119.bmp
135.266	0.838	0.498	ImmUF	14	7.0	0.696	func/u119.bmp
138.373	0.976	0.489	IniSF	17	7.0	0.909	func/s126.bmp
141.597	0.938	0.477	ImmSF	18	7.0	0.74	func/s126.bmp
144.804	0.962	0.492	DelUF	15	7.0	0.849	func/u130.bmp
147.944	0.886	0.414	IniFF	5	7.0	0.836	func/f114.bmp
151.101	0.86	0.513	IniFF	5	4.0	1.413	func/f129.bmp
154.242	0.971	0.512	DelFF	7	7.0	1.367	func/f123.bmp
157.499	0.843	0.51	IniFF	5	7.0	0.72	func/f121.bmp
160.522	0.822	0.41	ImmFF	6	7.0	1.344	func/f121.bmp
163.562	0.924	0.442	DelSF	19	4.0	0.924	func/s114.bmp
166.819	0.809	0.565	IniUF	13	7.0	1.007	func/u126.bmp
169.793	0.907	0.4	ImmUF	14	7.0	0.514	func/u126.bmp
173.0	0.937	0.518	IniUF	13	7.0	0.942	func/u116.bmp
176.257	0.997	0.552	ImmUF	14	7.0	0.434	func/u116.bmp
