onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.941	0.492	IniFF	5	4.0	0.832	func/f054.bmp
3.257	0.857	0.546	ImmFF	6	4.0	0.674	func/f054.bmp
6.581	0.972	0.568	IniUF	13	4.0	0.737	func/u063.bmp
9.805	0.933	0.473	ImmUF	14	4.0	0.641	func/u063.bmp
13.012	0.864	0.498	IniSF	17	7.0	0.825	func/s058.bmp
16.069	0.921	0.426	IniSF	17	4.0	1.178	func/s059.bmp
19.209	0.995	0.438	IniUF	13	4.0	0.77	func/u056.bmp
22.45	0.868	0.469	ImmUF	14	4.0	0.628	func/u056.bmp
25.49	0.842	0.409	IniFF	5	4.0	0.713	func/f055.bmp
48.541	0.868	0.405	IniSF	17	4.0	1.12	func/s051.bmp
51.731	0.817	0.559	ImmSF	18	4.0	0.852	func/s051.bmp
54.888	0.94	0.578	IniSF	17	4.0	0.877	func/s050.bmp
58.162	0.964	0.563	ImmSF	18	4.0	0.749	func/s050.bmp
61.419	0.905	0.531	DelSF	19	4.0	0.726	func/s058.bmp
64.676	0.932	0.57	IniSF	17	4.0	0.694	func/s064.bmp
67.783	0.987	0.404	ImmSF	18	4.0	0.695	func/s064.bmp
71.041	0.885	0.486	DelSF	19	4.0	0.722	func/s059.bmp
74.231	0.945	0.541	IniFF	5	7.0	0.912	func/f057.bmp
77.572	0.85	0.587	IniUF	13	4.0	0.691	func/u062.bmp
80.762	0.977	0.58	DelFF	7	4.0	0.857	func/f055.bmp
83.919	0.897	0.406	IniFF	5	4.0	0.767	func/f062.bmp
87.076	0.898	0.494	ImmFF	6	4.0	0.707	func/f062.bmp
90.317	0.868	0.581	IniFF	5	7.0	0.984	func/f063.bmp
93.54	0.816	0.591	IniSF	17	4.0	0.852	func/s055.bmp
96.714	0.958	0.588	ImmSF	18	4.0	0.744	func/s055.bmp
99.904	0.857	0.466	IniFF	5	4.0	1.098	func/f061.bmp
103.061	0.828	0.52	DelFF	7	7.0	0.826	func/f057.bmp
106.235	0.983	0.582	IniUF	13	4.0	0.764	func/u050.bmp
109.426	0.974	0.444	DelUF	15	4.0	0.79	func/u062.bmp
132.761	0.988	0.583	IniFF	5	4.0	0.814	func/f056.bmp
136.085	0.989	0.562	ImmFF	6	4.0	0.788	func/f056.bmp
