onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.898	0.556	IniUF	13	4.0	0.759	func/u036.bmp
3.19	0.844	0.481	IniFF	5	7.0	0.858	func/f046.bmp
6.397	0.899	0.485	IniUF	13	7.0	0.979	func/u041.bmp
9.521	0.992	0.457	IniFF	5	4.0	0.687	func/f034.bmp
12.879	0.881	0.59	ImmFF	6	4.0	0.702	func/f034.bmp
16.153	0.833	0.584	IniSF	17	7.0	0.728	func/s043.bmp
19.209	0.981	0.437	IniSF	17	7.0	0.854	func/s039.bmp
22.533	0.815	0.583	ImmSF	18	7.0	0.805	func/s039.bmp
25.674	0.875	0.561	DelUF	15	7.0	0.918	func/u036.bmp
48.809	0.837	0.475	IniUF	13	7.0	0.885	func/u037.bmp
52.016	0.885	0.586	DelFF	7	7.0	1.031	func/f046.bmp
55.239	0.858	0.538	IniUF	13	7.0	0.808	func/u048.bmp
58.296	0.918	0.418	DelUF	15	7.0	0.736	func/u041.bmp
61.62	0.937	0.59	IniFF	5	4.0	0.709	func/f042.bmp
64.761	0.886	0.434	ImmFF	6	4.0	0.539	func/f042.bmp
68.001	0.978	0.567	IniSF	17	7.0	0.764	func/s048.bmp
71.309	0.854	0.566	ImmSF	18	7.0	0.442	func/s048.bmp
74.532	0.942	0.6	DelSF	19	4.0	1.064	func/s043.bmp
77.773	0.81	0.504	IniSF	17	7.0	0.968	func/s034.bmp
80.813	0.857	0.466	ImmSF	18	7.0	0.644	func/s034.bmp
83.937	0.967	0.492	IniUF	13	7.0	0.88	func/u034.bmp
87.094	0.938	0.424	ImmUF	14	7.0	0.566	func/u034.bmp
90.401	0.938	0.59	DelUF	15	7.0	0.772	func/u037.bmp
93.658	0.934	0.541	IniFF	5	4.0	0.571	func/f048.bmp
96.815	0.957	0.458	ImmFF	6	4.0	0.483	func/f048.bmp
100.006	0.988	0.457	DelUF	15	7.0	0.747	func/u048.bmp
103.363	0.939	0.587	IniUF	13	4.0	1.025	func/u042.bmp
106.671	0.943	0.595	IniFF	5	4.0	0.808	func/f043.bmp
129.922	0.849	0.525	IniSF	17	4.0	1.042	func/s042.bmp
133.113	0.833	0.578	ImmSF	18	4.0	0.723	func/s042.bmp
136.236	0.873	0.514	IniFF	5	4.0	0.821	func/f041.bmp
139.477	0.89	0.599	IniSF	17	4.0	0.942	func/s036.bmp
142.584	0.983	0.447	ImmSF	18	4.0	0.776	func/s036.bmp
145.875	0.953	0.529	IniSF	17	7.0	1.102	func/s044.bmp
149.132	0.951	0.55	ImmSF	18	7.0	0.529	func/s044.bmp
152.356	0.913	0.512	DelUF	15	7.0	0.822	func/u042.bmp
155.496	0.929	0.463	IniFF	5	7.0	0.581	func/f047.bmp
158.653	0.847	0.466	DelFF	7	4.0	0.716	func/f043.bmp
161.827	0.901	0.563	IniFF	5	7.0	0.669	func/f044.bmp
164.917	0.953	0.417	IniSF	17	7.0	1.03	func/s045.bmp
168.141	0.841	0.488	ImmSF	18	7.0	0.841	func/s045.bmp
171.298	0.896	0.55	DelFF	7	4.0	0.772	func/f041.bmp
174.488	0.977	0.518	IniUF	13	7.0	0.791	func/u038.bmp
177.695	0.889	0.446	IniFF	5	4.0	0.643	func/f039.bmp
180.852	0.842	0.492	IniUF	13	7.0	0.716	func/u039.bmp
184.043	0.827	0.579	DelFF	7	7.0	0.852	func/f047.bmp
187.216	0.951	0.577	IniSF	17	4.0	0.85	func/s041.bmp
190.357	0.89	0.431	ImmSF	18	4.0	0.69	func/s041.bmp
193.597	0.91	0.576	DelFF	7	7.0	0.652	func/f044.bmp
216.883	0.882	0.593	IniFF	5		0.0	func/f040.bmp
219.99	0.965	0.467	ImmFF	6	4.0	0.593	func/f040.bmp
223.313	0.83	0.592	IniFF	5	4.0	0.971	func/f033.bmp
226.454	0.978	0.536	DelUF	15	7.0	0.591	func/u038.bmp
229.694	0.894	0.485	IniUF	13	7.0	0.627	func/u043.bmp
233.002	0.829	0.596	DelFF	7	4.0	0.574	func/f039.bmp
236.175	0.853	0.569	IniSF	17	4.0	1.068	func/s047.bmp
239.349	0.941	0.553	ImmSF	18	4.0	0.52	func/s047.bmp
242.557	0.989	0.501	DelUF	15	7.0	1.018	func/u039.bmp
245.73	0.881	0.403	IniSF	17	4.0	1.077	func/s033.bmp
248.77	0.995	0.4	ImmSF	18	4.0	0.833	func/s033.bmp
252.128	0.897	0.58	IniUF	13	7.0	0.778	func/u044.bmp
255.318	0.998	0.527	ImmUF	14	7.0	0.52	func/u044.bmp
258.609	0.886	0.52	IniSF	17	4.0	0.759	func/s037.bmp
261.665	0.802	0.401	ImmSF	18	4.0	0.756	func/s037.bmp
264.672	0.94	0.449	DelFF	7	4.0	0.997	func/f033.bmp
267.863	0.887	0.477	IniSF	17	4.0	0.86	func/s040.bmp
271.07	0.879	0.548	DelUF	15	7.0	0.653	func/u043.bmp
294.271	0.914	0.535	IniUF	13	4.0	0.797	func/u047.bmp
297.378	0.911	0.431	ImmUF	14	4.0	1.221	func/u047.bmp
300.652	0.886	0.585	IniUF	13	7.0	1.005	func/u040.bmp
303.726	0.86	0.428	IniUF	13	7.0	1.04	func/u033.bmp
306.95	0.86	0.578	IniFF	5	7.0	0.902	func/f035.bmp
310.023	0.826	0.435	ImmFF	6	7.0	0.589	func/f035.bmp
313.147	0.874	0.522	IniUF	13	7.0	1.04	func/u046.bmp
316.337	0.998	0.546	DelSF	19	4.0	0.679	func/s040.bmp
319.578	0.829	0.477	IniFF	5	4.0	0.698	func/f045.bmp
322.601	0.902	0.429	IniFF	5	7.0	0.73	func/f036.bmp
325.691	0.912	0.418	ImmFF	6	7.0	0.658	func/f036.bmp
328.932	0.986	0.553	DelUF	15	7.0	0.832	func/u040.bmp
332.139	0.873	0.451	IniUF	13	4.0	0.857	func/u045.bmp
335.229	0.961	0.45	DelUF	15	4.0	0.808	func/u033.bmp
338.42	0.902	0.464	IniSF	17	7.0	0.9	func/s038.bmp
341.593	0.885	0.505	IniUF	13	7.0	0.814	func/u035.bmp
344.651	0.942	0.417	DelUF	15	7.0	0.801	func/u046.bmp
347.907	0.876	0.541	IniFF	5	4.0	0.919	func/f037.bmp
351.064	0.812	0.508	ImmFF	6	4.0	0.63	func/f037.bmp
354.205	0.882	0.556	DelFF	7	4.0	0.807	func/f045.bmp
377.356	0.954	0.499	IniSF	17	4.0	0.802	func/s035.bmp
380.647	0.906	0.565	ImmSF	18	4.0	0.586	func/s035.bmp
383.787	0.893	0.457	IniSF	17	7.0	1.025	func/s046.bmp
386.894	0.945	0.449	ImmSF	18	7.0	0.679	func/s046.bmp
390.118	0.987	0.506	DelUF	15	7.0	1.112	func/u045.bmp
393.459	0.946	0.559	IniFF	5	4.0	1.035	func/f038.bmp
396.766	0.865	0.587	ImmFF	6	4.0	0.611	func/f038.bmp
399.89	0.938	0.493	DelSF	19	7.0	0.876	func/s038.bmp
