onset	duration	trial_type	value	sample	stim_file
24.6027	0.0	IniFF	5	27063	meg/f096.bmp
25.7645	0.0	btnR	4096	28341	n/a
27.8427	0.0	IniUF	13	30627	meg/u083.bmp
29.0064	0.0	btnL	256	31907	n/a
30.9336	0.0	IniUF	13	34027	meg/u122.bmp
32.1336	0.0	btnL	256	35347	n/a
34.0573	0.0	ImmUF	14	37463	meg/u122.bmp
35.2636	0.0	btnL	256	38790	n/a
37.3491	0.0	IniUF	13	41084	meg/u116.bmp
38.7309	0.0	btnR	4096	42604	n/a
40.5727	0.0	ImmUF	14	44630	meg/u116.bmp
41.7918	0.0	btnR	4096	45971	n/a
43.8636	0.0	IniFF	5	48250	meg/f034.bmp
44.7645	0.0	btnR	4096	49241	n/a
46.9536	0.0	ImmFF	6	51649	meg/f034.bmp
48.0718	0.0	btnR	4096	52879	n/a
50.1609	0.0	IniSF	17	55177	meg/s033.bmp
51.0736	0.0	btnR	4096	56181	n/a
53.3518	0.0	DelFF	7	58687	meg/f096.bmp
54.4536	0.0	btnR	4096	59899	n/a
56.5264	0.0	IniSF	17	62179	meg/s027.bmp
57.7336	0.0	btnR	4096	63507	n/a
59.7664	0.0	ImmSF	18	65743	meg/s027.bmp
60.7182	0.0	btnR	4096	66790	n/a
62.9573	0.0	DelUF	15	69253	meg/u083.bmp
63.93	0.0	btnL	256	70323	n/a
66.1645	0.0	IniUF	13	72781	meg/u052.bmp
67.3445	0.0	btnL	256	74079	n/a
69.2891	0.0	ImmUF	14	76218	meg/u052.bmp
70.4755	0.0	btnL	256	77523	n/a
72.4627	0.0	IniFF	5	79709	meg/f095.bmp
73.5845	0.0	btnL	256	80943	n/a
75.5864	0.0	IniFF	5	83145	meg/f062.bmp
76.4082	0.0	btnL	256	84049	n/a
78.61	0.0	IniUF	13	86471	meg/u109.bmp
79.6055	0.0	btnL	256	87566	n/a
81.8509	0.0	DelSF	19	90036	meg/s033.bmp
82.96	0.0	btnR	4096	91256	n/a
84.9418	0.0	IniFF	5	93436	meg/f136.bmp
85.9836	0.0	btnL	256	94582	n/a
88.1318	0.0	ImmFF	6	96945	meg/f136.bmp
89.0173	0.0	btnL	256	97919	n/a
91.2727	0.0	IniSF	17	100400	meg/s002.bmp
92.2482	0.0	btnR	4096	101473	n/a
94.2464	0.0	ImmSF	18	103671	meg/s002.bmp
95.21	0.0	btnL	256	104731	n/a
97.32	0.0	IniUF	13	107052	meg/u006.bmp
98.3918	0.0	btnL	256	108231	n/a
100.5609	0.0	ImmUF	14	110617	meg/u006.bmp
101.4236	0.0	btnL	256	111566	n/a
103.7018	0.0	DelFF	7	114072	meg/f095.bmp
104.8145	0.0	btnL	256	115296	n/a
106.8918	0.0	IniUF	13	117581	meg/u026.bmp
107.8818	0.0	btnL	256	118670	n/a
109.9327	0.0	DelFF	7	120926	meg/f062.bmp
110.9445	0.0	btnL	256	122039	n/a
113.1227	0.0	IniSF	17	124435	meg/s042.bmp
114.3136	0.0	btnR	4096	125745	n/a
116.2473	0.0	DelUF	15	127872	meg/u109.bmp
