onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.983	0.491	IniUF	13	n/a	func/u034.bmp
0.8400	0.0	n/a	btnR	n/a	0.84	n/a
3.2910	0.87	0.545	IniUF	13	n/a	func/u039.bmp
4.4380	0.0	n/a	btnL	n/a	1.147	n/a
6.5150	0.8	0.479	ImmUF	14	n/a	func/u039.bmp
7.1430	0.0	n/a	btnL	n/a	0.628	n/a
9.6220	0.916	0.542	IniSF	17	n/a	func/s036.bmp
10.6870	0.0	n/a	btnR	n/a	1.065	n/a
12.7790	0.918	0.451	IniUF	13	n/a	func/u041.bmp
13.8010	0.0	n/a	btnL	n/a	1.022	n/a
16.0030	0.866	0.55	IniSF	17	n/a	func/s034.bmp
17.0260	0.0	n/a	btnL	n/a	1.023	n/a
19.1090	0.944	0.479	ImmSF	18	n/a	func/s034.bmp
20.2890	0.0	n/a	btnL	n/a	1.18	n/a
22.2670	0.958	0.45	IniSF	17	n/a	func/s039.bmp
23.1300	0.0	n/a	btnL	n/a	0.863	n/a
25.5400	0.845	0.537	DelUF	15	n/a	func/u034.bmp
26.4090	0.0	n/a	btnR	n/a	0.869	n/a
28.7140	0.852	0.539	IniSF	17	n/a	func/s048.bmp
29.6160	0.0	n/a	btnR	n/a	0.902	n/a
51.8150	0.887	0.468	IniUF	13	n/a	func/u044.bmp
52.6820	0.0	n/a	btnR	n/a	0.867	n/a
54.9720	0.882	0.495	ImmUF	14	n/a	func/u044.bmp
55.6700	0.0	n/a	btnR	n/a	0.698	n/a
58.0970	0.846	0.484	DelSF	19	n/a	func/s036.bmp
58.9560	0.0	n/a	btnR	n/a	0.859	n/a
61.1860	0.839	0.47	IniSF	17	n/a	func/s043.bmp
62.0120	0.0	n/a	btnL	n/a	0.826	n/a
64.2770	0.879	0.484	ImmSF	18	n/a	func/s043.bmp
65.0210	0.0	n/a	btnL	n/a	0.744	n/a
67.4330	0.883	0.502	DelUF	15	n/a	func/u041.bmp
68.6900	0.0	n/a	btnL	n/a	1.257	n/a
70.5900	0.943	0.492	IniFF	5	n/a	func/f047.bmp
71.3820	0.0	n/a	btnR	n/a	0.792	n/a
73.7640	0.859	0.455	ImmFF	6	n/a	func/f047.bmp
74.3450	0.0	n/a	btnR	n/a	0.581	n/a
76.8710	0.909	0.453	IniFF	5	n/a	func/f046.bmp
77.8430	0.0	n/a	btnR	n/a	0.972	n/a
80.0780	0.957	0.53	ImmFF	6	n/a	func/f046.bmp
80.9090	0.0	n/a	btnR	n/a	0.831	n/a
83.3690	0.916	0.556	DelSF	19	n/a	func/s039.bmp
84.1160	0.0	n/a	btnL	n/a	0.747	n/a
86.5590	0.817	0.513	IniSF	17	n/a	func/s035.bmp
87.4820	0.0	n/a	btnR	n/a	0.923	n/a
89.5320	0.906	0.4	ImmSF	18	n/a	func/s035.bmp
90.1220	0.0	n/a	btnR	n/a	0.59	n/a
92.6730	0.906	0.451	DelSF	19	n/a	func/s048.bmp
93.5040	0.0	n/a	btnR	n/a	0.831	n/a
95.8960	0.821	0.533	IniFF	5	n/a	func/f044.bmp
96.5070	0.0	n/a	btnR	n/a	0.611	n/a
98.9870	0.817	0.497	IniSF	17	n/a	func/s033.bmp
99.7060	0.0	n/a	btnR	n/a	0.719	n/a
102.1270	0.866	0.531	IniSF	17	n/a	func/s041.bmp
102.8620	0.0	n/a	btnR	n/a	0.735	n/a
105.2000	0.951	0.442	IniFF	5	n/a	func/f038.bmp
106.1250	0.0	n/a	btnL	n/a	0.925	n/a
108.3910	0.858	0.474	ImmFF	6	n/a	func/f038.bmp
109.2760	0.0	n/a	btnL	n/a	0.885	n/a
131.6090	0.976	0.574	IniUF	13	n/a	func/u033.bmp
132.5660	0.0	n/a	btnL	n/a	0.957	n/a
134.8160	0.94	0.452	ImmUF	14	n/a	func/u033.bmp
135.5310	0.0	n/a	btnL	n/a	0.715	n/a
138.1230	0.951	0.597	IniSF	17	n/a	func/s044.bmp
139.0410	0.0	n/a	btnR	n/a	0.918	n/a
141.2800	0.938	0.439	DelFF	7	n/a	func/f044.bmp
142.0450	0.0	n/a	btnR	n/a	0.765	n/a
144.4210	0.928	0.431	IniSF	17	n/a	func/s046.bmp
145.1490	0.0	n/a	btnR	n/a	0.728	n/a
147.6780	0.896	0.565	ImmSF	18	n/a	func/s046.bmp
148.1550	0.0	n/a	btnR	n/a	0.477	n/a
150.9020	0.909	0.554	DelSF	19	n/a	func/s033.bmp
151.5230	0.0	n/a	btnR	n/a	0.621	n/a
153.9920	0.982	0.402	IniSF	17	n/a	func/s045.bmp
154.8470	0.0	n/a	btnL	n/a	0.855	n/a
157.2670	0.999	0.535	DelSF	19	n/a	func/s041.bmp
158.3160	0.0	n/a	btnL	n/a	1.049	n/a
160.6230	0.867	0.564	IniFF	5	n/a	func/f042.bmp
161.4450	0.0	n/a	btnL	n/a	0.822	n/a
163.7970	0.85	0.541	IniSF	17	n/a	func/s040.bmp
164.4810	0.0	n/a	btnR	n/a	0.684	n/a
166.9870	0.834	0.573	IniFF	5	n/a	func/f035.bmp
167.9370	0.0	n/a	btnR	n/a	0.95	n/a
169.9940	0.994	0.404	DelSF	19	n/a	func/s044.bmp
171.0040	0.0	n/a	btnL	n/a	1.01	n/a
173.3680	0.978	0.586	IniSF	17	n/a	func/s042.bmp
174.2370	0.0	n/a	btnR	n/a	0.869	n/a
176.5590	0.961	0.438	IniUF	13	n/a	func/u040.bmp
177.3630	0.0	n/a	btnR	n/a	0.804	n/a
179.7160	0.97	0.431	ImmUF	14	n/a	func/u040.bmp
180.3590	0.0	n/a	btnR	n/a	0.643	n/a
