onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.969	0.492	IniUF	13	n/a	func/u071.bmp
0.9670	0.0	n/a	btnL	n/a	0.967	n/a
3.1570	0.808	0.408	IniFF	5	n/a	func/f081.bmp
4.1770	0.0	n/a	btnL	n/a	1.02	n/a
6.2970	0.907	0.456	IniFF	5	n/a	func/f068.bmp
7.2200	0.0	n/a	btnL	n/a	0.923	n/a
9.4040	0.971	0.432	ImmFF	6	n/a	func/f068.bmp
10.1270	0.0	n/a	btnL	n/a	0.723	n/a
12.6780	0.837	0.525	IniFF	5	n/a	func/f066.bmp
13.4890	0.0	n/a	btnL	n/a	0.811	n/a
15.8350	0.904	0.544	ImmFF	6	n/a	func/f066.bmp
16.4220	0.0	n/a	btnL	n/a	0.587	n/a
18.9250	0.862	0.403	IniSF	17	n/a	func/s067.bmp
19.7460	0.0	n/a	btnR	n/a	0.821	n/a
21.9820	0.971	0.419	IniSF	17	n/a	func/s069.bmp
22.7980	0.0	n/a	btnR	n/a	0.816	n/a
25.1720	0.837	0.442	ImmSF	18	n/a	func/s069.bmp
25.8770	0.0	n/a	btnR	n/a	0.705	n/a
28.3460	0.803	0.556	DelUF	15	n/a	func/u071.bmp
29.1350	0.0	n/a	btnL	n/a	0.789	n/a
51.4970	0.857	0.507	IniUF	13	n/a	func/u069.bmp
52.2730	0.0	n/a	btnL	n/a	0.776	n/a
54.5370	0.826	0.407	ImmUF	14	n/a	func/u069.bmp
55.2720	0.0	n/a	btnL	n/a	0.735	n/a
57.7110	0.981	0.569	DelFF	7	n/a	func/f081.bmp
58.4610	0.0	n/a	btnL	n/a	0.75	n/a
60.9180	0.901	0.465	IniUF	13	n/a	func/u072.bmp
61.7630	0.0	n/a	btnL	n/a	0.845	n/a
64.0920	0.88	0.491	IniSF	17	n/a	func/s071.bmp
64.9170	0.0	n/a	btnL	n/a	0.825	n/a
67.1490	0.994	0.414	IniUF	13	n/a	func/u074.bmp
68.0190	0.0	n/a	btnR	n/a	0.87	n/a
70.4390	0.855	0.529	ImmUF	14	n/a	func/u074.bmp
70.8590	0.0	n/a	btnR	n/a	0.42	n/a
73.5460	0.856	0.469	DelSF	19	n/a	func/s067.bmp
74.5000	0.0	n/a	btnL	n/a	0.954	n/a
76.6200	0.906	0.442	IniFF	5	n/a	func/f071.bmp
77.3900	0.0	n/a	btnL	n/a	0.77	n/a
79.7600	0.84	0.467	ImmFF	6	n/a	func/f071.bmp
80.3820	0.0	n/a	btnL	n/a	0.622	n/a
82.9840	0.975	0.594	IniFF	5	n/a	func/f078.bmp
83.8100	0.0	n/a	btnL	n/a	0.826	n/a
86.3580	0.87	0.6	IniSF	17	n/a	func/s070.bmp
87.1900	0.0	n/a	btnL	n/a	0.832	n/a
89.4650	0.903	0.459	ImmSF	18	n/a	func/s070.bmp
90.1170	0.0	n/a	btnL	n/a	0.652	n/a
