onset	duration	trial_type	value	sample	stim_file
24.3318	0.0	IniUF	13	26765	meg/u124.bmp
27.3718	0.0	IniFF	5	30109	meg/f125.bmp
28.02	0.0	btnR	4096	30822	n/a
30.5455	0.0	ImmFF	6	33600	meg/f125.bmp
31.0645	0.0	btnR	4096	34171	n/a
33.72	0.0	IniFF	5	37092	meg/f012.bmp
36.81	0.0	ImmFF	6	40491	meg/f012.bmp
37.3382	0.0	btnR	4096	41072	n/a
40.0182	0.0	IniUF	13	44020	meg/u044.bmp
43.2418	0.0	ImmUF	14	47566	meg/u044.bmp
46.3655	0.0	IniSF	17	51002	meg/s006.bmp
46.9764	0.0	btnR	4096	51674	n/a
49.6236	0.0	IniSF	17	54586	meg/s029.bmp
52.8136	0.0	DelUF	15	58095	meg/u124.bmp
55.9045	0.0	IniUF	13	61495	meg/u106.bmp
58.9109	0.0	ImmUF	14	64802	meg/u106.bmp
62.1691	0.0	IniUF	13	68386	meg/u061.bmp
65.2764	0.0	IniFF	5	71804	meg/f071.bmp
65.8264	0.0	btnR	4096	72409	n/a
68.5	0.0	IniFF	5	75350	meg/f037.bmp
71.6736	0.0	ImmFF	6	78841	meg/f037.bmp
74.8482	0.0	DelSF	19	82333	meg/s006.bmp
75.7118	0.0	btnR	4096	83283	n/a
78.0555	0.0	IniFF	5	85861	meg/f018.bmp
78.7918	0.0	btnR	4096	86671	n/a
81.1627	0.0	DelSF	19	89279	meg/s029.bmp
84.37	0.0	IniFF	5	92807	meg/f122.bmp
85.0518	0.0	btnR	4096	93557	n/a
87.6109	0.0	IniSF	17	96372	meg/s080.bmp
88.3945	0.0	btnR	4096	97234	n/a
90.9018	0.0	DelUF	15	99992	meg/u061.bmp
91.5609	0.0	btnR	4096	100717	n/a
94.0418	0.0	IniFF	5	103446	meg/f047.bmp
97.3164	0.0	ImmFF	6	107048	meg/f047.bmp
100.6073	0.0	DelFF	7	110668	meg/f071.bmp
101.2064	0.0	btnR	4096	111327	n/a
103.8818	0.0	IniUF	13	114270	meg/u133.bmp
107.0218	0.0	IniSF	17	117724	meg/s004.bmp
110.2127	0.0	DelFF	7	121234	meg/f018.bmp
113.3873	0.0	IniFF	5	124726	meg/f007.bmp
113.9636	0.0	btnR	4096	125360	n/a
116.6273	0.0	ImmFF	6	128290	meg/f007.bmp
117.2564	0.0	btnR	4096	128982	n/a
119.8018	0.0	DelFF	7	131782	meg/f122.bmp
120.3945	0.0	btnR	4096	132434	n/a
122.9591	0.0	IniFF	5	135255	meg/f101.bmp
123.7818	0.0	btnR	4096	136160	n/a
126.15	0.0	DelSF	19	138765	meg/s080.bmp
129.4073	0.0	IniUF	13	142348	meg/u038.bmp
132.7145	0.0	IniFF	5	145986	meg/f108.bmp
133.2209	0.0	btnR	4096	146543	n/a
135.9391	0.0	ImmFF	6	149533	meg/f108.bmp
136.4545	0.0	btnR	4096	150100	n/a
139.1127	0.0	DelUF	15	153024	meg/u133.bmp
142.32	0.0	IniSF	17	156552	meg/s094.bmp
143.0155	0.0	btnR	4096	157317	n/a
145.5109	0.0	ImmSF	18	160062	meg/s094.bmp
146.0982	0.0	btnR	4096	160708	n/a
