onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0	0.997	0.556	IniFF	5.0	n/a	func/f036.bmp
1.139	0.0	n/a	btnR	n/a	1.139	n/a
3.358	0.992	0.592	IniFF	5.0	n/a	func/f043.bmp
4.455	0.0	n/a	btnL	n/a	1.097	n/a
6.732	0.889	0.516	ImmFF	6.0	n/a	func/f043.bmp
7.766	0.0	n/a	btnR	n/a	1.034	n/a
9.922	0.984	0.526	IniFF	5.0	n/a	func/f042.bmp
10.905	0.0	n/a	btnL	n/a	0.983	n/a
13.129	0.885	0.452	ImmFF	6.0	n/a	func/f042.bmp
13.984	0.0	n/a	btnL	n/a	0.855	n/a
16.353	0.846	0.583	IniFF	5.0	n/a	func/f040.bmp
17.909	0.0	n/a	btnL	n/a	1.556	n/a
19.393	0.873	0.422	ImmFF	6.0	n/a	func/f040.bmp
20.521	0.0	n/a	btnL	n/a	1.128	n/a
22.567	0.815	0.532	IniUF	13.0	n/a	func/u040.bmp
23.477	0.0	n/a	btnR	n/a	0.91	n/a
25.657	0.912	0.512	ImmUF	14.0	n/a	func/u040.bmp
26.346	0.0	n/a	btnR	n/a	0.689	n/a
48.758	0.805	0.404	IniUF	13.0	n/a	func/u034.bmp
49.92	0.0	n/a	btnR	n/a	1.162	n/a
51.782	0.824	0.44	DelFF	7.0	n/a	func/f036.bmp
52.712	0.0	n/a	btnR	n/a	0.93	n/a
54.939	0.855	0.559	IniUF	13.0	n/a	func/u045.bmp
55.752	0.0	n/a	btnR	n/a	0.813	n/a
57.979	0.826	0.408	IniSF	17.0	n/a	func/s047.bmp
59.038	0.0	n/a	btnR	n/a	1.059	n/a
60.986	0.816	0.416	IniFF	5.0	n/a	func/f038.bmp
62.805	0.0	n/a	btnL	n/a	1.819	n/a
64.059	0.871	0.497	IniSF	17.0	n/a	func/s041.bmp
65.095	0.0	n/a	btnR	n/a	1.036	n/a
67.283	0.997	0.584	IniSF	17.0	n/a	func/s044.bmp
68.02	0.0	n/a	btnR	n/a	0.737	n/a
70.59	0.905	0.543	ImmSF	18.0	n/a	func/s044.bmp
71.293	0.0	n/a	btnR	n/a	0.703	n/a
73.747	0.873	0.471	DelUF	15.0	n/a	func/u034.bmp
74.783	0.0	n/a	btnR	n/a	1.036	n/a
76.888	0.956	0.493	IniUF	13.0	n/a	func/u044.bmp
78.077	0.0	n/a	btnR	n/a	1.189	n/a
80.045	0.988	0.431	ImmUF	14.0	n/a	func/u044.bmp
80.957	0.0	n/a	btnR	n/a	0.912	n/a
83.385	0.989	0.58	DelUF	15.0	n/a	func/u045.bmp
84.282	0.0	n/a	btnR	n/a	0.897	n/a
86.709	0.803	0.553	IniUF	13.0	n/a	func/u046.bmp
87.839	0.0	n/a	btnR	n/a	1.13	n/a
89.733	0.936	0.453	ImmUF	14.0	n/a	func/u046.bmp
90.411	0.0	n/a	btnR	n/a	0.678	n/a
