onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.914	0.566	IniSF	17	n/a	func/s049.bmp
1.1410	0.0	n/a	btnR	n/a	1.141	n/a
3.1400	0.801	0.459	IniSF	17	n/a	func/s050.bmp
4.0650	0.0	n/a	btnR	n/a	0.925	n/a
6.3970	0.886	0.594	IniSF	17	n/a	func/s059.bmp
7.0460	0.0	n/a	btnR	n/a	0.649	n/a
9.6040	0.877	0.565	ImmSF	18	n/a	func/s059.bmp
10.4530	0.0	n/a	btnR	n/a	0.849	n/a
12.6940	0.913	0.447	IniSF	17	n/a	func/s064.bmp
13.4070	0.0	n/a	btnR	n/a	0.713	n/a
15.8510	0.895	0.472	ImmSF	18	n/a	func/s064.bmp
16.5760	0.0	n/a	btnR	n/a	0.725	n/a
18.9920	0.804	0.483	IniSF	17	n/a	func/s061.bmp
19.6750	0.0	n/a	btnR	n/a	0.683	n/a
22.0150	0.98	0.445	IniFF	5	n/a	func/f049.bmp
23.1570	0.0	n/a	btnL	n/a	1.142	n/a
25.1890	0.944	0.423	ImmFF	6	n/a	func/f049.bmp
26.1100	0.0	n/a	btnL	n/a	0.921	n/a
28.3290	0.819	0.431	DelSF	19	n/a	func/s049.bmp
29.8230	0.0	n/a	btnR	n/a	1.494	n/a
51.5140	0.932	0.586	IniSF	17	n/a	func/s062.bmp
52.3610	0.0	n/a	btnR	n/a	0.847	n/a
54.6370	0.941	0.433	ImmSF	18	n/a	func/s062.bmp
55.4630	0.0	n/a	btnR	n/a	0.826	n/a
57.8280	0.987	0.469	DelSF	19	n/a	func/s050.bmp
58.7250	0.0	n/a	btnR	n/a	0.897	n/a
61.0850	0.918	0.496	IniUF	13	n/a	func/u056.bmp
62.0440	0.0	n/a	btnR	n/a	0.959	n/a
64.2420	0.996	0.471	IniSF	17	n/a	func/s060.bmp
65.3550	0.0	n/a	btnL	n/a	1.113	n/a
67.5330	0.897	0.52	ImmSF	18	n/a	func/s060.bmp
69.0870	0.0	n/a	btnR	n/a	1.554	n/a
70.7730	0.898	0.571	IniUF	13	n/a	func/u052.bmp
72.6420	0.0	n/a	btnR	n/a	1.869	n/a
73.8470	0.947	0.412	ImmUF	14	n/a	func/u052.bmp
75.7810	0.0	n/a	btnR	n/a	1.934	n/a
77.0710	0.837	0.517	DelSF	19	n/a	func/s061.bmp
78.0850	0.0	n/a	btnR	n/a	1.014	n/a
80.2280	0.921	0.54	IniFF	5	n/a	func/f058.bmp
81.1110	0.0	n/a	btnR	n/a	0.883	n/a
83.4850	0.976	0.565	ImmFF	6	n/a	func/f058.bmp
85.0100	0.0	n/a	btnR	n/a	1.525	n/a
86.7750	0.991	0.542	IniUF	13	n/a	func/u055.bmp
88.4970	0.0	n/a	btnL	n/a	1.722	n/a
89.9660	0.935	0.428	IniUF	13	n/a	func/u060.bmp
91.3360	0.0	n/a	btnR	n/a	1.37	n/a
93.2570	0.883	0.586	DelUF	15	n/a	func/u056.bmp
94.1810	0.0	n/a	btnR	n/a	0.924	n/a
96.3970	0.815	0.5	IniFF	5	n/a	func/f055.bmp
97.5460	0.0	n/a	btnL	n/a	1.149	n/a
99.5040	0.899	0.526	IniUF	13	n/a	func/u054.bmp
101.2610	0.0	n/a	btnR	n/a	1.757	n/a
102.6940	0.986	0.523	IniFF	5	n/a	func/f062.bmp
103.7540	0.0	n/a	btnL	n/a	1.06	n/a
106.0020	0.859	0.567	ImmFF	6	n/a	func/f062.bmp
106.7350	0.0	n/a	btnL	n/a	0.733	n/a
129.0690	0.866	0.42	IniFF	5	n/a	func/f056.bmp
130.0620	0.0	n/a	btnR	n/a	0.993	n/a
132.1270	0.828	0.434	DelUF	15	n/a	func/u055.bmp
133.0660	0.0	n/a	btnL	n/a	0.939	n/a
135.1830	0.922	0.453	IniUF	13	n/a	func/u063.bmp
136.3870	0.0	n/a	btnR	n/a	1.204	n/a
138.3570	0.875	0.472	DelUF	15	n/a	func/u060.bmp
140.2460	0.0	n/a	btnR	n/a	1.889	n/a
141.5140	0.903	0.507	IniFF	5	n/a	func/f051.bmp
142.5170	0.0	n/a	btnL	n/a	1.003	n/a
144.7210	0.911	0.545	DelFF	7	n/a	func/f055.bmp
145.9270	0.0	n/a	btnL	n/a	1.206	n/a
147.8120	0.802	0.418	IniUF	13	n/a	func/u049.bmp
148.5860	0.0	n/a	btnR	n/a	0.774	n/a
150.8510	0.805	0.481	DelUF	15	n/a	func/u054.bmp
151.6860	0.0	n/a	btnR	n/a	0.835	n/a
153.9580	0.956	0.531	IniFF	5	n/a	func/f064.bmp
154.9430	0.0	n/a	btnL	n/a	0.985	n/a
157.1980	0.978	0.502	IniFF	5	n/a	func/f057.bmp
158.6520	0.0	n/a	btnL	n/a	1.454	n/a
160.3550	0.935	0.409	DelFF	7	n/a	func/f056.bmp
161.1470	0.0	n/a	btnR	n/a	0.792	n/a
163.4620	0.974	0.412	IniSF	17	n/a	func/s056.bmp
164.3580	0.0	n/a	btnR	n/a	0.896	n/a
166.6360	0.924	0.422	ImmSF	18	n/a	func/s056.bmp
167.3550	0.0	n/a	btnR	n/a	0.719	n/a
169.8100	0.801	0.469	DelUF	15	n/a	func/u063.bmp
170.7980	0.0	n/a	btnR	n/a	0.988	n/a
172.8660	0.804	0.496	IniSF	17	n/a	func/s054.bmp
173.8820	0.0	n/a	btnR	n/a	1.016	n/a
175.8900	0.971	0.436	ImmSF	18	n/a	func/s054.bmp
176.9090	0.0	n/a	btnR	n/a	1.019	n/a
179.0800	0.946	0.448	DelFF	7	n/a	func/f051.bmp
180.0010	0.0	n/a	btnL	n/a	0.921	n/a
182.2370	0.899	0.445	IniFF	5	n/a	func/f052.bmp
183.5080	0.0	n/a	btnL	n/a	1.271	n/a
185.4440	0.903	0.536	ImmFF	6	n/a	func/f052.bmp
186.4690	0.0	n/a	btnL	n/a	1.025	n/a
188.6010	0.896	0.493	DelUF	15	n/a	func/u049.bmp
189.7700	0.0	n/a	btnL	n/a	1.169	n/a
211.7030	0.882	0.429	IniSF	17	n/a	func/s057.bmp
212.7550	0.0	n/a	btnR	n/a	1.052	n/a
214.7930	0.839	0.445	ImmSF	18	n/a	func/s057.bmp
215.5810	0.0	n/a	btnR	n/a	0.788	n/a
217.8500	0.928	0.444	DelFF	7	n/a	func/f064.bmp
218.8540	0.0	n/a	btnL	n/a	1.004	n/a
220.9400	0.937	0.4	IniFF	5	n/a	func/f063.bmp
221.6130	0.0	n/a	btnL	n/a	0.673	n/a
224.0470	0.933	0.406	ImmFF	6	n/a	func/f063.bmp
224.6870	0.0	n/a	btnL	n/a	0.64	n/a
227.1700	0.912	0.426	DelFF	7	n/a	func/f057.bmp
228.1220	0.0	n/a	btnL	n/a	0.952	n/a
230.4610	0.86	0.562	IniUF	13	n/a	func/u062.bmp
231.4350	0.0	n/a	btnR	n/a	0.974	n/a
233.6180	0.977	0.526	IniSF	17	n/a	func/s053.bmp
234.6890	0.0	n/a	btnL	n/a	1.071	n/a
236.9250	0.925	0.567	ImmSF	18	n/a	func/s053.bmp
237.8230	0.0	n/a	btnL	n/a	0.898	n/a
240.0820	0.926	0.458	IniUF	13	n/a	func/u061.bmp
241.6770	0.0	n/a	btnR	n/a	1.595	n/a
243.2890	0.845	0.503	IniUF	13	n/a	func/u053.bmp
244.1750	0.0	n/a	btnL	n/a	0.886	n/a
246.4630	0.852	0.566	ImmUF	14	n/a	func/u053.bmp
247.6130	0.0	n/a	btnL	n/a	1.15	n/a
249.6700	0.871	0.585	IniUF	13	n/a	func/u051.bmp
250.6860	0.0	n/a	btnR	n/a	1.016	n/a
252.7940	0.964	0.482	ImmUF	14	n/a	func/u051.bmp
254.9760	0.0	n/a	btnR	n/a	2.182	n/a
256.0340	0.917	0.505	IniFF	5	n/a	func/f060.bmp
257.4690	0.0	n/a	btnR	n/a	1.435	n/a
