onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.931	0.521	IniUF	13	4.0	1.095	func/u127.bmp
3.107	0.968	0.403	ImmUF	14	4.0	0.948	func/u127.bmp
6.414	0.997	0.475	IniSF	17	4.0	1.266	func/s116.bmp
9.688	0.817	0.504	ImmSF	18	4.0	0.865	func/s116.bmp
12.762	0.956	0.491	IniFF	5	4.0	1.575	func/f126.bmp
15.919	0.913	0.426	IniSF	17	4.0	1.341	func/s125.bmp
19.109	0.929	0.512	ImmSF	18	4.0	0.97	func/s125.bmp
22.249	0.877	0.442	IniFF	5	4.0	1.128	func/f130.bmp
25.423	0.884	0.519	IniSF	17	4.0	1.312	func/s120.bmp
28.631	0.87	0.568	ImmSF	18	4.0	0.944	func/s120.bmp
51.798	0.865	0.509	IniUF	13	7.0	1.05	func/u114.bmp
54.988	0.834	0.565	IniUF	13	4.0	1.01	func/u120.bmp
57.995	0.843	0.404	ImmUF	14	4.0	0.697	func/u120.bmp
61.003	0.955	0.401	DelFF	7	4.0	1.92	func/f126.bmp
64.209	0.992	0.473	IniUF	13	4.0	1.095	func/u129.bmp
67.416	0.843	0.437	IniSF	17	4.0	1.261	func/s122.bmp
70.556	0.877	0.531	ImmSF	18	4.0	0.886	func/s122.bmp
73.78	0.95	0.569	DelFF	7	4.0	1.081	func/f130.bmp
76.904	0.8	0.416	IniFF	5	4.0	2.399	func/f120.bmp
79.944	0.819	0.476	IniFF	5	7.0	1.591	func/f115.bmp
82.934	0.811	0.407	DelUF	15	7.0	1.097	func/u114.bmp
85.99	0.818	0.469	IniFF	5	7.0	1.235	func/f114.bmp
88.998	0.829	0.434	IniFF	5	4.0	1.537	func/f116.bmp
92.104	0.946	0.51	DelUF	15	4.0	1.14	func/u129.bmp
95.311	0.888	0.496	IniUF	13	7.0	0.919	func/u115.bmp
98.451	0.901	0.474	ImmUF	14	7.0	0.881	func/u115.bmp
101.658	0.997	0.55	IniUF	13	4.0	0.855	func/u118.bmp
104.949	0.8	0.52	ImmUF	14	4.0	1.8	func/u118.bmp
107.922	0.955	0.412	DelFF	7	4.0	1.286	func/f120.bmp
131.207	0.94	0.543	IniSF	17	4.0	1.477	func/s124.bmp
134.499	0.913	0.585	DelFF	7	7.0	1.599	func/f115.bmp
137.772	0.967	0.597	IniFF	5	4.0	1.637	func/f124.bmp
140.995	0.937	0.49	ImmFF	6	4.0	0.878	func/f124.bmp
144.202	0.805	0.491	DelFF	7	7.0	1.579	func/f114.bmp
147.293	0.844	0.506	IniSF	17	4.0	1.232	func/s127.bmp
150.416	0.914	0.514	DelFF	7	4.0	1.855	func/f116.bmp
153.641	0.974	0.551	IniSF	17		0.0	func/s118.bmp
156.931	0.807	0.549	ImmSF	18	4.0	1.239	func/s118.bmp
160.021	0.91	0.515	IniFF	5	4.0	1.002	func/f125.bmp
163.178	0.954	0.479	IniUF	13	4.0	1.265	func/u123.bmp
166.502	0.855	0.587	ImmUF	14	4.0	1.031	func/u123.bmp
169.559	0.926	0.428	DelSF	19	4.0	1.455	func/s124.bmp
172.849	0.906	0.59	IniUF	13	4.0	0.967	func/u122.bmp
176.023	0.817	0.497	ImmUF	14	4.0	0.859	func/u122.bmp
179.146	0.853	0.544	IniFF	5	4.0	1.077	func/f122.bmp
182.186	0.914	0.423	ImmFF	6	4.0	0.807	func/f122.bmp
185.41	0.812	0.539	DelSF	19	7.0	1.339	func/s127.bmp
188.5	0.96	0.507	IniFF	5	7.0	1.373	func/f128.bmp
211.702	0.908	0.462	IniUF	13	7.0	2.226	func/u121.bmp
214.909	0.929	0.533	DelFF	7	7.0	1.921	func/f125.bmp
218.116	0.861	0.507	IniFF	5	7.0	1.242	func/f129.bmp
221.306	0.96	0.556	IniSF	17	7.0	1.134	func/s128.bmp
