onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0	0.873	0.468	IniUF	13.0	n/a	func/u105.bmp
0.947	0.0	n/a	btnL	n/a	0.947	n/a
3.124	0.977	0.474	ImmUF	14.0	n/a	func/u105.bmp
3.738	0.0	n/a	btnL	n/a	0.614	n/a
6.548	0.886	0.55	IniFF	5.0	n/a	func/f109.bmp
7.496	0.0	n/a	btnL	n/a	0.948	n/a
9.689	0.813	0.492	ImmFF	6.0	n/a	func/f109.bmp
10.17	0.0	n/a	btnL	n/a	0.481	n/a
12.712	0.984	0.445	IniSF	17.0	n/a	func/s099.bmp
13.345	0.0	n/a	btnR	n/a	0.633	n/a
15.902	0.926	0.439	ImmSF	18.0	n/a	func/s099.bmp
16.36	0.0	n/a	btnR	n/a	0.458	n/a
19.01	0.943	0.417	IniFF	5.0	n/a	func/f102.bmp
19.605	0.0	n/a	btnR	n/a	0.595	n/a
22.166	0.928	0.449	IniFF	5.0	n/a	func/f112.bmp
23.092	0.0	n/a	btnR	n/a	0.926	n/a
25.39	0.833	0.529	ImmFF	6.0	n/a	func/f112.bmp
25.943	0.0	n/a	btnR	n/a	0.553	n/a
48.408	0.927	0.413	IniSF	17.0	n/a	func/s098.bmp
49.933	0.0	n/a	btnR	n/a	1.525	n/a
51.699	0.973	0.598	ImmSF	18.0	n/a	func/s098.bmp
52.678	0.0	n/a	btnR	n/a	0.979	n/a
55.024	0.852	0.569	IniSF	17.0	n/a	func/s109.bmp
55.645	0.0	n/a	btnR	n/a	0.621	n/a
58.063	0.926	0.427	ImmSF	18.0	n/a	func/s109.bmp
58.588	0.0	n/a	btnR	n/a	0.525	n/a
61.237	0.81	0.483	IniSF	17.0	n/a	func/s101.bmp
62.018	0.0	n/a	btnR	n/a	0.781	n/a
64.36	0.935	0.537	ImmSF	18.0	n/a	func/s101.bmp
64.837	0.0	n/a	btnR	n/a	0.477	n/a
67.601	0.848	0.529	IniSF	17.0	n/a	func/s107.bmp
68.333	0.0	n/a	btnL	n/a	0.732	n/a
70.791	0.941	0.57	DelFF	7.0	n/a	func/f102.bmp
71.83	0.0	n/a	btnR	n/a	1.039	n/a
73.998	0.845	0.494	IniUF	13.0	n/a	func/u104.bmp
74.975	0.0	n/a	btnL	n/a	0.977	n/a
77.139	0.819	0.518	IniSF	17.0	n/a	func/s103.bmp
77.934	0.0	n/a	btnL	n/a	0.795	n/a
80.262	0.909	0.544	IniFF	5.0	n/a	func/f113.bmp
81.131	0.0	n/a	btnR	n/a	0.869	n/a
83.57	0.903	0.6	IniUF	13.0	n/a	func/u110.bmp
84.371	0.0	n/a	btnL	n/a	0.801	n/a
86.71	0.944	0.483	ImmUF	14.0	n/a	func/u110.bmp
87.27	0.0	n/a	btnL	n/a	0.56	n/a
89.984	0.89	0.546	IniFF	5.0	n/a	func/f107.bmp
91.107	0.0	n/a	btnR	n/a	1.123	n/a
93.074	0.98	0.421	DelSF	19.0	n/a	func/s107.bmp
93.941	0.0	n/a	btnL	n/a	0.867	n/a
96.298	0.919	0.476	IniSF	17.0	n/a	func/s113.bmp
97.006	0.0	n/a	btnR	n/a	0.708	n/a
99.405	0.877	0.428	DelUF	15.0	n/a	func/u104.bmp
100.075	0.0	n/a	btnR	n/a	0.67	n/a
102.462	0.943	0.415	IniSF	17.0	n/a	func/s102.bmp
103.294	0.0	n/a	btnR	n/a	0.832	n/a
105.719	0.878	0.55	DelSF	19.0	n/a	func/s103.bmp
106.469	0.0	n/a	btnL	n/a	0.75	n/a
128.887	0.857	0.51	IniFF	5.0	n/a	func/f100.bmp
129.683	0.0	n/a	btnL	n/a	0.796	n/a
132.027	0.844	0.507	DelFF	7.0	n/a	func/f113.bmp
132.724	0.0	n/a	btnR	n/a	0.697	n/a
135.068	0.893	0.424	IniUF	13.0	n/a	func/u098.bmp
135.813	0.0	n/a	btnR	n/a	0.745	n/a
138.191	0.966	0.465	IniUF	13.0	n/a	func/u111.bmp
138.961	0.0	n/a	btnL	n/a	0.77	n/a
141.365	0.896	0.446	DelFF	7.0	n/a	func/f107.bmp
142.0	0.0	n/a	btnR	n/a	0.635	n/a
144.472	0.843	0.436	IniSF	17.0	n/a	func/s111.bmp
145.458	0.0	n/a	btnL	n/a	0.986	n/a
147.513	0.878	0.434	ImmSF	18.0	n/a	func/s111.bmp
148.101	0.0	n/a	btnL	n/a	0.588	n/a
150.619	0.86	0.457	DelSF	19.0	n/a	func/s113.bmp
151.231	0.0	n/a	btnR	n/a	0.612	n/a
153.809	0.816	0.554	IniSF	17.0	n/a	func/s100.bmp
154.436	0.0	n/a	btnL	n/a	0.627	n/a
156.966	0.888	0.583	DelSF	19.0	n/a	func/s102.bmp
157.902	0.0	n/a	btnR	n/a	0.936	n/a
160.157	0.819	0.52	IniFF	5.0	n/a	func/f108.bmp
160.841	0.0	n/a	btnR	n/a	0.684	n/a
163.23	0.881	0.494	ImmFF	6.0	n/a	func/f108.bmp
163.844	0.0	n/a	btnR	n/a	0.614	n/a
166.471	0.982	0.586	DelFF	7.0	n/a	func/f100.bmp
167.194	0.0	n/a	btnL	n/a	0.723	n/a
169.678	0.944	0.465	IniSF	17.0	n/a	func/s106.bmp
170.378	0.0	n/a	btnR	n/a	0.7	n/a
172.885	0.84	0.497	ImmSF	18.0	n/a	func/s106.bmp
173.488	0.0	n/a	btnR	n/a	0.603	n/a
176.092	0.915	0.592	DelUF	15.0	n/a	func/u098.bmp
176.81	0.0	n/a	btnR	n/a	0.718	n/a
179.366	0.822	0.563	IniFF	5.0	n/a	func/f106.bmp
180.081	0.0	n/a	btnR	n/a	0.715	n/a
182.523	0.996	0.557	ImmFF	6.0	n/a	func/f106.bmp
183.16	0.0	n/a	btnR	n/a	0.637	n/a
185.864	0.863	0.578	DelUF	15.0	n/a	func/u111.bmp
186.689	0.0	n/a	btnL	n/a	0.825	n/a
189.022	0.815	0.517	IniUF	13.0	n/a	func/u106.bmp
189.927	0.0	n/a	btnR	n/a	0.905	n/a
212.156	0.844	0.546	IniFF	5.0	n/a	func/f099.bmp
213.013	0.0	n/a	btnL	n/a	0.857	n/a
215.313	0.972	0.543	ImmFF	6.0	n/a	func/f099.bmp
215.842	0.0	n/a	btnL	n/a	0.529	n/a
218.553	0.832	0.499	DelSF	19.0	n/a	func/s100.bmp
219.398	0.0	n/a	btnL	n/a	0.845	n/a
221.744	0.912	0.595	IniFF	5.0	n/a	func/f110.bmp
222.485	0.0	n/a	btnR	n/a	0.741	n/a
224.851	0.967	0.427	ImmFF	6.0	n/a	func/f110.bmp
225.279	0.0	n/a	btnR	n/a	0.428	n/a
228.158	0.817	0.577	IniFF	5.0	n/a	func/f101.bmp
228.933	0.0	n/a	btnL	n/a	0.775	n/a
231.248	0.902	0.459	IniFF	5.0	n/a	func/f098.bmp
232.141	0.0	n/a	btnR	n/a	0.893	n/a
234.372	0.939	0.462	ImmFF	6.0	n/a	func/f098.bmp
235.053	0.0	n/a	btnR	n/a	0.681	n/a
237.529	0.854	0.44	IniUF	13.0	n/a	func/u103.bmp
238.395	0.0	n/a	btnL	n/a	0.866	n/a
240.569	0.96	0.409	DelUF	15.0	n/a	func/u106.bmp
241.706	0.0	n/a	btnR	n/a	1.137	n/a
243.726	0.877	0.412	IniUF	13.0	n/a	func/u101.bmp
244.527	0.0	n/a	btnR	n/a	0.801	n/a
246.883	0.922	0.512	IniUF	13.0	n/a	func/u102.bmp
247.792	0.0	n/a	btnR	n/a	0.909	n/a
250.04	0.895	0.456	ImmUF	14.0	n/a	func/u102.bmp
250.744	0.0	n/a	btnR	n/a	0.704	n/a
253.214	0.883	0.507	IniFF	5.0	n/a	func/f105.bmp
254.033	0.0	n/a	btnL	n/a	0.819	n/a
256.287	0.893	0.428	ImmFF	6.0	n/a	func/f105.bmp
257.443	0.0	n/a	btnL	n/a	1.156	n/a
259.494	0.879	0.548	DelFF	7.0	n/a	func/f101.bmp
260.388	0.0	n/a	btnL	n/a	0.894	n/a
262.668	0.945	0.52	IniUF	13.0	n/a	func/u107.bmp
263.572	0.0	n/a	btnL	n/a	0.904	n/a
265.875	0.863	0.491	ImmUF	14.0	n/a	func/u107.bmp
266.448	0.0	n/a	btnL	n/a	0.573	n/a
288.96	0.971	0.436	IniUF	13.0	n/a	func/u100.bmp
289.752	0.0	n/a	btnL	n/a	0.792	n/a
292.15	0.928	0.447	DelUF	15.0	n/a	func/u103.bmp
