onset	duration	trial_type	value	sample	stim_file
23.9682	0.0	IniFF	5	26365	meg/f140.bmp
24.5527	0.0	btnR	4096	27008	n/a
27.1764	0.0	ImmFF	6	29894	meg/f140.bmp
27.5336	0.0	btnR	4096	30287	n/a
30.3836	0.0	IniSF	17	33422	meg/s064.bmp
30.9182	0.0	btnL	256	34010	n/a
33.5409	0.0	ImmSF	18	36895	meg/s064.bmp
33.9027	0.0	btnL	256	37293	n/a
36.7145	0.0	IniSF	17	40386	meg/s092.bmp
37.4064	0.0	btnL	256	41147	n/a
39.8718	0.0	ImmSF	18	43859	meg/s092.bmp
40.2618	0.0	btnL	256	44288	n/a
43.0291	0.0	IniUF	13	47332	meg/u041.bmp
43.6427	0.0	btnR	4096	48007	n/a
46.1864	0.0	ImmUF	14	50805	meg/u041.bmp
46.6136	0.0	btnR	4096	51275	n/a
49.4273	0.0	IniUF	13	54370	meg/u099.bmp
49.9755	0.0	btnR	4096	54973	n/a
52.7018	0.0	IniUF	13	57972	meg/u031.bmp
53.2473	0.0	btnR	4096	58572	n/a
55.8755	0.0	IniFF	5	61463	meg/f071.bmp
56.3991	0.0	btnR	4096	62039	n/a
58.8991	0.0	IniFF	5	64789	meg/f018.bmp
59.3718	0.0	btnR	4096	65309	n/a
62.1564	0.0	ImmFF	6	68372	meg/f018.bmp
62.6373	0.0	btnR	4096	68901	n/a
65.4645	0.0	IniUF	13	72011	meg/u035.bmp
66.1318	0.0	btnL	256	72745	n/a
68.7555	0.0	ImmUF	14	75631	meg/u035.bmp
69.1255	0.0	btnL	256	76038	n/a
71.9791	0.0	IniUF	13	79177	meg/u039.bmp
72.5355	0.0	btnR	4096	79789	n/a
75.27	0.0	DelUF	15	82797	meg/u099.bmp
75.7827	0.0	btnR	4096	83361	n/a
78.5609	0.0	IniSF	17	86417	meg/s013.bmp
79.3491	0.0	btnL	256	87284	n/a
81.7682	0.0	ImmSF	18	89945	meg/s013.bmp
82.3273	0.0	btnR	4096	90560	n/a
85.0591	0.0	DelUF	15	93565	meg/u031.bmp
85.9873	0.0	btnR	4096	94586	n/a
88.1164	0.0	IniFF	5	96928	meg/f079.bmp
88.8582	0.0	btnR	4096	97744	n/a
91.3073	0.0	DelFF	7	100438	meg/f071.bmp
91.8891	0.0	btnR	4096	101078	n/a
94.5145	0.0	IniUF	13	103966	meg/u045.bmp
95.0291	0.0	btnR	4096	104532	n/a
97.6382	0.0	IniSF	17	107402	meg/s112.bmp
98.2073	0.0	btnL	256	108028	n/a
100.8291	0.0	IniUF	13	110912	meg/u087.bmp
101.4618	0.0	btnR	4096	111608	n/a
104.0027	0.0	DelUF	15	114403	meg/u039.bmp
104.5845	0.0	btnR	4096	115043	n/a
107.1273	0.0	IniFF	5	117840	meg/f008.bmp
107.8527	0.0	btnR	4096	118638	n/a
110.3682	0.0	ImmFF	6	121405	meg/f008.bmp
110.7709	0.0	btnR	4096	121848	n/a
113.4918	0.0	IniFF	5	124841	meg/f129.bmp
114.0464	0.0	btnR	4096	125451	n/a
116.7155	0.0	ImmFF	6	128387	meg/f129.bmp
117.1255	0.0	btnR	4096	128838	n/a
119.7891	0.0	DelFF	7	131768	meg/f079.bmp
120.4509	0.0	btnR	4096	132496	n/a
122.9473	0.0	IniFF	5	135242	meg/f088.bmp
123.6536	0.0	btnR	4096	136019	n/a
126.0373	0.0	DelUF	15	138641	meg/u045.bmp
126.6464	0.0	btnR	4096	139311	n/a
129.1782	0.0	IniUF	13	142096	meg/u085.bmp
129.6527	0.0	btnL	256	142618	n/a
132.3355	0.0	DelSF	19	145569	meg/s112.bmp
132.7782	0.0	btnL	256	146056	n/a
135.5091	0.0	IniUF	13	149060	meg/u027.bmp
136.0873	0.0	btnL	256	149696	n/a
138.7327	0.0	DelUF	15	152606	meg/u087.bmp
139.2927	0.0	btnR	4096	153222	n/a
141.9909	0.0	IniFF	5	156190	meg/f050.bmp
142.5655	0.0	btnR	4096	156822	n/a
145.1145	0.0	ImmFF	6	159626	meg/f050.bmp
145.5291	0.0	btnR	4096	160082	n/a
148.2382	0.0	IniUF	13	163062	meg/u129.bmp
148.7845	0.0	btnL	256	163663	n/a
151.5127	0.0	IniSF	17	166664	meg/s117.bmp
152.0182	0.0	btnL	256	167220	n/a
154.6027	0.0	DelFF	7	170063	meg/f088.bmp
155.28	0.0	btnR	4096	170808	n/a
157.7773	0.0	IniFF	5	173555	meg/f021.bmp
158.4491	0.0	btnL	256	174294	n/a
160.9173	0.0	ImmFF	6	177009	meg/f021.bmp
161.2945	0.0	btnL	256	177424	n/a
164.2591	0.0	DelUF	15	180685	meg/u085.bmp
164.8164	0.0	btnL	256	181298	n/a
167.6	0.0	IniUF	13	184360	meg/u088.bmp
168.1618	0.0	btnL	256	184978	n/a
170.6736	0.0	ImmUF	14	187741	meg/u088.bmp
171.0691	0.0	btnL	256	188176	n/a
173.8309	0.0	DelUF	15	191214	meg/u027.bmp
174.3991	0.0	btnL	256	191839	n/a
177.0382	0.0	IniSF	17	194742	meg/s037.bmp
177.5664	0.0	btnL	256	195323	n/a
180.2791	0.0	IniFF	5	198307	meg/f060.bmp
180.8291	0.0	btnL	256	198912	n/a
183.3691	0.0	DelUF	15	201706	meg/u129.bmp
183.8945	0.0	btnL	256	202284	n/a
186.6436	0.0	IniFF	5	205308	meg/f019.bmp
187.2845	0.0	btnR	4096	206013	n/a
189.7673	0.0	ImmFF	6	208744	meg/f019.bmp
190.2009	0.0	btnR	4096	209221	n/a
192.9918	0.0	DelSF	19	212291	meg/s117.bmp
193.4891	0.0	btnL	256	212838	n/a
196.0818	0.0	IniUF	13	215690	meg/u060.bmp
196.6409	0.0	btnR	4096	216305	n/a
199.2564	0.0	IniSF	17	219182	meg/s065.bmp
199.7118	0.0	btnL	256	219683	n/a
202.4464	0.0	ImmSF	18	222691	meg/s065.bmp
202.9518	0.0	btnL	256	223247	n/a
205.7045	0.0	IniSF	17	226275	meg/s136.bmp
206.1318	0.0	btnL	256	226745	n/a
208.9455	0.0	DelSF	19	229840	meg/s037.bmp
209.6255	0.0	btnL	256	230588	n/a
212.1027	0.0	IniFF	5	233313	meg/f094.bmp
212.5927	0.0	btnR	4096	233852	n/a
215.0927	0.0	ImmFF	6	236602	meg/f094.bmp
215.5236	0.0	btnR	4096	237076	n/a
218.0991	0.0	DelFF	7	239909	meg/f060.bmp
218.6	0.0	btnL	256	240460	n/a
221.2236	0.0	IniUF	13	243346	meg/u018.bmp
221.9645	0.0	btnL	256	244161	n/a
224.5145	0.0	ImmUF	14	246966	meg/u018.bmp
224.9473	0.0	btnL	256	247442	n/a
227.7555	0.0	IniSF	17	250531	meg/s034.bmp
228.2836	0.0	btnL	256	251112	n/a
230.7791	0.0	DelUF	15	253857	meg/u060.bmp
231.2473	0.0	btnR	4096	254372	n/a
233.8691	0.0	IniSF	17	257256	meg/s110.bmp
234.3909	0.0	btnL	256	257830	n/a
237.1264	0.0	IniFF	5	260839	meg/f122.bmp
237.9027	0.0	btnR	4096	261693	n/a
240.3009	0.0	DelSF	19	264331	meg/s136.bmp
241.0973	0.0	btnL	256	265207	n/a
243.2909	0.0	IniFF	5	267620	meg/f007.bmp
244.0527	0.0	btnR	4096	268458	n/a
246.6318	0.0	ImmFF	6	271295	meg/f007.bmp
247.3845	0.0	btnR	4096	272123	n/a
249.8227	0.0	IniSF	17	274805	meg/s107.bmp
250.3964	0.0	btnL	256	275436	n/a
252.98	0.0	IniSF	17	278278	meg/s133.bmp
253.9155	0.0	btnR	4096	279307	n/a
256.02	0.0	ImmSF	18	281622	meg/s133.bmp
256.6355	0.0	btnR	4096	282299	n/a
259.0436	0.0	DelSF	19	284948	meg/s034.bmp
259.5527	0.0	btnL	256	285508	n/a
262.0345	0.0	IniFF	5	288238	meg/f069.bmp
262.6555	0.0	btnL	256	288921	n/a
265.1582	0.0	DelSF	19	291674	meg/s110.bmp
265.7	0.0	btnL	256	292270	n/a
268.2145	0.0	IniFF	5	295036	meg/f142.bmp
268.7955	0.0	btnR	4096	295675	n/a
271.4391	0.0	DelFF	7	298583	meg/f122.bmp
271.9991	0.0	btnR	4096	299199	n/a
274.6464	0.0	IniFF	5	302111	meg/f058.bmp
275.2127	0.0	btnR	4096	302734	n/a
277.8373	0.0	ImmFF	6	305621	meg/f058.bmp
278.8455	0.0	btnR	4096	306730	n/a
280.8945	0.0	IniFF	5	308984	meg/f144.bmp
281.6927	0.0	btnR	4096	309862	n/a
284.1518	0.0	ImmFF	6	312567	meg/f144.bmp
284.5636	0.0	btnR	4096	313020	n/a
287.2927	0.0	DelSF	19	316022	meg/s107.bmp
287.8945	0.0	btnL	256	316684	n/a
290.3827	0.0	IniFF	5	319421	meg/f056.bmp
291.1791	0.0	btnR	4096	320297	n/a
293.54	0.0	ImmFF	6	322894	meg/f056.bmp
293.9727	0.0	btnR	4096	323370	n/a
296.6309	0.0	IniUF	13	326294	meg/u123.bmp
297.1318	0.0	btnL	256	326845	n/a
299.8382	0.0	DelFF	7	329822	meg/f069.bmp
300.3682	0.0	btnR	4096	330405	n/a
302.9118	0.0	IniUF	13	333203	meg/u081.bmp
303.4582	0.0	btnL	256	333804	n/a
306.0691	0.0	ImmUF	14	336676	meg/u081.bmp
