onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.994	0.485	IniFF	5	n/a	func/f005.bmp
1.1790	0.0	n/a	btnR	n/a	1.179	n/a
3.2070	0.898	0.448	ImmFF	6	n/a	func/f005.bmp
4.0410	0.0	n/a	btnR	n/a	0.834	n/a
6.5980	0.918	0.593	IniSF	17	n/a	func/s013.bmp
7.7000	0.0	n/a	btnL	n/a	1.102	n/a
9.7710	0.802	0.487	ImmSF	18	n/a	func/s013.bmp
10.8540	0.0	n/a	btnL	n/a	1.083	n/a
12.8450	0.83	0.511	IniFF	5	n/a	func/f012.bmp
13.7980	0.0	n/a	btnR	n/a	0.953	n/a
15.9850	0.892	0.545	IniFF	5	n/a	func/f016.bmp
16.7620	0.0	n/a	btnL	n/a	0.777	n/a
19.1420	0.958	0.462	IniFF	5	n/a	func/f007.bmp
19.9770	0.0	n/a	btnL	n/a	0.835	n/a
22.3320	0.978	0.417	IniFF	5	n/a	func/f001.bmp
23.2300	0.0	n/a	btnR	n/a	0.898	n/a
25.6560	0.919	0.544	IniUF	13	n/a	func/u006.bmp
26.6530	0.0	n/a	btnL	n/a	0.997	n/a
48.8080	0.963	0.467	IniUF	13	n/a	func/u010.bmp
49.6760	0.0	n/a	btnR	n/a	0.868	n/a
52.0980	0.965	0.555	ImmUF	14	n/a	func/u010.bmp
53.0670	0.0	n/a	btnL	n/a	0.969	n/a
55.2720	0.892	0.449	DelFF	7	n/a	func/f012.bmp
56.2260	0.0	n/a	btnL	n/a	0.954	n/a
58.5290	0.943	0.598	IniFF	5	n/a	func/f013.bmp
59.3940	0.0	n/a	btnL	n/a	0.865	n/a
61.8360	0.92	0.598	DelFF	7	n/a	func/f016.bmp
62.6840	0.0	n/a	btnR	n/a	0.848	n/a
64.9430	0.846	0.406	IniUF	13	n/a	func/u001.bmp
65.6160	0.0	n/a	btnL	n/a	0.673	n/a
68.1170	0.868	0.563	ImmUF	14	n/a	func/u001.bmp
68.8530	0.0	n/a	btnL	n/a	0.736	n/a
71.3240	0.982	0.583	DelFF	7	n/a	func/f007.bmp
