onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.985	0.575	IniUF	13	7	1.251	func/u019.bmp
3.274	0.839	0.528	IniUF	13	4	0.932	func/u020.bmp
6.464	0.963	0.476	ImmUF	14	4	1.002	func/u020.bmp
9.638	0.897	0.441	IniUF	13	7	1.112	func/u032.bmp
12.728	0.827	0.418	ImmUF	14	7	0.779	func/u032.bmp
15.818	0.89	0.487	IniUF	13	7	1.064	func/u018.bmp
18.893	0.884	0.418	ImmUF	14	7	0.579	func/u018.bmp
22.099	0.828	0.567	IniFF	5	4	1.042	func/f030.bmp
25.222	0.817	0.522	IniSF	17	4	1.003	func/s018.bmp
28.279	0.998	0.472	ImmSF	18	4	0.773	func/s018.bmp
31.453	0.813	0.405	DelUF	15	7	0.93	func/u019.bmp
54.47	0.957	0.43	IniSF	17	7	1.072	func/s030.bmp
57.761	0.903	0.558	ImmSF	18	7	0.64	func/s030.bmp
61.002	0.883	0.553	IniUF	13	4	1.063	func/u023.bmp
64.175	0.943	0.524	IniFF	5	4	1.126	func/f023.bmp
67.332	0.982	0.443	IniSF	17	7	1.076	func/s031.bmp
70.64	0.844	0.555	ImmSF	18	7	1.202	func/s031.bmp
73.746	0.929	0.5	DelFF	7	7	1.115	func/f030.bmp
76.92	0.89	0.472	IniUF	13	7	1.035	func/u017.bmp
80.077	0.96	0.487	IniSF	17	4	1.035	func/s019.bmp
83.334	0.852	0.527	IniUF	13	7	0.887	func/u025.bmp
86.541	0.918	0.589	DelUF	15	4	0.953	func/u023.bmp
89.698	0.906	0.469	IniSF	17	7	0.982	func/s032.bmp
92.839	0.815	0.455	ImmSF	18	7	0.716	func/s032.bmp
95.845	0.926	0.431	DelFF	7	7	1.067	func/f023.bmp
98.952	0.962	0.404	IniSF	17	4	1.099	func/s020.bmp
102.126	0.883	0.435	ImmSF	18	4	0.972	func/s020.bmp
105.316	0.938	0.545	IniUF	13	4	0.943	func/u030.bmp
108.574	0.908	0.538	DelUF	15	7	0.708	func/u017.bmp
131.725	0.855	0.463	IniUF	13	7	0.852	func/u031.bmp
134.815	0.93	0.461	DelSF	19	4	0.879	func/s019.bmp
137.989	0.862	0.479	IniSF	17	7	0.829	func/s025.bmp
141.046	0.869	0.427	ImmSF	18	7	0.79	func/s025.bmp
144.119	0.894	0.448	DelUF	15	7	0.807	func/u025.bmp
147.192	0.877	0.403	IniFF	5	4	1.149	func/f027.bmp
150.416	0.831	0.577	IniFF	5	4	1.091	func/f032.bmp
153.59	0.95	0.577	ImmFF	6	4	0.881	func/f032.bmp
156.797	0.863	0.492	IniUF	13	7	0.831	func/u026.bmp
159.854	0.937	0.428	ImmUF	14	7	0.752	func/u026.bmp
163.161	0.974	0.596	DelUF	15	4	0.809	func/u030.bmp
166.335	0.805	0.428	IniFF	5	7	0.911	func/f031.bmp
169.458	0.891	0.536	DelUF	15	7	0.818	func/u031.bmp
172.699	0.842	0.582	IniUF	13	7	1.391	func/u022.bmp
175.806	0.822	0.496	IniFF	5	4	0.93	func/f026.bmp
