onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.806	0.539	IniUF	13	n/a	func/u036.bmp
1.0700	0.0	n/a	btnL	n/a	1.07	n/a
3.1740	0.989	0.592	ImmUF	14	n/a	func/u036.bmp
4.0650	0.0	n/a	btnL	n/a	0.891	n/a
6.5810	0.953	0.536	IniUF	13	n/a	func/u043.bmp
7.4560	0.0	n/a	btnR	n/a	0.875	n/a
9.8220	0.894	0.532	ImmUF	14	n/a	func/u043.bmp
10.7130	0.0	n/a	btnR	n/a	0.891	n/a
12.8950	0.949	0.416	IniFF	5	n/a	func/f044.bmp
13.9930	0.0	n/a	btnL	n/a	1.098	n/a
16.0860	0.943	0.469	IniFF	5	n/a	func/f035.bmp
17.0710	0.0	n/a	btnR	n/a	0.985	n/a
19.3600	0.992	0.567	IniUF	13	n/a	func/u044.bmp
20.3540	0.0	n/a	btnR	n/a	0.994	n/a
22.5670	0.835	0.445	ImmUF	14	n/a	func/u044.bmp
23.2180	0.0	n/a	btnR	n/a	0.651	n/a
25.6730	0.822	0.508	IniFF	5	n/a	func/f046.bmp
26.4110	0.0	n/a	btnR	n/a	0.738	n/a
28.8140	0.96	0.545	ImmFF	6	n/a	func/f046.bmp
29.4320	0.0	n/a	btnR	n/a	0.618	n/a
52.0150	0.824	0.456	IniFF	5	n/a	func/f040.bmp
53.0730	0.0	n/a	btnR	n/a	1.058	n/a
55.1050	0.909	0.494	IniUF	13	n/a	func/u034.bmp
56.1050	0.0	n/a	btnR	n/a	1.0	n/a
58.2790	0.895	0.494	DelFF	7	n/a	func/f044.bmp
59.2210	0.0	n/a	btnL	n/a	0.942	n/a
61.4530	0.94	0.505	IniSF	17	n/a	func/s040.bmp
62.5410	0.0	n/a	btnR	n/a	1.088	n/a
64.5940	0.991	0.434	DelFF	7	n/a	func/f035.bmp
65.2500	0.0	n/a	btnR	n/a	0.656	n/a
67.9500	0.91	0.589	IniUF	13	n/a	func/u048.bmp
68.9990	0.0	n/a	btnR	n/a	1.049	n/a
71.1070	0.981	0.483	ImmUF	14	n/a	func/u048.bmp
72.0110	0.0	n/a	btnR	n/a	0.904	n/a
74.3650	0.801	0.503	IniUF	13	n/a	func/u042.bmp
75.1410	0.0	n/a	btnR	n/a	0.776	n/a
77.4220	0.961	0.501	IniSF	17	n/a	func/s038.bmp
78.3850	0.0	n/a	btnR	n/a	0.963	n/a
80.5630	0.941	0.418	DelFF	7	n/a	func/f040.bmp
81.7320	0.0	n/a	btnL	n/a	1.169	n/a
83.7520	0.832	0.47	IniSF	17	n/a	func/s033.bmp
84.7100	0.0	n/a	btnL	n/a	0.958	n/a
86.8090	0.919	0.467	DelUF	15	n/a	func/u034.bmp
87.6100	0.0	n/a	btnR	n/a	0.801	n/a
89.8990	0.875	0.402	IniSF	17	n/a	func/s035.bmp
90.6850	0.0	n/a	btnL	n/a	0.786	n/a
93.1060	0.845	0.565	ImmSF	18	n/a	func/s035.bmp
94.1270	0.0	n/a	btnL	n/a	1.021	n/a
96.2800	0.996	0.567	DelSF	19	n/a	func/s040.bmp
97.2150	0.0	n/a	btnL	n/a	0.935	n/a
99.5370	0.952	0.49	IniSF	17	n/a	func/s047.bmp
100.2580	0.0	n/a	btnR	n/a	0.721	n/a
102.7440	0.821	0.495	ImmSF	18	n/a	func/s047.bmp
103.2870	0.0	n/a	btnR	n/a	0.543	n/a
105.8010	0.891	0.465	IniUF	13	n/a	func/u040.bmp
106.9380	0.0	n/a	btnL	n/a	1.137	n/a
108.8910	0.855	0.43	ImmUF	14	n/a	func/u040.bmp
109.9950	0.0	n/a	btnL	n/a	1.104	n/a
112.0820	0.999	0.567	DelUF	15	n/a	func/u042.bmp
112.9940	0.0	n/a	btnL	n/a	0.912	n/a
