onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.906	0.404	IniSF	17		0.0	func/s056.bmp
3.14	0.801	0.454	IniFF	5	7.0	0.781	func/f059.bmp
6.214	0.963	0.402	ImmFF	6	7.0	0.742	func/f059.bmp
9.521	0.963	0.58	IniUF	13	7.0	0.636	func/u064.bmp
12.795	0.869	0.548	ImmUF	14	7.0	0.52	func/u064.bmp
15.935	0.89	0.516	IniFF	5	4.0	1.042	func/f058.bmp
19.026	0.914	0.424	IniSF	17	4.0	0.734	func/s059.bmp
22.132	0.835	0.426	IniFF	5	7.0	0.771	func/f057.bmp
25.239	0.951	0.508	DelSF	19	4.0	0.88	func/s056.bmp
48.491	0.922	0.527	IniSF	17	4.0	1.105	func/s050.bmp
51.682	0.806	0.494	ImmSF	18	4.0	0.936	func/s050.bmp
54.805	0.852	0.54	IniSF	17	4.0	1.634	func/s054.bmp
57.962	0.995	0.539	IniFF	5	4.0	1.518	func/f055.bmp
61.236	0.836	0.517	DelFF	7	4.0	0.784	func/f058.bmp
64.243	0.818	0.417	IniSF	17	7.0	1.235	func/s052.bmp
67.35	0.841	0.519	DelSF	19	4.0	1.504	func/s059.bmp
70.44	0.997	0.482	IniSF	17	4.0	1.137	func/s062.bmp
73.68	0.831	0.477	ImmSF	18	4.0	0.72	func/s062.bmp
76.771	0.869	0.491	DelFF	7	7.0	0.68	func/f057.bmp
79.928	0.957	0.519	IniUF	13	4.0	1.096	func/u061.bmp
83.185	0.844	0.527	ImmUF	14	4.0	0.786	func/u061.bmp
86.225	0.801	0.426	IniUF	13	4.0	1.349	func/u054.bmp
89.315	0.918	0.518	ImmUF	14	4.0	0.756	func/u054.bmp
92.422	0.895	0.418	DelSF	19	4.0	0.844	func/s054.bmp
95.679	0.837	0.593	IniUF	13	4.0	1.654	func/u058.bmp
98.786	0.918	0.495	DelFF	7	4.0	1.156	func/f055.bmp
101.877	0.828	0.404	IniSF	17	4.0	1.574	func/s060.bmp
105.05	0.8	0.575	ImmSF	18	7.0	0.996	func/s060.bmp
108.057	0.899	0.446	DelSF	19	4.0	0.886	func/s052.bmp
131.158	0.891	0.432	IniUF	13	4.0	0.83	func/u056.bmp
134.265	0.856	0.442	ImmUF	14	4.0	0.693	func/u056.bmp
137.305	0.948	0.405	IniFF	5	4.0	0.81	func/f056.bmp
140.596	0.942	0.571	ImmFF	6	4.0	0.817	func/f056.bmp
143.903	0.87	0.597	IniUF	13	4.0	1.374	func/u055.bmp
147.144	0.932	0.589	IniUF	13	4.0	0.789	func/u062.bmp
150.384	0.864	0.55	ImmUF	14	4.0	0.769	func/u062.bmp
153.542	0.975	0.52	DelUF	15	4.0	0.876	func/u058.bmp
156.849	0.998	0.557	IniFF	5	4.0	1.369	func/f050.bmp
160.089	0.904	0.474	ImmFF	6	4.0	0.936	func/f050.bmp
163.213	0.96	0.447	IniFF	5	7.0	0.869	func/f054.bmp
166.437	0.887	0.499	ImmFF	6	7.0	0.432	func/f054.bmp
169.661	0.818	0.566	IniFF	5	7.0	0.676	func/f062.bmp
172.718	0.965	0.473	IniSF	17	4.0	1.912	func/s064.bmp
175.875	0.83	0.423	ImmSF	18	7.0	1.697	func/s064.bmp
179.015	0.961	0.539	DelUF	15	4.0	1.359	func/u055.bmp
182.306	0.873	0.557	IniFF	5	4.0	1.467	func/f049.bmp
185.446	0.885	0.488	ImmFF	6	4.0	1.247	func/f049.bmp
188.586	0.858	0.494	IniSF	17	4.0	1.603	func/s058.bmp
211.721	0.922	0.495	IniSF	17	4.0	1.356	func/s049.bmp
214.845	0.906	0.424	IniUF	13	4.0	1.306	func/u057.bmp
217.985	0.819	0.464	DelFF	7	4.0	1.603	func/f062.bmp
221.075	0.855	0.515	IniUF	13	7.0	1.145	func/u053.bmp
224.199	0.935	0.5	IniUF	13	4.0	1.33	func/u063.bmp
227.473	0.981	0.583	IniUF	13	4.0	1.838	func/u050.bmp
230.83	0.81	0.557	ImmUF	14	4.0	0.852	func/u050.bmp
233.854	0.92	0.448	DelSF	19	4.0	0.907	func/s058.bmp
237.027	0.817	0.487	IniFF	5	7.0	1.123	func/f051.bmp
240.168	0.863	0.565	ImmFF	6	7.0	0.877	func/f051.bmp
243.341	0.932	0.538	DelSF	19		0.0	func/s049.bmp
246.565	0.872	0.523	IniFF	5	7.0	0.77	func/f053.bmp
249.639	0.896	0.419	DelUF	15	4.0	0.935	func/u057.bmp
252.712	0.837	0.407	IniUF	13	4.0	1.02	func/u059.bmp
255.819	0.837	0.5	ImmUF	14	4.0	0.988	func/u059.bmp
258.993	0.853	0.554	DelUF	15	7.0	0.805	func/u053.bmp
262.05	0.85	0.429	IniFF	5	7.0	1.85	func/f061.bmp
265.24	0.871	0.582	ImmFF	6	7.0	0.939	func/f061.bmp
268.297	0.958	0.413	DelUF	15	4.0	0.852	func/u063.bmp
291.632	0.838	0.597	IniFF	5	7.0	1.674	func/f063.bmp
294.756	0.834	0.506	IniFF	5	7.0	1.812	func/f064.bmp
297.863	0.999	0.506	IniSF	17	4.0	1.436	func/s053.bmp
301.12	0.937	0.491	DelFF	7	7.0	0.792	func/f053.bmp
304.36	0.933	0.529	IniFF	5	4.0	1.781	func/f060.bmp
307.501	0.818	0.436	IniUF	13	4.0	1.801	func/u060.bmp
310.675	0.94	0.588	IniFF	5	7.0	1.094	func/f052.bmp
313.982	0.885	0.594	ImmFF	6	7.0	0.989	func/f052.bmp
317.105	0.819	0.48	DelFF	7	7.0	0.988	func/f063.bmp
320.095	0.966	0.413	IniUF	13	4.0	0.957	func/u049.bmp
323.403	0.975	0.583	DelFF	7	7.0	0.786	func/f064.bmp
326.66	0.822	0.515	IniSF	17	4.0	1.042	func/s055.bmp
329.667	0.98	0.412	DelSF	19	4.0	1.104	func/s053.bmp
333.008	0.951	0.593	IniUF	13	4.0	1.285	func/u052.bmp
336.131	0.921	0.413	ImmUF	14	4.0	1.262	func/u052.bmp
339.405	0.9	0.582	DelFF	7	7.0	1.608	func/f060.bmp
342.562	0.871	0.493	IniUF	13	4.0	0.88	func/u051.bmp
345.702	0.982	0.496	ImmUF	14	4.0	0.812	func/u051.bmp
348.926	0.977	0.483	DelUF	15	7.0	1.103	func/u060.bmp
372.195	0.989	0.502	IniSF	17	7.0	1.211	func/s051.bmp
375.419	0.922	0.453	IniSF	17	4.0	1.053	func/s057.bmp
378.626	0.993	0.507	ImmSF	18	4.0	0.673	func/s057.bmp
381.933	0.83	0.545	DelUF	15	4.0	0.966	func/u049.bmp
385.107	0.97	0.577	IniSF	17	4.0	1.056	func/s061.bmp
388.414	0.873	0.558	ImmSF	18	4.0	0.711	func/s061.bmp
391.621	0.902	0.561	DelSF	19	4.0	0.789	func/s055.bmp
394.728	0.955	0.436	IniSF	17	4.0	0.851	func/s063.bmp
398.052	0.902	0.593	ImmSF	18	4.0	0.643	func/s063.bmp
