onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.964	0.5	IniSF	17	7	0.89	func/s022.bmp
3.141	0.983	0.41	ImmSF	18	7	0.681	func/s022.bmp
6.548	0.932	0.558	IniUF	13	7	0.802	func/u024.bmp
9.705	0.85	0.453	IniSF	17	4	0.924	func/s021.bmp
12.813	0.929	0.501	IniFF	5	4	1.193	func/f018.bmp
16.069	0.803	0.56	IniFF	5	7	0.856	func/f029.bmp
19.109	0.952	0.466	IniFF	5	7	1.153	func/f023.bmp
22.233	0.958	0.404	ImmFF	6	7	0.801	func/f023.bmp
25.44	0.929	0.478	IniUF	13	4	1.312	func/u021.bmp
28.681	0.852	0.551	DelUF	15	7	0.71	func/u024.bmp
51.832	0.932	0.526	IniFF	5	7	2.422	func/f031.bmp
55.072	0.811	0.538	DelSF	19	4	1.387	func/s021.bmp
58.129	0.851	0.477	IniUF	13	4	1.428	func/u018.bmp
61.169	0.936	0.419	ImmUF	14	4	0.652	func/u018.bmp
64.443	0.977	0.579	DelFF	7	4	0.945	func/f018.bmp
67.717	0.839	0.52	IniSF	17	7	1.627	func/s032.bmp
70.807	0.852	0.473	ImmSF	18	7	1.087	func/s032.bmp
73.948	0.811	0.522	DelFF	7	7	1.611	func/f029.bmp
76.989	0.821	0.468	IniFF	5	4	1.058	func/f030.bmp
80.028	0.824	0.448	ImmFF	6	4	0.69	func/f030.bmp
83.085	0.922	0.466	IniFF	5	4	1.182	func/f021.bmp
86.225	0.832	0.443	ImmFF	6	4	0.876	func/f021.bmp
89.415	0.929	0.586	DelUF	15	7	1.212	func/u021.bmp
92.673	0.835	0.552	IniSF	17	7	0.974	func/s027.bmp
95.763	0.955	0.495	DelFF	7	4	1.12	func/f031.bmp
99.02	0.877	0.533	IniSF	17	7	1.467	func/s018.bmp
102.26	0.992	0.596	ImmSF	18	7	0.755	func/s018.bmp
105.451	0.818	0.42	IniSF	17	4	1.009	func/s025.bmp
128.535	0.822	0.499	IniSF	17	4	1.597	func/s023.bmp
131.592	0.981	0.464	ImmSF	18	4	0.944	func/s023.bmp
134.883	0.914	0.536	IniUF	13	7	1.343	func/u025.bmp
138.107	0.865	0.54	IniFF	5	4	1.2	func/f017.bmp
141.297	0.888	0.561	DelSF	19	4	1.288	func/s027.bmp
144.504	0.819	0.54	IniFF	5	4	1.217	func/f019.bmp
147.511	0.992	0.419	IniUF	13	7	0.822	func/u028.bmp
150.802	0.907	0.529	ImmUF	14	7	0.641	func/u028.bmp
154.059	0.937	0.569	DelSF	19	4	1.144	func/s025.bmp
157.283	0.896	0.519	IniFF	5	4	1.997	func/f024.bmp
160.49	0.966	0.543	ImmFF	6	4	1.629	func/f024.bmp
163.713	0.853	0.49	IniSF	17	4	1.321	func/s020.bmp
166.77	0.854	0.435	ImmSF	18	4	0.925	func/s020.bmp
169.827	0.998	0.42	DelUF	15	4	2.408	func/u025.bmp
173.001	0.855	0.404	IniSF	17	7	0.938	func/s019.bmp
176.159	0.854	0.535	ImmSF	18	7	0.64	func/s019.bmp
179.349	0.992	0.568	DelFF	7	4	0.952	func/f017.bmp
182.672	0.977	0.566	IniUF	13	7	0.946	func/u032.bmp
185.929	0.933	0.516	DelFF	7	4	1.11	func/f019.bmp
189.036	0.982	0.41	IniSF	17	7	1.679	func/s029.bmp
212.255	0.954	0.466	IniSF	17	7	0.959	func/s024.bmp
215.562	0.869	0.574	ImmSF	18	7	0.738	func/s024.bmp
218.635	0.983	0.441	IniFF	5	7	1.557	func/f028.bmp
221.876	0.876	0.487	ImmFF	6	7	1.013	func/f028.bmp
225.033	0.897	0.509	IniFF	5	7	1.282	func/f026.bmp
228.257	0.975	0.552	IniUF	13	7	1.204	func/u017.bmp
231.481	0.883	0.414	DelUF	15	7	0.923	func/u032.bmp
