onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.979	0.465	IniSF	17	7	1.588	func/s011.bmp
3.174	0.878	0.429	ImmSF	18	7	1.34	func/s011.bmp
6.448	0.979	0.533	IniFF	5	4	1.201	func/f008.bmp
9.772	0.902	0.575	IniFF	5	4	1.331	func/f006.bmp
12.913	0.834	0.484	IniUF	13	7	0.914	func/u013.bmp
16.036	0.864	0.525	IniFF	5	4	1.184	func/f005.bmp
19.226	0.812	0.561	IniFF	5	4	0.89	func/f014.bmp
22.216	0.974	0.401	ImmFF	6	4	0.707	func/f014.bmp
25.39	0.827	0.419	IniFF	5	4	0.814	func/f007.bmp
28.564	0.84	0.571	DelFF	7	4	1.064	func/f008.bmp
51.732	0.815	0.55	IniSF	17	7	1.083	func/s001.bmp
54.789	0.887	0.477	ImmSF	18	7	0.795	func/s001.bmp
57.946	0.872	0.494	DelFF	7	4	1.174	func/f006.bmp
61.103	0.824	0.507	IniFF	5	7	1.256	func/f010.bmp
64.243	0.935	0.543	ImmFF	6	7	0.969	func/f010.bmp
67.4	0.885	0.459	DelUF	15	4	1.264	func/u013.bmp
70.624	0.887	0.577	IniFF	5	7	1.516	func/f011.bmp
73.864	0.896	0.576	ImmFF	6	4	1.29	func/f011.bmp
76.988	0.885	0.466	DelFF	7	4	0.822	func/f005.bmp
80.212	0.859	0.572	IniUF	13	7	1.156	func/u005.bmp
83.402	0.961	0.563	IniFF	5	4	0.921	func/f004.bmp
86.693	0.979	0.561	ImmFF	6	4	0.815	func/f004.bmp
89.883	0.946	0.438	DelFF	7	4	1.545	func/f007.bmp
93.008	0.914	0.418	IniSF	17	7	1.141	func/s004.bmp
96.13	0.959	0.448	IniSF	17	7	0.812	func/s010.bmp
99.388	0.988	0.519	ImmSF	18	7	0.866	func/s010.bmp
102.595	0.929	0.438	IniFF	5	7	0.935	func/f001.bmp
105.718	0.844	0.431	IniUF	13	7	0.917	func/u002.bmp
108.875	0.915	0.536	ImmUF	14	7	1.398	func/u002.bmp
111.982	0.909	0.429	DelUF	15	7	1.083	func/u005.bmp
135.15	0.94	0.481	IniUF	13	7	1.115	func/u007.bmp
138.374	0.945	0.505	IniFF	5	7	1.007	func/f016.bmp
141.581	0.935	0.49	ImmFF	6	7	0.903	func/f016.bmp
144.872	0.941	0.589	DelSF	19	7	1.468	func/s004.bmp
148.062	0.818	0.474	IniFF	5	7	1.423	func/f015.bmp
151.186	0.984	0.544	ImmFF	6	7	0.89	func/f015.bmp
154.493	0.805	0.564	IniSF	17	7	0.913	func/s015.bmp
157.534	0.876	0.467	ImmSF	18	7	0.82	func/s015.bmp
160.64	0.955	0.458	DelFF	7	7	1.294	func/f001.bmp
163.948	0.952	0.582	IniSF	17	7	1.046	func/s002.bmp
167.155	0.901	0.495	ImmSF	18	7	1.093	func/s002.bmp
170.395	0.954	0.573	IniFF	5	7	1.339	func/f003.bmp
173.703	0.905	0.583	ImmFF	6	7	1.045	func/f003.bmp
176.793	0.85	0.402	DelUF	15	7	1.004	func/u007.bmp
179.916	0.888	0.514	IniUF	13	7	1.228	func/u012.bmp
183.04	0.977	0.461	IniSF	17	4	0.935	func/s006.bmp
186.381	0.911	0.587	IniUF	13	7	1.108	func/u015.bmp
189.622	0.959	0.568	ImmUF	14	7	1.054	func/u015.bmp
212.923	0.883	0.558	IniSF	17	4	1.27	func/s007.bmp
216.063	0.855	0.496	IniSF	17	7	1.024	func/s003.bmp
219.154	0.902	0.467	IniUF	13	4	1.235	func/u010.bmp
222.31	0.943	0.492	ImmUF	14	4	0.838	func/u010.bmp
225.518	0.891	0.501	DelUF	15	7	1.051	func/u012.bmp
228.641	0.847	0.408	IniUF	13	7	1.135	func/u004.bmp
231.731	0.888	0.477	DelSF	19	7	1.211	func/s006.bmp
234.888	0.954	0.492	IniUF	13	7	0.913	func/u014.bmp
238.129	0.923	0.517	ImmUF	14	7	0.81	func/u014.bmp
