onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	0.801	0.524	IniUF	13	n/a	func/u044.bmp
0.7620	0.0	n/a	btnL	n/a	0.762	n/a
3.1570	0.865	0.568	IniSF	17	n/a	func/s047.bmp
4.3570	0.0	n/a	btnR	n/a	1.2	n/a
6.4480	0.989	0.564	ImmSF	18	n/a	func/s047.bmp
7.4370	0.0	n/a	btnR	n/a	0.989	n/a
9.6720	0.968	0.455	IniFF	5	n/a	func/f037.bmp
10.5740	0.0	n/a	btnL	n/a	0.902	n/a
12.8450	0.917	0.436	ImmFF	6	n/a	func/f037.bmp
13.6660	0.0	n/a	btnL	n/a	0.821	n/a
16.0860	0.883	0.555	IniUF	13	n/a	func/u039.bmp
16.8750	0.0	n/a	btnL	n/a	0.789	n/a
19.2930	0.812	0.562	ImmUF	14	n/a	func/u039.bmp
20.0280	0.0	n/a	btnL	n/a	0.735	n/a
22.3660	0.91	0.485	IniUF	13	n/a	func/u043.bmp
23.1700	0.0	n/a	btnL	n/a	0.804	n/a
25.5900	0.945	0.544	ImmUF	14	n/a	func/u043.bmp
26.3190	0.0	n/a	btnL	n/a	0.729	n/a
48.8080	0.887	0.467	IniSF	17	n/a	func/s034.bmp
50.0930	0.0	n/a	btnR	n/a	1.285	n/a
52.0490	0.872	0.574	ImmSF	18	n/a	func/s034.bmp
52.8360	0.0	n/a	btnR	n/a	0.787	n/a
55.1390	0.984	0.443	DelUF	15	n/a	func/u044.bmp
55.9240	0.0	n/a	btnL	n/a	0.785	n/a
58.3630	0.936	0.467	IniFF	5	n/a	func/f041.bmp
59.5750	0.0	n/a	btnR	n/a	1.212	n/a
61.5030	0.94	0.436	ImmFF	6	n/a	func/f041.bmp
62.4020	0.0	n/a	btnR	n/a	0.899	n/a
64.6940	0.835	0.484	IniFF	5	n/a	func/f036.bmp
65.5370	0.0	n/a	btnL	n/a	0.843	n/a
67.8170	0.978	0.508	IniFF	5	n/a	func/f040.bmp
68.7230	0.0	n/a	btnR	n/a	0.906	n/a
71.0080	0.948	0.436	IniFF	5	n/a	func/f038.bmp
71.8660	0.0	n/a	btnL	n/a	0.858	n/a
74.2980	0.953	0.55	IniSF	17	n/a	func/s041.bmp
75.3960	0.0	n/a	btnR	n/a	1.098	n/a
77.5720	0.84	0.56	IniUF	13	n/a	func/u033.bmp
78.4650	0.0	n/a	btnL	n/a	0.893	n/a
80.7290	0.904	0.543	IniUF	13	n/a	func/u042.bmp
81.5620	0.0	n/a	btnL	n/a	0.833	n/a
83.9530	0.805	0.544	ImmUF	14	n/a	func/u042.bmp
84.8460	0.0	n/a	btnL	n/a	0.893	n/a
87.1100	0.81	0.581	DelFF	7	n/a	func/f036.bmp
87.9620	0.0	n/a	btnL	n/a	0.852	n/a
90.2500	0.922	0.527	IniSF	17	n/a	func/s039.bmp
91.2700	0.0	n/a	btnR	n/a	1.02	n/a
93.5070	0.876	0.557	ImmSF	18	n/a	func/s039.bmp
94.5470	0.0	n/a	btnR	n/a	1.04	n/a
96.6640	0.802	0.513	DelFF	7	n/a	func/f040.bmp
97.5210	0.0	n/a	btnR	n/a	0.857	n/a
99.7380	0.993	0.515	IniUF	13	n/a	func/u047.bmp
100.6130	0.0	n/a	btnL	n/a	0.875	n/a
102.9960	0.97	0.501	DelFF	7	n/a	func/f038.bmp
103.8130	0.0	n/a	btnL	n/a	0.817	n/a
106.2520	0.816	0.511	IniUF	13	n/a	func/u041.bmp
107.0670	0.0	n/a	btnL	n/a	0.815	n/a
109.3590	0.926	0.521	DelSF	19	n/a	func/s041.bmp
110.2780	0.0	n/a	btnR	n/a	0.919	n/a
132.6610	0.957	0.596	IniSF	17	n/a	func/s033.bmp
133.7720	0.0	n/a	btnR	n/a	1.111	n/a
135.8010	0.836	0.405	DelUF	15	n/a	func/u033.bmp
137.1390	0.0	n/a	btnR	n/a	1.338	n/a
139.0080	0.946	0.584	IniSF	17	n/a	func/s040.bmp
140.0440	0.0	n/a	btnR	n/a	1.036	n/a
142.1650	0.971	0.441	IniUF	13	n/a	func/u046.bmp
142.9720	0.0	n/a	btnL	n/a	0.807	n/a
145.4060	0.824	0.499	ImmUF	14	n/a	func/u046.bmp
146.1250	0.0	n/a	btnL	n/a	0.719	n/a
148.5460	0.945	0.548	IniFF	5	n/a	func/f043.bmp
149.4970	0.0	n/a	btnR	n/a	0.951	n/a
