onset	duration	circle_duration	trial_type	trigger	response_time	stim_file
0.0000	1.0	0.536	IniSF	17	n/a	func/s059.bmp
1.0360	0.0	n/a	btnR	n/a	1.036	n/a
3.3240	0.968	0.564	IniSF	17	n/a	func/s057.bmp
3.9480	0.0	n/a	btnR	n/a	0.624	n/a
6.6310	0.922	0.479	ImmSF	18	n/a	func/s057.bmp
7.3880	0.0	n/a	btnR	n/a	0.757	n/a
9.7720	0.994	0.443	IniFF	5	n/a	func/f058.bmp
10.5300	0.0	n/a	btnR	n/a	0.758	n/a
12.9450	0.962	0.41	ImmFF	6	n/a	func/f058.bmp
13.6350	0.0	n/a	btnR	n/a	0.69	n/a
16.1530	0.997	0.471	IniUF	13	n/a	func/u061.bmp
16.8620	0.0	n/a	btnR	n/a	0.709	n/a
19.4930	0.892	0.579	ImmUF	14	n/a	func/u061.bmp
19.9610	0.0	n/a	btnR	n/a	0.468	n/a
22.6170	0.864	0.466	IniSF	17	n/a	func/s053.bmp
23.5850	0.0	n/a	btnR	n/a	0.968	n/a
25.7240	0.825	0.48	IniSF	17	n/a	func/s051.bmp
26.6130	0.0	n/a	btnR	n/a	0.889	n/a
28.8810	0.95	0.566	ImmSF	18	n/a	func/s051.bmp
29.8040	0.0	n/a	btnR	n/a	0.923	n/a
32.0880	0.88	0.5	DelSF	19	n/a	func/s059.bmp
32.7200	0.0	n/a	btnR	n/a	0.632	n/a
55.1890	0.847	0.447	IniFF	5	n/a	func/f062.bmp
56.0070	0.0	n/a	btnL	n/a	0.818	n/a
58.3130	0.887	0.503	ImmFF	6	n/a	func/f062.bmp
58.9440	0.0	n/a	btnL	n/a	0.631	n/a
61.5530	0.816	0.57	IniSF	17	n/a	func/s062.bmp
62.5070	0.0	n/a	btnR	n/a	0.954	n/a
64.6770	0.988	0.539	IniUF	13	n/a	func/u056.bmp
65.4490	0.0	n/a	btnR	n/a	0.772	n/a
67.9840	0.937	0.547	IniSF	17	n/a	func/s054.bmp
68.5960	0.0	n/a	btnR	n/a	0.612	n/a
71.2750	0.977	0.569	DelSF	19	n/a	func/s053.bmp
71.9180	0.0	n/a	btnR	n/a	0.643	n/a
74.4490	0.953	0.425	IniSF	17	n/a	func/s052.bmp
75.3250	0.0	n/a	btnL	n/a	0.876	n/a
77.6720	0.988	0.513	IniUF	13	n/a	func/u057.bmp
78.5780	0.0	n/a	btnR	n/a	0.906	n/a
80.8630	0.899	0.427	ImmUF	14	n/a	func/u057.bmp
81.7560	0.0	n/a	btnR	n/a	0.893	n/a
84.1030	0.997	0.583	IniUF	13	n/a	func/u064.bmp
84.9140	0.0	n/a	btnL	n/a	0.811	n/a
87.4610	0.82	0.592	ImmUF	14	n/a	func/u064.bmp
88.4190	0.0	n/a	btnL	n/a	0.958	n/a
90.5510	0.974	0.509	DelSF	19	n/a	func/s062.bmp
91.9370	0.0	n/a	btnR	n/a	1.386	n/a
93.7580	0.909	0.453	IniFF	5	n/a	func/f050.bmp
94.7220	0.0	n/a	btnR	n/a	0.964	n/a
96.9480	0.849	0.512	DelUF	15	n/a	func/u056.bmp
97.6100	0.0	n/a	btnR	n/a	0.662	n/a
100.1050	0.951	0.547	IniUF	13	n/a	func/u049.bmp
101.0910	0.0	n/a	btnR	n/a	0.986	n/a
103.4130	0.973	0.596	DelSF	19	n/a	func/s054.bmp
104.6100	0.0	n/a	btnR	n/a	1.197	n/a
106.7200	0.838	0.557	IniUF	13	n/a	func/u060.bmp
